RUSBag,RUSMaxBag,RUSVoteBag
48.73,50.63,47.47
51.9,52.53,48.1
49.37,47.47,48.1
46.84,46.84,45.57
48.1,48.1,48.1
48.1,46.2,45.57
48.73,47.47,46.2
50.0,50.0,50.0
50.63,51.27,48.73
51.27,49.37,46.84
49.37,49.37,48.73
50.63,48.1,49.37
50.0,50.0,47.47
53.16,50.63,46.84
50.0,46.84,45.57
50.63,48.1,48.1
50.0,48.1,45.57
50.63,49.37,48.73
48.1,46.2,45.57
49.37,48.73,46.2
48.73,49.37,44.94
50.0,48.73,46.84
47.47,48.1,44.94
49.37,49.37,44.3
48.73,49.37,46.84
50.0,46.84,46.84
49.37,50.0,46.84
50.0,49.37,50.0
48.73,48.1,46.2
46.84,48.1,47.47
50.0,51.27,46.84
49.37,48.1,46.84
51.27,48.73,47.47
52.53,51.27,49.37
49.37,50.63,48.73
50.0,48.73,49.37
50.63,47.47,50.0
50.0,48.73,46.84
53.16,51.27,49.37
49.37,50.0,46.84
53.8,49.37,46.2
51.27,50.0,45.57
50.0,48.1,48.1
50.63,47.47,46.2
51.9,50.63,47.47
51.27,47.47,50.63
48.73,48.73,47.47
48.73,50.63,47.47
48.1,48.73,48.73
47.47,47.47,46.2
50.63,49.37,48.1
50.63,49.37,50.0
50.0,51.27,46.84
51.27,49.37,48.1
48.73,48.1,49.37
50.63,50.0,51.27
50.63,50.63,46.84
51.27,48.73,48.73
50.0,49.37,47.47
48.73,48.1,46.84
48.73,46.84,46.2
53.8,48.73,51.9
48.73,47.47,47.47
49.37,49.37,48.1
51.27,50.0,49.37
48.73,47.47,44.94
50.63,48.1,48.1
51.9,50.63,48.73
50.63,48.73,48.1
50.63,47.47,46.2
51.27,50.0,49.37
48.73,47.47,44.94
50.0,49.37,48.1
49.37,48.73,48.1
50.63,50.63,47.47
50.0,50.0,48.1
48.73,49.37,46.84
50.0,49.37,47.47
48.73,48.1,47.47
48.73,45.57,47.47
48.1,48.1,47.47
50.63,49.37,48.1
49.37,50.63,47.47
49.37,48.73,45.57
51.27,51.9,51.9
48.1,47.47,46.84
48.73,48.73,46.84
46.2,48.1,47.47
50.0,48.1,44.94
51.9,50.63,48.1
46.84,44.94,46.2
49.37,48.73,45.57
47.47,47.47,47.47
50.0,49.37,48.73
50.0,46.84,46.84
49.37,47.47,46.84
50.63,49.37,48.73
51.27,50.63,48.1
51.27,50.63,47.47
51.27,48.73,48.1

