RUSBag,RUSMaxBag,RUSVoteBag
80.08,79.68,79.81
79.54,78.6,78.87
79.95,79.68,79.14
80.48,79.68,79.68
79.27,78.87,79.54
80.48,79.81,78.87
80.48,79.95,79.95
79.95,79.81,79.14
80.35,79.95,79.0
80.48,79.41,79.68
80.22,79.81,79.68
80.75,79.41,79.95
80.35,79.68,79.54
79.68,79.41,79.27
79.68,79.27,78.6
79.81,79.68,79.14
79.81,79.14,78.87
80.62,80.08,79.68
79.68,78.47,79.0
80.48,79.81,79.14
79.54,77.93,77.93
80.22,79.68,80.35
79.95,79.95,79.14
80.75,79.41,79.81
81.56,79.68,79.81
80.35,80.08,78.47
79.95,79.27,79.27
80.22,80.22,79.95
79.27,79.14,79.14
80.35,79.68,79.95
80.08,79.0,78.87
80.08,79.95,78.73
80.35,79.95,79.41
79.81,79.27,79.0
80.35,79.27,79.54
79.54,80.08,78.87
80.75,79.81,79.81
80.22,79.0,79.27
80.48,79.95,79.14
80.35,79.81,79.81
79.41,78.33,78.47
79.81,79.27,79.0
80.75,80.08,79.81
80.22,79.95,79.68
80.08,79.54,79.14
79.27,78.87,79.14
79.27,78.33,79.0
79.68,79.27,78.6
81.02,80.35,79.81
80.22,79.68,80.22
79.68,79.27,79.81
79.14,79.14,78.73
80.08,79.95,79.27
79.95,80.08,78.87
79.41,78.87,78.73
80.48,79.54,79.68
79.95,79.81,79.0
79.41,79.14,78.6
79.68,78.6,78.06
79.95,78.87,77.93
79.95,79.54,79.54
81.02,80.35,79.27
80.75,80.62,79.81
79.81,79.27,79.27
79.81,79.41,79.0
79.81,79.27,79.0
80.35,79.81,79.68
79.54,79.27,79.0
80.35,79.68,80.08
79.95,79.68,79.0
81.16,80.08,80.62
79.68,79.81,79.41
79.68,79.54,78.06
80.22,79.68,78.87
80.62,79.41,79.0
79.81,79.27,78.87
79.54,78.73,79.14
79.68,79.0,79.27
79.81,79.54,78.73
80.22,79.68,80.08
80.48,79.54,80.08
80.48,80.35,80.35
79.68,79.27,78.33
79.95,79.41,79.81
79.81,79.54,79.41
80.89,80.48,80.22
80.08,79.68,79.68
80.48,79.68,78.33
79.68,79.14,78.73
80.75,79.81,79.81
80.62,79.95,79.41
79.41,78.73,78.6
80.75,80.08,79.27
80.62,80.22,79.68
80.22,79.81,79.81
80.35,79.81,79.81
79.41,79.41,78.6
80.08,79.14,79.27
80.22,79.54,79.27
80.62,80.35,80.62

