RUSBag,RUSMaxBag,RUSVoteBag
75.5,75.5,72.19
78.81,78.15,69.54
79.47,78.81,71.52
77.48,76.82,72.85
77.48,74.83,70.2
77.48,76.16,74.17
76.82,76.16,68.21
75.5,76.16,72.85
77.48,77.48,73.51
80.79,79.47,76.16
78.81,76.82,71.52
76.82,75.5,70.86
78.15,78.81,73.51
76.82,76.16,69.54
76.82,74.17,74.17
80.79,78.81,75.5
78.15,79.47,71.52
76.16,74.83,72.85
75.5,74.17,68.87
78.15,73.51,72.19
78.81,78.15,73.51
77.48,76.82,73.51
72.85,72.85,70.2
76.16,74.17,68.87
74.17,73.51,69.54
76.16,74.17,69.54
80.13,73.51,71.52
79.47,73.51,73.51
76.16,73.51,72.19
77.48,74.17,73.51
75.5,75.5,71.52
78.15,77.48,71.52
77.48,75.5,72.85
75.5,75.5,72.19
78.81,74.83,72.19
73.51,74.17,69.54
77.48,74.83,70.86
75.5,74.17,68.87
77.48,76.16,71.52
79.47,79.47,72.85
76.16,75.5,65.56
75.5,73.51,74.83
76.82,78.15,72.85
74.83,73.51,69.54
78.81,73.51,73.51
78.81,78.15,70.2
78.15,76.82,74.17
76.82,75.5,70.2
78.15,76.82,68.87
76.82,78.15,71.52
77.48,76.82,72.85
77.48,76.16,74.17
78.81,79.47,73.51
76.82,76.16,72.19
78.81,76.16,70.2
76.16,73.51,71.52
80.13,78.15,74.17
76.82,76.16,74.17
76.82,74.17,74.83
73.51,74.17,70.2
79.47,78.15,72.19
76.82,76.82,72.85
76.16,74.83,69.54
76.82,74.83,72.85
78.15,76.16,70.86
79.47,78.15,73.51
76.16,76.16,70.2
83.44,80.79,76.82
74.17,73.51,70.2
75.5,73.51,69.54
76.82,74.83,70.2
76.82,76.82,70.2
77.48,75.5,73.51
78.81,76.16,72.19
76.82,74.83,71.52
79.47,75.5,74.83
75.5,76.16,70.86
80.79,76.82,73.51
76.82,74.83,75.5
78.15,78.15,73.51
77.48,76.82,74.83
76.16,72.85,72.19
76.16,73.51,67.55
77.48,74.83,69.54
78.15,75.5,72.85
74.17,73.51,67.55
78.81,78.15,70.2
78.15,73.51,71.52
76.16,74.83,72.19
76.16,76.82,70.86
77.48,75.5,70.2
76.82,74.17,69.54
76.16,75.5,72.19
78.15,74.17,70.86
77.48,76.82,74.17
79.47,75.5,71.52
76.82,76.16,71.52
78.15,76.82,70.86
76.16,74.83,74.17
76.82,76.82,72.85

