RUSBag,RUSMaxBag,RUSVoteBag
75.18,59.85,74.45
76.64,61.31,75.91
75.18,54.74,72.99
77.37,57.66,75.18
78.1,54.74,77.37
76.64,59.12,75.18
78.1,57.66,74.45
75.91,56.93,72.26
75.91,54.74,73.72
74.45,54.01,72.99
79.56,55.47,75.91
78.1,62.04,77.37
78.83,58.39,77.37
78.1,56.93,76.64
78.83,53.28,75.91
78.83,55.47,75.91
79.56,55.47,76.64
77.37,59.12,75.18
80.29,58.39,79.56
72.99,56.2,72.99
74.45,54.74,73.72
78.83,56.2,77.37
76.64,58.39,76.64
77.37,54.74,75.91
74.45,54.74,74.45
75.18,56.2,73.72
75.18,53.28,74.45
78.83,56.2,78.1
74.45,56.93,70.8
75.18,59.12,72.99
78.1,56.2,77.37
75.91,53.28,72.26
75.91,61.31,72.99
78.1,51.82,76.64
79.56,60.58,78.1
75.91,53.28,70.8
76.64,59.12,74.45
73.72,58.39,72.99
78.83,54.01,75.18
78.1,59.12,75.91
76.64,55.47,74.45
75.18,55.47,73.72
77.37,54.74,75.18
77.37,58.39,72.99
77.37,62.04,75.18
78.83,59.12,74.45
78.1,57.66,75.18
80.29,53.28,77.37
77.37,57.66,75.18
78.1,58.39,74.45
75.18,52.55,72.99
77.37,54.01,76.64
78.1,54.01,75.18
78.83,54.74,77.37
78.1,56.93,75.91
76.64,54.74,75.91
78.1,52.55,77.37
79.56,54.74,77.37
77.37,56.93,72.99
80.29,60.58,77.37
74.45,54.01,72.26
78.83,53.28,76.64
76.64,54.01,73.72
75.91,53.28,74.45
75.91,53.28,75.18
74.45,57.66,73.72
78.1,54.01,75.18
76.64,59.85,75.18
78.83,56.2,77.37
75.18,52.55,73.72
76.64,55.47,73.72
79.56,56.93,77.37
78.83,54.74,75.91
76.64,57.66,75.18
78.1,56.2,76.64
75.91,48.91,72.99
80.29,58.39,78.83
78.1,56.2,75.91
77.37,60.58,75.18
78.1,57.66,78.1
75.18,52.55,72.99
75.18,57.66,72.99
75.18,57.66,75.18
78.1,53.28,76.64
78.83,56.2,77.37
78.1,54.74,78.1
80.29,59.85,74.45
81.75,50.36,75.91
75.18,51.82,73.72
78.83,56.2,76.64
76.64,55.47,73.72
78.1,60.58,75.18
74.45,56.93,72.26
75.91,54.74,75.91
76.64,54.74,73.72
76.64,54.01,73.72
78.1,58.39,75.91
78.1,57.66,77.37
75.91,52.55,72.26
77.37,52.55,74.45

