RUSBag,RUSMaxBag,RUSVoteBag
72.34,51.6,69.68
67.55,54.26,67.02
72.34,57.98,70.21
68.62,53.72,66.49
69.68,48.4,68.09
72.34,56.38,69.68
72.34,55.85,70.21
71.28,56.38,68.62
71.81,55.32,69.68
71.81,50.53,70.74
69.15,54.79,67.55
72.34,58.51,70.21
71.28,54.26,70.21
71.28,56.91,69.68
70.74,57.45,69.15
71.81,56.38,68.09
71.81,56.91,66.49
71.28,54.79,68.62
70.21,55.32,67.02
69.68,54.26,68.62
72.87,57.45,70.74
71.28,60.11,67.55
70.21,51.6,68.09
70.74,55.85,70.21
71.81,57.98,69.68
71.28,51.06,68.09
70.21,57.45,69.15
71.81,61.7,69.15
70.74,52.66,68.62
71.28,54.26,68.62
71.81,57.98,70.74
72.34,58.51,68.62
75.0,54.26,72.34
71.81,60.11,71.28
68.62,53.72,66.49
68.62,54.79,65.43
70.21,56.38,68.62
74.47,58.51,72.34
72.87,55.85,71.81
73.4,54.79,69.15
71.28,53.19,70.21
71.28,57.98,68.62
71.28,54.79,70.74
73.4,55.32,70.21
68.09,56.91,67.02
68.62,54.79,63.3
71.81,56.38,69.15
71.28,52.13,72.87
68.62,54.79,66.49
69.15,52.13,68.62
71.81,55.85,69.15
72.87,53.19,68.62
69.68,54.79,66.49
72.34,54.26,69.68
70.21,55.85,68.62
71.28,57.45,71.28
71.81,50.53,69.15
70.74,52.66,69.68
72.87,54.26,70.21
69.15,55.85,67.55
75.0,55.32,70.21
68.62,54.79,67.02
73.4,55.85,72.34
71.28,56.38,70.21
71.81,54.79,69.15
71.81,59.57,70.74
70.21,52.66,68.62
67.02,56.91,66.49
72.34,57.45,68.09
71.81,57.45,69.68
71.81,56.91,71.28
71.81,50.53,69.68
67.55,56.38,66.49
72.87,54.26,70.74
71.28,53.19,70.21
70.21,55.85,69.15
70.21,52.13,68.09
69.68,57.45,67.02
69.68,58.51,67.02
69.68,59.57,68.62
72.87,56.91,70.21
70.21,55.32,69.68
72.87,53.72,71.28
69.68,53.72,69.68
72.34,56.38,70.74
72.87,56.38,69.68
70.74,55.32,68.09
73.4,55.32,71.28
71.81,58.51,71.28
70.74,53.19,69.68
69.15,57.45,68.09
69.68,52.66,70.21
71.81,55.32,67.55
70.21,52.66,68.62
68.62,53.72,65.96
71.81,53.72,67.55
71.81,54.26,70.74
71.28,56.91,69.68
70.21,56.38,69.15
72.87,55.85,71.81

