RUSBag,RUSMaxBag,RUSVoteBag
83.55,82.42,82.58
83.39,80.65,80.81
81.45,83.87,80.48
85.65,82.1,82.26
84.03,80.16,81.61
85.16,83.71,83.23
85.81,83.55,83.71
85.48,81.94,83.06
82.58,78.87,80.81
83.23,81.77,81.29
85.32,82.1,83.55
84.84,82.42,82.9
84.03,79.03,81.77
84.19,80.32,81.13
83.06,83.06,82.26
84.84,82.9,82.42
84.03,82.58,81.94
82.74,78.87,80.0
85.65,83.87,84.03
87.1,82.9,84.68
85.97,81.94,82.9
84.19,82.74,81.94
84.19,80.97,82.58
85.32,81.94,83.06
85.97,83.23,82.58
81.94,79.68,81.61
84.52,83.71,82.9
81.13,79.03,79.19
83.71,78.55,81.29
82.26,79.68,79.35
85.0,82.58,83.06
84.68,82.74,81.77
85.0,83.23,83.39
86.77,83.87,84.52
85.16,81.61,83.87
83.23,81.45,81.29
85.16,81.94,82.1
84.68,82.58,83.06
85.16,81.94,82.42
85.16,81.94,83.39
83.55,81.61,82.42
83.39,80.81,81.45
84.19,83.23,82.26
85.65,82.9,82.58
85.16,83.06,82.74
84.68,82.42,82.9
84.52,81.94,81.13
85.32,82.1,82.58
85.32,81.13,83.23
84.68,81.61,82.9
84.52,82.74,82.9
85.65,83.39,83.23
85.97,80.16,83.55
85.48,81.29,83.87
85.65,83.23,83.23
83.55,80.48,80.81
85.65,83.06,83.55
83.87,81.94,82.26
84.35,80.97,82.74
82.74,79.35,81.13
83.23,80.16,80.97
85.65,83.23,83.23
84.19,80.65,82.26
84.84,83.39,83.23
83.23,83.87,81.29
84.52,83.23,82.74
85.32,82.42,83.71
85.48,80.65,82.9
82.26,82.58,81.13
86.29,83.55,85.16
84.19,80.32,81.94
84.03,84.68,82.74
85.81,84.35,83.71
81.94,81.61,80.0
82.9,81.13,81.13
83.87,82.74,82.1
82.74,80.48,80.48
83.87,82.74,81.45
83.87,81.29,81.45
86.45,84.84,83.23
85.32,85.65,83.06
83.71,80.81,81.29
84.52,81.61,82.42
84.52,81.29,81.94
84.68,82.74,83.06
85.16,82.9,83.06
84.35,80.97,82.1
84.68,84.19,82.74
84.52,82.58,81.94
84.52,82.74,82.1
83.23,81.13,80.65
84.84,83.06,83.23
84.19,83.06,81.77
84.35,82.26,81.77
85.65,82.58,83.71
85.32,83.55,83.87
85.0,81.13,82.58
87.58,83.55,84.84
85.65,83.39,82.9
87.26,83.87,85.16

