RUSBag,RUSMaxBag,RUSVoteBag
78.2,74.83,77.52
78.6,74.97,78.06
78.33,74.97,77.52
78.87,77.12,78.47
78.73,75.5,78.06
79.14,76.85,78.2
79.0,76.58,78.47
79.68,77.52,79.41
78.47,74.7,77.93
79.27,74.83,78.6
78.73,76.58,78.87
78.2,75.64,78.33
77.93,75.37,77.79
79.41,76.18,79.41
78.87,76.18,78.6
78.87,76.04,78.73
79.14,74.16,78.2
79.14,77.12,78.2
78.06,75.77,78.06
78.2,76.45,77.52
77.25,75.1,76.58
78.73,74.7,78.73
79.41,75.64,78.6
78.6,75.5,77.66
78.87,76.45,78.33
79.54,76.18,78.73
78.06,74.97,77.25
78.47,76.31,78.33
79.0,76.85,77.79
79.41,74.83,79.0
77.52,75.37,77.25
78.47,75.91,78.06
78.33,75.77,78.06
79.14,75.24,77.79
78.06,74.29,77.66
79.41,75.37,78.73
78.73,77.52,78.47
77.79,77.25,77.39
79.27,76.04,78.73
78.87,74.7,77.93
78.33,75.77,78.2
79.27,76.18,78.6
78.73,75.91,78.2
78.47,77.66,78.06
78.87,75.64,78.2
78.47,76.04,77.66
78.47,75.24,78.2
78.2,75.1,77.66
78.87,76.72,78.2
78.47,75.77,77.39
79.41,75.91,78.87
79.0,76.18,78.06
78.73,76.85,78.6
78.33,75.24,76.99
78.2,76.04,77.52
77.66,77.39,77.79
78.73,72.68,78.6
78.87,75.64,78.06
78.33,76.45,78.33
78.87,76.45,78.47
79.41,76.18,78.73
79.27,76.58,79.0
78.47,76.58,77.79
78.87,73.76,78.47
79.54,76.04,79.0
79.54,76.85,78.87
77.79,75.1,77.39
78.87,75.1,77.79
78.87,74.02,77.93
78.47,75.91,78.6
78.73,76.31,78.47
77.93,75.37,77.52
78.6,75.77,78.2
78.33,75.64,77.79
78.6,76.04,77.52
78.33,74.83,78.06
77.52,74.97,77.52
79.14,75.91,78.73
78.33,76.99,78.2
78.47,75.77,78.2
79.0,75.24,78.6
79.14,76.72,78.47
78.2,74.43,77.12
78.06,76.58,78.06
78.6,75.91,78.33
78.87,76.45,77.93
78.06,76.72,77.79
77.93,76.72,77.12
78.06,74.56,77.66
79.0,76.04,78.33
78.33,76.45,77.79
78.06,76.31,77.39
77.93,74.16,77.79
79.27,74.02,78.73
78.06,74.56,77.39
79.27,76.58,78.87
77.93,75.1,77.52
78.73,76.45,78.06
77.93,75.77,77.39
78.87,76.58,78.47

