RUSBag,RUSMaxBag,RUSVoteBag
73.27,55.45,71.78
75.74,57.43,72.28
77.23,71.78,75.25
72.77,46.04,70.79
73.76,45.54,70.79
75.25,54.46,72.28
73.76,50.5,70.79
75.74,61.88,71.78
72.77,66.34,71.78
74.26,44.55,73.76
73.27,51.49,69.8
71.29,52.97,69.31
71.78,68.32,69.31
74.26,49.01,71.29
72.77,50.5,69.8
74.75,50.0,71.29
72.28,49.01,69.8
74.26,50.99,69.8
71.78,61.39,68.32
71.29,46.04,67.33
74.26,59.41,72.28
73.27,48.51,70.79
73.27,47.03,70.3
73.76,51.49,70.3
73.27,50.5,70.79
72.28,49.5,71.29
72.77,71.29,69.8
74.26,52.48,72.28
72.77,63.86,72.28
75.74,59.9,74.26
74.75,68.32,70.3
72.77,51.49,70.3
74.75,52.97,73.76
73.27,50.99,71.78
73.76,50.0,71.29
72.28,67.82,70.79
71.29,68.81,67.33
74.26,63.86,71.78
73.76,51.49,69.31
74.26,67.33,71.29
73.76,68.32,72.28
76.73,67.82,75.74
70.3,49.5,68.32
73.76,57.43,70.3
70.3,65.35,67.33
72.77,65.84,71.78
73.27,51.98,69.31
72.77,50.0,70.3
74.75,59.41,71.78
74.75,63.37,73.27
71.78,63.37,70.3
73.76,54.95,70.79
72.28,66.83,68.32
70.3,68.32,69.8
68.81,47.52,68.32
71.78,62.87,68.81
72.77,45.05,69.31
74.75,64.36,73.76
73.76,55.45,68.81
73.27,59.41,71.29
73.76,56.44,70.3
71.29,73.76,68.32
74.26,52.97,70.3
74.75,60.89,68.32
71.29,71.29,68.32
73.27,50.5,71.29
72.77,47.03,69.31
74.26,53.96,72.28
74.26,63.37,72.77
74.26,47.52,69.8
74.26,53.47,71.78
73.27,64.85,68.81
72.28,60.4,70.79
70.79,49.5,65.84
74.26,55.45,70.3
72.28,50.99,69.8
72.28,70.79,71.29
75.25,50.0,70.3
71.78,63.37,67.82
74.26,51.98,71.78
73.27,70.3,70.3
74.75,54.95,70.79
74.26,51.98,71.78
75.25,50.0,70.79
74.26,63.37,68.32
71.29,52.48,67.82
74.26,60.89,72.77
74.75,50.99,70.3
74.26,48.02,70.79
74.75,52.48,71.78
74.75,55.45,73.27
74.26,64.85,67.82
74.26,47.52,71.29
71.29,47.52,69.31
74.75,58.42,70.3
68.81,62.87,65.35
73.76,48.02,73.27
73.76,65.84,70.79
72.28,55.94,71.78
74.75,54.46,71.78

