project, method, recall-1, precision-1, fMeasure-1, auc
MyAnt,RUSBag, 88.99, 60.07, 71.72,93.15
,RUSMaxBag, 86.31, 61.94, 72.11,92.71
,RUSVoteBag, 82.4, 65.37, 72.89,91.79

MyBuck,RUSBag, 82.71, 39.94, 53.86,88.34
,RUSMaxBag, 78.84, 41.42, 54.3,88.06
,RUSVoteBag, 74.06, 44.74, 55.77,87.39

MyFlink,RUSBag, 82.2, 54.11, 65.26,91.49
,RUSMaxBag, 79.37, 56.2, 65.8,91.12
,RUSVoteBag, 74.99, 60.42, 66.92,89.75

MyHadoop,RUSBag, 97.17, 50.59, 66.54,96.74
,RUSMaxBag, 96.05, 51.59, 67.12,96.58
,RUSVoteBag, 94.9, 53.59, 68.49,95.88

MyItextpdf,RUSBag, 81.89, 46.98, 59.71,89.71
,RUSMaxBag, 79.49, 48.26, 60.05,89.28
,RUSVoteBag, 76.04, 50.82, 60.92,88.11

MyJedit,RUSBag, 92.34, 76.54, 83.7,95.74
,RUSMaxBag, 91.28, 79.56, 85.01,95.6
,RUSVoteBag, 90.22, 81.52, 85.64,94.98

MyLucene,RUSBag, 77.82, 55.1, 64.51,87.26
,RUSMaxBag, 75.85, 56.43, 64.7,86.79
,RUSVoteBag, 71.86, 60.93, 65.94,85.64

MySynapse,RUSBag, 95.11, 87.74, 91.27,98.54
,RUSMaxBag, 94.07, 88.1, 90.99,98.39
,RUSVoteBag, 92.59, 91.41, 91.99,97.61

MyTomcat,RUSBag, 73.59, 56.0, 63.59,83.94
,RUSMaxBag, 70.65, 57.79, 63.57,83.32
,RUSVoteBag, 65.48, 62.15, 63.76,82.32

MyVoldemort,RUSBag, 78.63, 57.93, 66.7,86.04
,RUSMaxBag, 77.16, 58.04, 66.24,85.62
,RUSVoteBag, 73.15, 60.55, 66.24,84.38

