RUSBag,RUSMaxBag,RUSVoteBag
0.8845,0.8373,0.8779
0.8742,0.8396,0.8664
0.9513,0.9378,0.9511
0.8656,0.8452,0.8553
0.9545,0.9381,0.9452
0.8339,0.8095,0.8169
0.9349,0.9169,0.9299
0.934,0.9056,0.9198
0.9332,0.9246,0.9329
0.9302,0.914,0.9233
0.9216,0.8719,0.9208
0.9138,0.915,0.9033
0.8629,0.8322,0.8588
0.9195,0.9028,0.9097
0.8925,0.8439,0.8846
0.8989,0.878,0.8937
0.8929,0.8923,0.8693
0.9159,0.8746,0.8923
0.9434,0.9087,0.9381
0.9,0.8606,0.8849
0.8812,0.9075,0.8792
0.9564,0.9155,0.9571
0.9165,0.9233,0.9094
0.8801,0.8578,0.877
0.8836,0.8416,0.8788
0.9024,0.8788,0.8847
0.8799,0.8394,0.8542
0.9341,0.9328,0.9315
0.931,0.886,0.9238
0.9243,0.8362,0.9188
0.913,0.8637,0.8892
0.9444,0.9033,0.9401
0.9259,0.914,0.9069
0.9241,0.9063,0.904
0.914,0.8587,0.9034
0.8905,0.8783,0.8894
0.9005,0.8532,0.8926
0.9251,0.9132,0.9223
0.9145,0.8722,0.9119
0.8889,0.8573,0.8803
0.8496,0.8774,0.8331
0.9268,0.8757,0.9168
0.9061,0.873,0.8995
0.8804,0.8325,0.8328
0.9032,0.8706,0.9021
0.9365,0.8902,0.9312
0.9135,0.914,0.8807
0.8823,0.8583,0.8707
0.8988,0.8537,0.8806
0.9342,0.9198,0.9289
0.9248,0.8764,0.9175
0.8912,0.8624,0.8579
0.9076,0.8806,0.8985
0.8823,0.8502,0.8793
0.8618,0.8401,0.8426
0.8915,0.8971,0.8587
0.8937,0.85,0.8881
0.9196,0.8913,0.914
0.9471,0.9201,0.9294
0.9169,0.8648,0.9095
0.9629,0.9441,0.9549
0.886,0.8559,0.8817
0.8839,0.8587,0.8593
0.8899,0.8608,0.8854
0.9116,0.8894,0.9124
0.9206,0.8783,0.9021
0.9159,0.887,0.9011
0.9327,0.8591,0.9211
0.9023,0.8666,0.8968
0.8983,0.8735,0.8765
0.893,0.8825,0.8812
0.8862,0.8581,0.8737
0.8841,0.8251,0.8733
0.9069,0.8685,0.8939
0.8926,0.8653,0.8706
0.8841,0.8566,0.8751
0.9233,0.8717,0.9156
0.9529,0.9016,0.9519
0.9403,0.9114,0.9299
0.8646,0.8403,0.8586
0.8942,0.8464,0.8807
0.8704,0.8464,0.8514
0.9032,0.8635,0.904
0.9415,0.9325,0.9405
0.9011,0.8389,0.8881
