RUSBag,RUSMaxBag,RUSVoteBag
0.9143,0.9071,0.9061
0.9141,0.8884,0.9059
0.9162,0.879,0.8969
0.8655,0.829,0.8634
0.9348,0.9164,0.9241
0.903,0.8678,0.8919
0.8773,0.836,0.8586
0.8895,0.879,0.8833
0.8977,0.8611,0.8932
0.8981,0.8996,0.8845
0.8974,0.8437,0.8793
0.9032,0.8882,0.8988
0.9254,0.9059,0.9069
0.8764,0.8413,0.8547
0.8887,0.846,0.8638
0.919,0.9107,0.9036
0.9065,0.8854,0.9001
0.894,0.8744,0.8681
0.8912,0.8888,0.879
0.9326,0.9122,0.916
0.9556,0.9177,0.954
0.9034,0.8699,0.8894
0.8687,0.8179,0.8439
0.9069,0.8907,0.8983
0.9365,0.9044,0.9329
0.9129,0.8988,0.9071
0.9002,0.8639,0.8893
0.8701,0.8683,0.842
0.8886,0.8704,0.8593
0.8913,0.8725,0.8748
0.8989,0.878,0.8722
0.878,0.8758,0.857
0.8767,0.8575,0.8561
0.9136,0.8861,0.9019
0.9077,0.8669,0.9084
0.8762,0.8522,0.8483
0.9431,0.9213,0.9407
0.9112,0.9066,0.8932
0.9072,0.8771,0.9047
0.9187,0.8925,0.9114
0.9124,0.8621,0.9109
0.8728,0.861,0.848
0.9267,0.9209,0.9092
0.8572,0.8525,0.8345
0.8968,0.8601,0.8783
0.9104,0.8728,0.8987
0.8992,0.887,0.8827
0.914,0.8964,0.9021
0.9282,0.8695,0.9252
0.9297,0.9106,0.9146
0.9188,0.9159,0.9047
0.9082,0.8738,0.8838
0.8953,0.8673,0.8824
0.9097,0.8753,0.9064
0.8627,0.8427,0.8521
0.89,0.8796,0.8747
0.8888,0.882,0.8858
0.9185,0.895,0.9083
0.9383,0.9216,0.9254
0.9286,0.9033,0.9168
0.8834,0.8497,0.8691
0.9032,0.8781,0.8843
0.9269,0.8924,0.9225
0.8995,0.8864,0.8827
0.8842,0.867,0.8693
0.9165,0.8972,0.9055
0.889,0.8653,0.8856
0.8868,0.8662,0.8654
0.923,0.8997,0.9118
0.8962,0.8703,0.8599
0.9114,0.8871,0.9045
0.8709,0.868,0.8573
0.9022,0.8709,0.887
0.9516,0.9231,0.9454
0.887,0.8789,0.8874
0.8835,0.8488,0.8652
0.9031,0.8891,0.8899
0.9004,0.8901,0.8775
0.8888,0.8711,0.8667
0.8792,0.8748,0.8519
0.9194,0.9041,0.909
0.9285,0.9157,0.909
0.8804,0.8534,0.8597
0.8598,0.8503,0.8527
0.8688,0.8518,0.8311
0.9142,0.9152,0.902
0.8864,0.8653,0.8646
0.9323,0.9058,0.9247
0.9084,0.8901,0.8883
0.9025,0.8747,0.8867
0.9031,0.8859,0.8928
0.8955,0.8946,0.8888
0.899,0.875,0.8877
0.8684,0.8617,0.8506
0.9344,0.9164,0.9218
0.9026,0.8715,0.8912
0.888,0.884,0.8651
0.915,0.8779,0.9074
0.8873,0.8718,0.8736
0.8843,0.8559,0.8645
0.8968,0.8665,0.8764
0.9409,0.9181,0.9267
0.9237,0.881,0.9032
0.8735,0.8821,0.8448
0.9163,0.8474,0.9132
0.8849,0.8534,0.8625
0.902,0.9067,0.899
0.8788,0.8718,0.8552
0.883,0.8925,0.878
0.9124,0.8866,0.903
0.9062,0.8979,0.8854
0.8816,0.8518,0.8681
0.9234,0.9031,0.9097
0.9153,0.917,0.8975
0.8913,0.8613,0.8859
0.9079,0.895,0.8963
0.8855,0.8462,0.8684
0.8798,0.8397,0.8737
0.9286,0.9026,0.9244
0.9208,0.911,0.909
0.8901,0.8698,0.8862
0.8534,0.8636,0.8249
0.9085,0.8961,0.9024
0.8578,0.8566,0.8447
0.9088,0.8853,0.8978
0.9282,0.9222,0.9163
0.9095,0.895,0.8951
0.9244,0.8928,0.912
0.9293,0.8906,0.9191
0.8751,0.8725,0.8464
0.8787,0.8616,0.8695
0.892,0.8657,0.8774
0.9081,0.8822,0.8923
0.9008,0.8752,0.8937
0.9174,0.8969,0.9091
0.9407,0.9162,0.926
0.9277,0.9179,0.9312
0.9038,0.883,0.89
0.9001,0.8699,0.8961
0.8981,0.9214,0.8838
0.8963,0.8933,0.8751
0.9065,0.8811,0.8724
0.8854,0.8494,0.8885
0.9149,0.9,0.9142
0.9047,0.9016,0.89
0.9092,0.9025,0.8882
0.9103,0.8824,0.8944
0.911,0.8875,0.9056
0.8943,0.8742,0.8666
0.9272,0.918,0.9228
0.8938,0.8864,0.8856
0.8955,0.8807,0.8691
0.9033,0.8791,0.8921
0.8973,0.8924,0.8801
0.892,0.8641,0.8762
0.865,0.85,0.8578
0.928,0.9164,0.9263
0.934,0.9109,0.9228
0.9135,0.8931,0.8962
0.9339,0.9056,0.9174
0.8969,0.8567,0.8873
0.9303,0.903,0.9148
0.8987,0.8692,0.8836
0.9246,0.9099,0.9165
0.8921,0.8636,0.8795
0.8939,0.8863,0.8687
0.9121,0.8881,0.8874
0.904,0.8858,0.8936
0.8816,0.8634,0.8658
0.9214,0.9173,0.9138
0.9078,0.889,0.8775
0.9089,0.9032,0.8937
0.9119,0.8958,0.8982
0.8893,0.8688,0.8854
0.9001,0.8789,0.8815
0.888,0.8756,0.8691
0.9135,0.8912,0.9007
0.8866,0.8823,0.8678
0.9128,0.8863,0.9033
0.8887,0.8662,0.8702
0.8998,0.8867,0.8829
0.9008,0.8857,0.8812
0.903,0.8971,0.8874
0.8901,0.863,0.8882
0.9084,0.8877,0.9013
0.9096,0.8959,0.9025
0.8981,0.8591,0.886
0.921,0.9089,0.9046
0.8858,0.8538,0.8797
0.886,0.8895,0.8719
0.914,0.9036,0.8969
0.891,0.8683,0.8878
0.865,0.8284,0.8511
0.8958,0.8676,0.8742
0.9235,0.8984,0.9027
0.8987,0.8789,0.8767
0.8696,0.8515,0.8491
0.9299,0.9118,0.9274
0.9069,0.9079,0.8933
0.9216,0.897,0.9024
0.932,0.9106,0.9269
0.9006,0.859,0.8766
0.889,0.8611,0.8648
0.9138,0.9038,0.9028
0.8831,0.8716,0.8747
0.8784,0.8436,0.8648
0.8923,0.8662,0.8643
0.9499,0.9297,0.9383
0.9015,0.8954,0.8743
0.8882,0.8724,0.879
0.8761,0.8633,0.8516
0.9392,0.9296,0.9206
0.9235,0.9034,0.9219
0.8667,0.8454,0.855
0.9149,0.897,0.9099
0.8432,0.8427,0.8351
0.8948,0.8702,0.8627
0.9061,0.854,0.9053
0.9295,0.9145,0.9162
0.9155,0.9005,0.8914
0.9115,0.8957,0.9028
0.8864,0.8755,0.8684
0.916,0.877,0.9034
0.8802,0.8781,0.8568
0.9212,0.8957,0.8992
0.8842,0.8565,0.8696
0.884,0.8526,0.8706
0.9038,0.8535,0.8897
0.8805,0.899,0.8581
0.9425,0.932,0.941
0.9174,0.9053,0.9066
0.8829,0.8506,0.8612
0.8836,0.8743,0.8791
