RUSBag,RUSMaxBag,RUSVoteBag
0.9678,0.927,0.9608
0.8136,0.812,0.772
0.8743,0.7975,0.8738
0.8749,0.79,0.8676
0.8794,0.8523,0.8663
0.9074,0.8679,0.895
0.9165,0.8706,0.9071
0.8929,0.8764,0.8895
0.9184,0.9011,0.9036
0.9319,0.92,0.9254
0.9484,0.9307,0.9423
0.898,0.8268,0.8926
0.8247,0.7983,0.8214
0.8537,0.8504,0.8373
0.7924,0.7554,0.7747
0.9286,0.9149,0.9315
0.946,0.9219,0.9396
0.9243,0.8654,0.9243
0.8784,0.8251,0.8753
0.9184,0.8997,0.9158
0.8985,0.87,0.8762
0.8585,0.8324,0.8389
0.881,0.8743,0.8692
0.9219,0.9323,0.9157
0.9044,0.8464,0.8972
0.9581,0.9181,0.9522
0.8958,0.8845,0.8934
0.9022,0.8622,0.9016
0.8863,0.8634,0.8702
0.8749,0.796,0.8798
0.8542,0.8614,0.8332
0.9173,0.899,0.9149
0.8515,0.8107,0.8445
0.8934,0.8585,0.8929
0.8437,0.8222,0.8464
0.8835,0.8469,0.8711
0.9041,0.8405,0.9039
0.9252,0.9187,0.9212
0.9161,0.8841,0.9235
0.9349,0.8844,0.9249
0.8859,0.8776,0.87
0.8947,0.8652,0.8604
0.8706,0.8424,0.8711
0.9117,0.8864,0.9095
0.8945,0.8351,0.8953
0.8574,0.8252,0.8518
0.8719,0.7838,0.8494
0.9076,0.8872,0.8988
0.9229,0.8634,0.913
0.8573,0.8397,0.8361
0.8682,0.8566,0.8488
0.9278,0.9009,0.9211
0.9186,0.8711,0.9125
0.9568,0.8778,0.9522
0.8542,0.8287,0.8217
0.9205,0.877,0.9076
0.9302,0.8961,0.9189
0.8639,0.841,0.8518
0.86,0.8696,0.8469
0.8671,0.844,0.8589
0.9044,0.8472,0.9055
0.9581,0.9474,0.9522
0.9455,0.8577,0.9393
0.906,0.8792,0.8958
0.8743,0.8596,0.8563
0.8743,0.8749,0.8743
0.9052,0.8786,0.9122
0.96,0.8957,0.9629
0.8098,0.8013,0.8007
0.8768,0.8554,0.8606
0.8985,0.8609,0.8668
0.8743,0.823,0.8671
0.8456,0.8528,0.8343
0.9138,0.9084,0.9092
0.9307,0.9004,0.9208
0.9006,0.8169,0.8966
0.9288,0.8888,0.9181
0.9073,0.869,0.8994
0.9201,0.8977,0.9158
0.9021,0.8679,0.885
0.8518,0.8367,0.8343
0.9149,0.8738,0.9111
0.8988,0.8781,0.8816
0.9103,0.8502,0.906
0.9323,0.9135,0.9329
0.9009,0.8988,0.8902
0.8485,0.8284,0.8279
0.8997,0.8197,0.8875
0.9456,0.8999,0.9345
0.8763,0.8521,0.8633
0.9447,0.8416,0.939
0.8902,0.8612,0.8593
0.8588,0.8166,0.855
0.9047,0.8155,0.9098
0.8939,0.8451,0.8835
0.8437,0.8099,0.8174
0.939,0.9205,0.9361
0.8926,0.8257,0.888
0.9002,0.873,0.9005
0.9094,0.8524,0.914
0.9549,0.8741,0.9573
0.8743,0.7965,0.8773
0.9345,0.8794,0.9353
0.8824,0.8367,0.8767
0.9079,0.891,0.9111
0.8644,0.851,0.8485
0.8593,0.8362,0.8459
0.9439,0.9048,0.926
0.8024,0.7724,0.7826
0.8899,0.8589,0.8874
0.9023,0.8448,0.9017
0.8792,0.8247,0.8821
0.9527,0.9173,0.9468
0.9133,0.9135,0.9141
0.8716,0.8373,0.834
0.8759,0.8671,0.8596
0.8537,0.7956,0.8359
0.9257,0.8807,0.9187
0.9433,0.8832,0.9385
0.8812,0.8714,0.8649
0.9294,0.8888,0.9291
0.8896,0.8303,0.866
0.8824,0.8418,0.8765
0.9194,0.9076,0.9154
0.8977,0.8485,0.8942
0.8749,0.8743,0.8563
0.899,0.8722,0.8851
0.8838,0.8316,0.8671
0.8895,0.8756,0.8767
0.8391,0.7594,0.8161
0.8765,0.8628,0.8655
0.8682,0.873,0.8582
0.8647,0.8523,0.8209
0.8555,0.8316,0.8418
0.9474,0.9001,0.9452
0.9251,0.8657,0.9076
0.9533,0.8896,0.9498
0.9184,0.8608,0.9201
0.8861,0.8441,0.8776
0.8646,0.8492,0.8524
0.9503,0.9087,0.942
0.8588,0.833,0.8459
0.9178,0.9036,0.9117
0.8867,0.8389,0.8765
0.8789,0.808,0.8687
0.8776,0.8322,0.8733
0.8939,0.8789,0.8886
0.9651,0.93,0.9598
0.8776,0.8342,0.8588
0.9023,0.8969,0.8947
0.8722,0.8545,0.8676
0.9294,0.8563,0.9208
0.9232,0.9192,0.9173
0.8907,0.8292,0.8671
0.9221,0.9184,0.9041
0.9057,0.8969,0.9033
0.8195,0.8037,0.8032
0.8771,0.8201,0.8649
0.8577,0.7917,0.8356
0.9158,0.8827,0.9084
0.8531,0.8314,0.8212
0.9296,0.9111,0.9299
0.8236,0.8187,0.8008
0.9296,0.9079,0.9197
0.9189,0.8673,0.9074
0.8754,0.8475,0.8609
0.8762,0.8357,0.8604
0.9053,0.8501,0.9002
0.9354,0.8614,0.9306
0.9132,0.9083,0.8885
0.8751,0.8821,0.8518
0.8832,0.8394,0.8698
0.8988,0.8792,0.8767
0.8963,0.8816,0.888
0.9557,0.9262,0.9482
0.8993,0.8394,0.899
0.7991,0.7342,0.7852
0.9042,0.8761,0.8776
0.9011,0.8849,0.8912
0.9555,0.892,0.9574
0.8875,0.8075,0.8821
0.9629,0.9356,0.9501
0.9396,0.8821,0.9243
0.8733,0.8724,0.8655
0.8867,0.8778,0.8657
0.8292,0.8085,0.8201
