RUSBag,RUSMaxBag,RUSVoteBag
0.935,0.8562,0.92
0.8106,0.7825,0.7937
0.8862,0.8762,0.8856
0.9507,0.9167,0.95
0.9707,0.9467,0.9667
0.9184,0.8801,0.9101
0.8839,0.8661,0.8667
0.9375,0.8737,0.9337
0.9056,0.8304,0.9024
0.9267,0.905,0.9241
0.9363,0.9119,0.9306
0.8825,0.8556,0.8725
0.935,0.89,0.9344
0.8788,0.8195,0.868
0.8176,0.7347,0.8048
0.9401,0.9541,0.9343
0.9107,0.9273,0.8992
0.8795,0.8227,0.8527
0.9447,0.8973,0.922
0.8453,0.8387,0.8413
0.9263,0.8831,0.9187
0.92,0.865,0.9081
0.7956,0.8187,0.7837
0.9893,0.9113,0.9867
0.904,0.8147,0.8953
0.8265,0.7487,0.8227
0.9158,0.845,0.9094
0.9177,0.854,0.9196
0.9222,0.8858,0.9114
0.9133,0.9056,0.9114
0.9187,0.7394,0.9113
0.865,0.8575,0.8562
0.8438,0.7856,0.8275
0.8547,0.836,0.8433
0.9387,0.886,0.934
0.926,0.8463,0.9311
0.9286,0.8246,0.9279
0.9821,0.8865,0.9796
0.8693,0.8476,0.8616
0.8418,0.7666,0.8335
0.8625,0.8431,0.8712
0.9406,0.8762,0.9319
0.8925,0.8331,0.8831
0.8584,0.8023,0.8482
0.8814,0.8195,0.8527
0.9222,0.861,0.9203
0.9324,0.8795,0.9222
0.9298,0.8501,0.9184
0.8467,0.8533,0.84
0.9347,0.8127,0.9327
0.89,0.8675,0.8525
0.8831,0.8175,0.8712
0.86,0.8194,0.8331
0.912,0.8144,0.9088
0.9184,0.7793,0.9126
0.8878,0.845,0.8597
0.8827,0.7927,0.8763
0.9018,0.8393,0.8827
0.9027,0.878,0.89
0.8987,0.834,0.8833
0.8806,0.8688,0.8769
0.9137,0.8769,0.9106
0.9425,0.8681,0.9456
0.9254,0.9005,0.9247
0.8827,0.8316,0.8603
0.9375,0.9177,0.9286
0.8591,0.7774,0.8463
0.8744,0.8578,0.8501
0.9093,0.8267,0.8987
0.9053,0.8433,0.91
0.9363,0.8769,0.9369
0.9425,0.8869,0.9394
0.8337,0.79,0.8131
0.8947,0.876,0.8833
0.856,0.8067,0.858
0.9311,0.8667,0.9152
0.8642,0.7946,0.8578
0.8801,0.8348,0.8661
0.9541,0.926,0.9528
0.9196,0.8348,0.9158
0.9237,0.8681,0.9119
0.845,0.8169,0.8306
0.9425,0.8912,0.9369
0.9005,0.7985,0.8776
0.8776,0.824,0.8827
0.8686,0.7551,0.8533
0.9503,0.9292,0.9528
0.8954,0.8673,0.8999
0.9213,0.892,0.904
0.9147,0.826,0.9067
0.9012,0.8425,0.8856
0.9206,0.8981,0.9119
0.9044,0.8419,0.8875
0.956,0.8533,0.9553
0.8393,0.7853,0.816
0.8457,0.8157,0.8654
0.986,0.9566,0.9866
0.8839,0.8221,0.8833
0.9152,0.8673,0.9107
0.8852,0.838,0.8782
0.9063,0.8612,0.8962
0.8675,0.73,0.8681
0.8875,0.8538,0.8531
0.9107,0.8147,0.9147
0.9347,0.9,0.93
0.8508,0.7883,0.8399
0.9349,0.8603,0.9241
0.9452,0.9158,0.9413
0.8584,0.8335,0.8017
0.9324,0.8559,0.9216
0.9575,0.92,0.9537
0.8337,0.8363,0.7925
0.8181,0.7869,0.8069
0.85,0.8253,0.8187
0.9313,0.8647,0.9233
0.9235,0.824,0.9177
0.9152,0.8386,0.9031
0.8871,0.852,0.8922
0.9298,0.7997,0.9241
0.8865,0.8221,0.8686
0.845,0.7362,0.8237
0.9563,0.9275,0.9475
0.89,0.8562,0.885
0.9668,0.9145,0.963
0.9158,0.8616,0.9145
0.9075,0.8852,0.8903
0.9043,0.8342,0.8814
0.9362,0.8431,0.9298
0.936,0.9293,0.92
0.8493,0.7333,0.8427
0.9063,0.8525,0.9069
0.8606,0.8375,0.8512
0.8462,0.7875,0.8306
