RUSBag,RUSMaxBag,RUSVoteBag
0.863,0.809,0.8669
0.741,0.6876,0.7216
0.865,0.8295,0.8265
0.954,0.823,0.9455
0.807,0.8,0.7755
0.888,0.858,0.8855
0.8455,0.8105,0.8435
0.804,0.735,0.814
0.8459,0.7357,0.8495
0.8622,0.824,0.8546
0.8485,0.7355,0.8425
0.876,0.7725,0.8685
0.836,0.8045,0.805
0.841,0.8405,0.8245
0.7945,0.7365,0.782
0.9115,0.8385,0.901
0.7201,0.7075,0.6817
0.9164,0.8552,0.9111
0.9342,0.8112,0.9255
0.7745,0.6709,0.777
0.863,0.8045,0.8555
0.81,0.686,0.825
0.794,0.7255,0.773
0.9005,0.811,0.8915
0.929,0.8755,0.9285
0.8755,0.7815,0.861
0.8217,0.7425,0.8178
0.8717,0.7901,0.8644
0.8459,0.7684,0.8337
0.8893,0.8689,0.8918
0.9417,0.9048,0.9451
0.9116,0.8212,0.9247
0.86,0.819,0.8595
0.841,0.764,0.8355
0.739,0.6435,0.732
0.796,0.716,0.7985
0.866,0.838,0.8575
0.8455,0.715,0.839
0.7653,0.7179,0.7852
0.8398,0.7566,0.8526
0.815,0.823,0.7935
0.825,0.756,0.8035
0.896,0.821,0.9035
0.938,0.8475,0.9405
0.8475,0.802,0.847
0.814,0.7535,0.803
0.8528,0.7925,0.8557
0.8484,0.7162,0.8484
0.8714,0.8107,0.8633
0.8051,0.7949,0.7827
0.821,0.779,0.812
0.838,0.844,0.819
0.8335,0.799,0.837
0.8345,0.8145,0.8315
0.838,0.755,0.825
0.909,0.7975,0.912
0.9223,0.8766,0.9048
0.8134,0.7969,0.8017
0.8592,0.8209,0.8372
0.8684,0.7837,0.8531
0.74,0.6975,0.7055
0.8815,0.807,0.8675
0.92,0.855,0.908
0.762,0.666,0.753
0.79,0.7735,0.7675
0.854,0.807,0.8455
0.8168,0.7949,0.7945
0.7979,0.7532,0.7891
0.8954,0.8571,0.8959
0.8995,0.8138,0.902
0.8824,0.7949,0.8707
0.9057,0.8285,0.8931
0.8915,0.825,0.8695
0.783,0.728,0.77
0.845,0.874,0.8405
0.874,0.8575,0.856
0.829,0.8045,0.8255
0.879,0.82,0.869
0.8679,0.8352,0.874
0.8173,0.7143,0.8163
0.9155,0.777,0.9075
0.84,0.8285,0.829
0.785,0.724,0.771
0.872,0.825,0.866
0.7225,0.6575,0.7165
0.8745,0.8215,0.888
0.8717,0.7988,0.8737
0.845,0.7881,0.8362
0.9265,0.8189,0.9291
0.8173,0.7582,0.8214
0.811,0.7115,0.805
0.8715,0.815,0.8725
0.898,0.756,0.8835
0.89,0.785,0.882
0.819,0.7175,0.795
0.796,0.7195,0.7855
0.8834,0.7852,0.8785
0.8124,0.7784,0.8246
0.8908,0.873,0.8923
0.7959,0.7648,0.7903
0.8256,0.7867,0.8105
0.8941,0.8411,0.8873
0.865,0.796,0.8575
0.906,0.847,0.892
0.8165,0.763,0.8105
0.783,0.748,0.785
0.833,0.8115,0.8215
0.863,0.7835,0.845
0.8036,0.7673,0.7995
0.8612,0.7286,0.8582
0.8565,0.812,0.8645
0.853,0.7885,0.8365
0.822,0.772,0.8135
0.8615,0.8095,0.854
0.8575,0.775,0.8475
0.788,0.7085,0.7905
0.8576,0.8586,0.8552
0.8912,0.8644,0.8732
0.85,0.7587,0.8403
0.8077,0.7969,0.798
0.844,0.7585,0.8425
0.867,0.804,0.847
0.823,0.71,0.8115
0.8355,0.7455,0.8555
0.8475,0.7445,0.845
0.7995,0.7495,0.793
0.9329,0.8246,0.9266
0.898,0.8343,0.8814
0.8102,0.7668,0.798
0.7209,0.7393,0.7138
0.8183,0.758,0.8163
0.8115,0.6948,0.794
0.8355,0.815,0.828
0.846,0.802,0.8375
0.86,0.848,0.8575
0.77,0.762,0.7605
0.85,0.778,0.8355
0.895,0.8075,0.8985
0.8719,0.7893,0.8607
0.8633,0.7643,0.8383
0.9095,0.865,0.901
0.844,0.7565,0.8295
0.9155,0.783,0.916
0.871,0.8435,0.864
0.7925,0.805,0.7775
0.7585,0.7695,0.747
0.7847,0.7619,0.7818
0.8669,0.7799,0.8601
0.8949,0.8668,0.8913
0.8235,0.7143,0.823
0.8372,0.7609,0.8304
0.9461,0.8722,0.9334
0.852,0.8915,0.8355
0.814,0.7515,0.8065
0.8425,0.7615,0.846
0.836,0.746,0.8375
0.923,0.8165,0.9095
0.865,0.7515,0.8715
0.8546,0.8107,0.8474
0.7821,0.7214,0.7638
0.9375,0.878,0.934
0.884,0.764,0.8815
0.912,0.8685,0.903
0.835,0.785,0.827
0.828,0.7665,0.8145
0.793,0.748,0.782
0.7668,0.7211,0.7619
0.828,0.794,0.8032
0.8577,0.7495,0.852
0.7541,0.699,0.7281
0.8328,0.8149,0.8197
0.8124,0.8095,0.809
0.8695,0.7805,0.8525
0.827,0.8085,0.8315
0.7815,0.7645,0.7655
0.8505,0.815,0.8335
0.777,0.7825,0.7765
0.834,0.77,0.8195
0.927,0.8974,0.9153
0.8969,0.7653,0.8934
0.9257,0.8844,0.914
0.8848,0.8431,0.8805
0.863,0.8625,0.841
0.8135,0.7095,0.806
0.77,0.759,0.759
0.802,0.755,0.7985
0.8105,0.759,0.803
0.861,0.8185,0.864
0.8668,0.8469,0.851
0.8235,0.7036,0.8214
0.862,0.8081,0.8562
0.8474,0.7945,0.8348
0.761,0.673,0.765
0.884,0.8705,0.874
0.77,0.683,0.728
0.8045,0.7245,0.79
0.894,0.7335,0.8965
0.9185,0.8725,0.9135
0.7694,0.7005,0.7474
0.8015,0.752,0.8026
0.8425,0.768,0.842
0.786,0.7665,0.758
0.887,0.841,0.877
0.845,0.779,0.832
0.897,0.776,0.8955
0.853,0.8645,0.8265
0.7949,0.7634,0.7935
0.7677,0.7313,0.7702
0.8959,0.7908,0.8791
0.8878,0.8071,0.8821
0.8455,0.7672,0.8406
0.8863,0.8644,0.8771
0.8145,0.7775,0.8175
0.8855,0.847,0.8825
0.805,0.783,0.7905
0.861,0.83,0.86
0.88,0.8065,0.873
0.776,0.652,0.7795
0.8061,0.7347,0.7954
0.8918,0.8653,0.8857
0.822,0.744,0.8285
0.846,0.6075,0.841
0.803,0.7605,0.78
0.8675,0.8085,0.871
0.831,0.754,0.831
0.897,0.8105,0.889
0.8547,0.8071,0.8528
0.8314,0.81,0.8319
0.7653,0.7133,0.7582
0.8617,0.776,0.8444
0.852,0.7635,0.841
0.7275,0.654,0.692
0.879,0.857,0.882
0.869,0.816,0.8675
0.77,0.6785,0.7725
0.797,0.698,0.7895
0.8717,0.826,0.862
0.9086,0.8518,0.9057
0.8265,0.7204,0.8291
0.8638,0.8444,0.8393
0.835,0.8485,0.845
0.769,0.742,0.7775
0.887,0.878,0.895
0.829,0.7765,0.8175
0.868,0.7765,0.86
0.722,0.7,0.727
0.8542,0.794,0.8533
0.9155,0.8513,0.9155
0.774,0.7653,0.7566
0.8857,0.7883,0.8755
0.805,0.7605,0.8015
0.898,0.852,0.887
0.8265,0.7495,0.821
0.806,0.753,0.81
0.856,0.8015,0.848
0.828,0.754,0.83
0.8639,0.7988,0.844
0.8605,0.8154,0.8625
0.8745,0.7878,0.8689
0.8571,0.8041,0.852
0.8315,0.7885,0.8215
0.897,0.806,0.89
0.8225,0.7375,0.807
0.862,0.824,0.8565
0.857,0.7435,0.849
0.8835,0.8145,0.88
0.8552,0.8134,0.8494
0.7969,0.7672,0.7886
0.8143,0.7454,0.802
0.8969,0.8643,0.9077
0.892,0.7505,0.895
0.9,0.854,0.886
0.823,0.7775,0.827
0.7315,0.672,0.721
0.821,0.8085,0.7945
0.789,0.751,0.781
0.9135,0.7663,0.9038
0.9461,0.8435,0.9315
0.7612,0.6561,0.7434
0.8735,0.8556,0.8837
0.8518,0.7702,0.8469
0.8547,0.8285,0.8552
0.87,0.8355,0.8675
0.855,0.805,0.8375
0.846,0.803,0.824
0.907,0.924,0.8995
0.7395,0.727,0.742
0.8225,0.7495,0.83
0.8867,0.7801,0.8893
0.8551,0.7852,0.8571
0.814,0.7845,0.799
0.845,0.8275,0.8365
0.7975,0.7805,0.804
0.83,0.7625,0.84
0.914,0.8225,0.9055
0.841,0.734,0.8255
0.8688,0.7692,0.8586
0.8353,0.7614,0.8158
0.8551,0.8372,0.8643
0.924,0.8633,0.9158
0.8372,0.7498,0.8426
0.8737,0.8081,0.8639
0.891,0.8255,0.883
0.815,0.8045,0.779
0.758,0.718,0.738
0.8135,0.7665,0.813
0.906,0.8055,0.9055
0.892,0.83,0.8855
0.8209,0.7842,0.8112
0.7959,0.7046,0.774
0.948,0.882,0.9525
0.795,0.719,0.7825
0.7245,0.7125,0.6835
0.835,0.798,0.8345
0.797,0.731,0.788
0.86,0.852,0.8475
0.794,0.8192,0.7799
0.9602,0.8751,0.9621
0.9061,0.8056,0.9
0.8143,0.7842,0.8005
0.8285,0.7815,0.81
0.866,0.8985,0.87
0.905,0.849,0.898
0.8,0.7275,0.806
0.82,0.7475,0.805
0.702,0.681,0.7035
0.8605,0.828,0.8469
0.8591,0.7838,0.8552
0.899,0.898,0.9005
0.8852,0.802,0.8898
0.861,0.8076,0.8552
0.7561,0.6783,0.724
0.8515,0.7765,0.834
0.829,0.7625,0.8415
0.809,0.7945,0.793
0.922,0.84,0.918
0.8615,0.7775,0.8565
0.802,0.7795,0.811
0.8265,0.7888,0.8321
0.8684,0.8306,0.851
0.799,0.7505,0.7925
0.8445,0.769,0.8405
0.898,0.7965,0.892
0.83,0.762,0.815
0.935,0.8935,0.934
0.845,0.825,0.834
0.7668,0.7187,0.757
0.8513,0.8003,0.846
0.7908,0.724,0.7923
0.8867,0.7745,0.8923
