RUSBag,RUSMaxBag,RUSVoteBag
0.8243,0.8306,0.8135
0.9099,0.8829,0.9027
0.8387,0.8432,0.8477
0.845,0.8315,0.8378
0.9045,0.9072,0.9018
0.8423,0.8523,0.8225
0.7937,0.7703,0.7486
0.8595,0.8631,0.8378
0.7786,0.7752,0.763
0.9231,0.8806,0.9231
0.8414,0.8108,0.8099
0.7694,0.7631,0.7919
0.8982,0.8901,0.8766
0.8811,0.891,0.8604
0.8991,0.8658,0.909
0.909,0.918,0.8811
0.7865,0.7847,0.8018
0.9081,0.8991,0.8892
0.77,0.8359,0.8403
0.8037,0.813,0.8
0.8685,0.8378,0.8207
0.8198,0.818,0.8207
0.8946,0.8874,0.882
0.827,0.8252,0.818
0.8883,0.8883,0.8739
0.8613,0.8369,0.8495
0.8036,0.7838,0.7766
0.8414,0.8108,0.8
0.9132,0.8212,0.9184
0.8861,0.8537,0.8759
0.8559,0.8541,0.8378
0.8604,0.8486,0.8405
0.8676,0.891,0.8162
0.8667,0.8252,0.8676
0.8468,0.8324,0.8279
0.8135,0.8036,0.8018
0.9189,0.8865,0.9027
0.8829,0.8757,0.8676
0.8776,0.875,0.8481
0.8593,0.8111,0.8296
0.7982,0.7964,0.773
0.9027,0.8757,0.8766
0.8595,0.873,0.8541
0.7477,0.7793,0.7649
0.9658,0.9342,0.9712
0.8342,0.8297,0.8225
0.7297,0.7649,0.718
0.8261,0.836,0.782
0.8238,0.8194,0.8056
0.9352,0.9139,0.9472
0.9514,0.9288,0.9351
0.8694,0.8694,0.8811
0.7712,0.782,0.7667
0.8712,0.8811,0.8739
0.8369,0.8279,0.8027
0.891,0.9018,0.9162
0.6856,0.6874,0.691
0.8856,0.8757,0.8523
0.8533,0.8802,0.8385
0.838,0.8009,0.8176
0.8189,0.7856,0.8252
0.9297,0.9126,0.9117
0.9234,0.9207,0.9315
0.8757,0.8892,0.8495
0.7486,0.7063,0.7387
0.9162,0.9162,0.9297
0.8342,0.7874,0.7973
0.7739,0.7766,0.7631
0.8698,0.8438,0.8585
0.8333,0.8213,0.7741
0.7793,0.7586,0.7532
0.9351,0.8955,0.945
0.8081,0.7865,0.7982
0.8829,0.8739,0.8928
0.8676,0.8423,0.8694
0.7847,0.7099,0.7721
0.9243,0.9135,0.9108
0.7802,0.8072,0.745
0.783,0.7674,0.7648
0.9204,0.9231,0.8981
0.8225,0.8189,0.8207
0.7946,0.7622,0.791
0.7649,0.764,0.7324
0.9477,0.9135,0.9342
0.9009,0.8856,0.8856
0.9333,0.909,0.9243
0.8577,0.8414,0.8198
0.8874,0.8459,0.8847
0.901,0.8889,0.8915
0.7491,0.7222,0.7306
0.8721,0.8505,0.8514
0.8802,0.8595,0.8441
0.7712,0.7306,0.7577
0.9216,0.8694,0.9198
0.7297,0.7649,0.7505
0.8207,0.8126,0.7766
0.8495,0.7982,0.8387
0.9369,0.9342,0.9477
0.9115,0.8438,0.8993
0.9343,0.9157,0.9333
0.7027,0.7063,0.6486
0.8523,0.8432,0.8207
0.8514,0.8459,0.8009
0.9162,0.891,0.9108
0.8883,0.8297,0.8802
0.8748,0.8775,0.8459
0.9099,0.8982,0.8865
0.8766,0.8559,0.8667
0.8056,0.7821,0.7865
0.8389,0.8352,0.8287
0.8637,0.8203,0.8472
