RUSBag,RUSMaxBag,RUSVoteBag
96.22,96.22,96.76
95.68,94.59,97.84
96.76,94.05,96.76
96.76,93.51,97.3
95.68,93.51,94.59
96.76,91.35,96.22
98.38,94.05,98.38
96.22,95.14,95.68
95.14,95.68,95.14
96.22,92.43,96.22
95.68,93.51,95.68
96.76,94.05,96.76
96.76,94.05,96.22
95.14,93.51,94.59
97.3,95.14,96.22
96.22,94.05,95.68
96.22,96.76,95.14
96.76,92.43,97.3
96.22,92.43,95.68
95.68,91.35,95.14
95.68,96.22,95.68
95.68,95.68,95.68
96.22,95.14,95.68
96.76,93.51,95.14
96.76,93.51,96.22
97.3,90.81,96.76
97.84,93.51,97.84
97.3,96.22,97.84
95.68,94.05,96.22
98.38,92.97,97.3
98.38,96.76,96.76
95.68,94.59,96.22
96.22,92.97,95.68
94.59,96.22,94.05
94.59,94.05,94.05
97.84,96.22,97.3
95.68,93.51,96.22
96.76,92.97,96.76
98.92,93.51,98.92
95.68,95.14,95.14
95.68,92.97,96.22
95.68,95.14,96.76
96.76,92.97,95.14
97.3,93.51,96.22
97.3,94.59,96.76
96.76,92.97,96.76
98.38,93.51,98.38
95.14,90.81,95.14
96.76,95.68,95.68
95.68,94.05,94.59
97.3,96.22,97.3
96.22,89.73,96.76
95.14,95.14,93.51
95.68,93.51,95.14
96.22,94.05,97.3
96.76,93.51,96.76
97.84,92.97,97.3
95.14,95.68,95.14
97.84,94.05,97.84
96.76,93.51,95.68
96.22,95.14,96.76
96.76,96.76,96.76
96.22,94.59,95.68
96.22,95.68,97.3
96.22,93.51,96.22
97.3,90.81,96.76
96.22,94.59,96.22
96.76,93.51,96.76
98.38,95.14,98.38
95.68,94.05,98.92
98.38,92.43,98.38
95.68,94.05,95.68
97.84,94.59,97.84
97.3,94.59,95.68
98.38,94.59,97.3
96.76,92.43,96.22
96.22,94.59,96.76
96.76,89.73,95.14
97.3,94.05,97.84
96.22,90.81,96.22
96.76,94.05,96.76
97.84,92.43,96.76
97.3,94.05,97.84
97.3,93.51,96.76
98.38,94.59,96.76
94.59,95.14,95.68
97.84,95.68,97.3
96.76,95.68,96.76
97.84,92.43,96.76
97.84,95.14,96.22
95.14,92.43,95.14
97.84,95.68,97.3
96.76,92.43,97.3
96.76,94.05,96.22
94.59,92.97,95.14
98.38,91.89,98.38
96.76,94.59,96.76
95.68,91.35,95.14
97.3,94.05,96.22
94.59,92.97,94.59

