RUSBag,RUSMaxBag,RUSVoteBag
71.98,61.72,70.33
70.15,62.09,69.78
71.61,61.36,70.15
72.34,63.55,69.96
71.61,62.64,69.96
71.25,62.64,70.51
70.51,63.19,69.23
71.43,63.55,69.6
70.51,63.92,69.41
70.51,65.02,68.5
70.51,62.45,68.68
71.25,62.27,69.96
71.43,63.19,68.13
71.25,64.1,70.88
71.98,65.38,69.96
71.43,63.74,69.23
70.7,63.19,69.05
70.15,63.19,69.05
70.88,63.19,69.41
70.33,63.37,69.41
71.61,64.29,70.51
69.78,62.45,69.6
69.96,63.55,68.68
69.6,65.02,69.41
70.88,61.17,68.68
71.79,61.72,70.7
71.25,62.64,70.15
70.88,63.92,68.86
70.88,64.1,69.96
69.96,63.55,69.23
71.98,65.75,69.41
69.78,59.16,68.86
70.88,63.37,69.23
71.79,64.29,70.15
69.6,63.0,66.12
70.88,63.0,69.6
70.7,64.84,69.78
69.96,63.55,68.32
70.88,64.29,69.05
71.79,66.3,71.06
71.61,63.19,70.51
69.78,61.9,67.95
71.06,61.9,70.51
70.7,63.0,68.68
71.25,63.37,70.7
70.33,63.19,69.05
71.98,63.55,70.15
73.08,65.02,71.61
70.88,63.0,69.6
70.7,64.84,70.51
70.15,64.29,68.68
70.7,66.12,68.68
69.6,64.1,68.86
71.25,62.82,69.78
71.43,62.82,71.06
70.7,63.37,69.78
70.51,65.02,69.05
70.51,63.92,69.6
69.23,60.07,67.95
70.15,61.9,68.32
69.96,63.92,68.68
71.06,64.84,69.23
71.43,63.55,69.6
70.88,64.47,69.05
71.25,65.2,67.95
71.79,62.82,70.7
71.98,64.47,69.41
71.79,64.29,70.7
69.78,63.55,68.86
71.06,66.12,69.05
70.88,63.55,69.6
71.61,64.29,70.33
71.06,64.47,69.6
71.06,64.84,69.6
70.15,63.74,68.86
72.53,63.55,71.06
71.43,62.64,70.88
71.43,63.0,69.41
71.06,64.1,69.96
70.88,63.92,69.05
71.98,62.09,71.06
70.15,61.54,68.32
71.25,61.72,70.33
70.51,65.38,69.05
70.33,65.93,67.4
71.06,63.37,69.6
71.25,62.82,67.95
69.78,63.37,68.68
71.79,63.37,69.41
69.78,61.54,69.05
71.06,64.47,69.41
71.43,64.1,69.78
70.88,65.2,68.86
71.61,65.93,69.41
70.7,61.17,70.15
72.34,63.37,70.15
71.98,64.1,70.33
70.7,63.0,70.33
71.43,62.64,70.33
71.06,64.65,68.86

