RUSBag,RUSMaxBag,RUSVoteBag
100.0,97.53,100.0
99.18,97.12,98.35
100.0,97.12,100.0
99.59,97.53,98.77
100.0,97.53,100.0
99.18,96.3,99.18
99.18,96.71,98.77
98.77,97.12,98.77
100.0,97.12,100.0
99.18,97.94,98.77
100.0,97.94,100.0
99.59,98.35,98.77
99.18,97.12,99.18
99.59,95.88,99.59
99.59,97.53,99.59
99.18,97.53,98.77
99.59,96.71,98.77
99.59,97.94,98.35
99.59,97.12,99.59
99.18,95.47,98.77
99.59,97.12,99.59
99.59,95.47,99.59
99.59,96.71,99.18
99.59,98.35,99.59
99.59,96.3,99.59
99.59,95.88,99.59
99.18,95.88,99.18
99.59,97.94,99.59
100.0,96.3,98.77
99.18,96.71,98.77
99.59,96.71,99.18
99.59,98.77,99.59
99.59,97.94,98.77
100.0,98.35,99.59
100.0,97.94,100.0
100.0,98.35,100.0
99.18,97.12,99.18
100.0,96.71,99.59
99.59,95.88,98.77
99.18,95.88,99.18
98.77,97.94,98.77
99.59,96.71,99.59
99.18,98.35,98.77
100.0,97.94,100.0
99.59,97.12,99.59
99.18,96.3,98.77
100.0,97.12,100.0
99.59,95.88,99.59
100.0,97.12,100.0
99.59,95.88,98.77
99.59,96.71,98.77
100.0,96.71,100.0
99.59,97.12,99.59
99.59,97.53,99.18
100.0,97.53,99.59
99.59,95.88,99.59
99.59,96.71,100.0
99.59,97.53,99.59
99.59,97.12,98.77
100.0,97.53,100.0
99.59,97.12,99.59
99.18,96.71,99.18
99.18,96.71,99.18
99.18,96.71,99.18
100.0,96.71,100.0
98.35,95.47,98.35
100.0,97.94,100.0
99.18,97.53,98.77
99.18,95.47,98.77
100.0,96.71,98.77
100.0,96.71,99.18
100.0,97.53,100.0
100.0,97.53,100.0
99.18,97.53,99.18
99.59,97.53,99.59
100.0,97.94,99.59
100.0,98.35,99.18
99.59,97.94,99.59
100.0,97.94,100.0
100.0,96.3,99.59
100.0,97.94,100.0
100.0,97.12,98.77
100.0,98.77,100.0
99.59,97.12,99.59
99.59,98.35,99.18
99.59,96.71,99.18
100.0,97.94,100.0
99.59,96.3,99.59
99.59,96.71,99.18
99.59,95.88,99.18
99.59,97.12,99.59
100.0,97.94,100.0
100.0,97.94,100.0
100.0,97.53,100.0
100.0,97.53,99.59
100.0,97.94,100.0
99.18,97.12,98.35
98.35,96.71,98.35
100.0,97.94,100.0
100.0,97.94,100.0

