RUSBag,RUSMaxBag,RUSVoteBag
60.76,50.63,59.49
56.33,45.57,56.33
56.33,43.04,55.06
54.43,40.51,53.8
58.86,43.04,56.96
55.06,39.24,51.27
58.86,47.47,54.43
54.43,44.3,52.53
56.96,48.1,55.7
56.96,47.47,55.7
55.7,40.51,55.06
56.33,43.04,56.33
55.7,45.57,56.96
55.7,40.51,55.06
58.86,44.94,54.43
59.49,50.0,58.86
55.06,44.94,54.43
59.49,44.3,58.23
54.43,44.3,53.8
53.16,40.51,53.16
56.96,44.94,55.06
56.33,44.94,55.06
54.43,45.57,54.43
53.8,46.2,52.53
56.96,39.87,55.06
55.06,44.94,51.27
55.7,43.04,53.8
56.33,43.04,54.43
54.43,43.04,53.8
55.7,43.04,56.33
55.06,46.2,55.7
60.76,47.47,57.59
54.43,39.24,52.53
55.06,50.0,53.16
55.7,43.67,53.8
57.59,47.47,57.59
55.7,47.47,55.06
53.16,48.73,53.16
55.7,44.3,53.16
58.86,44.94,56.96
56.33,42.41,55.7
53.8,44.94,52.53
55.7,41.14,55.06
57.59,44.94,55.7
55.06,43.04,55.06
56.33,46.2,53.8
55.7,45.57,55.06
56.96,41.77,56.33
59.49,41.14,56.96
56.33,42.41,54.43
54.43,46.84,53.16
56.33,48.1,56.33
57.59,48.73,56.33
54.43,39.87,51.27
55.7,44.94,53.8
56.96,42.41,51.27
53.8,41.77,54.43
55.06,43.67,53.16
56.96,48.73,55.7
57.59,47.47,55.7
55.06,44.3,54.43
55.7,44.3,55.7
55.7,47.47,53.8
55.7,43.67,56.33
58.86,46.2,56.33
58.23,44.94,55.7
59.49,46.2,58.23
56.96,41.77,54.43
55.7,46.84,53.16
55.06,48.73,54.43
53.8,42.41,52.53
58.23,43.67,54.43
56.96,46.2,57.59
55.06,49.37,51.9
56.33,48.1,55.7
53.8,44.94,53.16
55.06,44.94,55.7
55.06,43.67,53.8
57.59,45.57,54.43
57.59,49.37,55.7
56.33,46.2,54.43
58.23,48.1,56.96
55.06,44.3,56.33
54.43,46.2,55.06
57.59,45.57,56.33
55.06,41.14,54.43
54.43,44.94,53.8
56.96,46.2,56.96
55.7,43.04,56.96
57.59,51.27,55.06
53.8,44.3,53.8
55.7,43.67,54.43
56.33,44.3,55.7
59.49,51.27,57.59
54.43,48.1,53.8
59.49,43.67,55.7
54.43,42.41,55.06
53.8,43.67,52.53
58.86,51.27,56.96
52.53,48.1,53.16

