RUSBag,RUSMaxBag,RUSVoteBag
75.5,70.86,74.83
76.16,73.51,72.85
76.82,72.85,73.51
74.17,70.2,72.85
77.48,72.19,75.5
75.5,94.7,74.83
74.83,69.54,74.17
74.83,68.21,74.17
74.83,68.87,74.83
78.81,66.89,76.16
77.48,67.55,74.83
80.13,75.5,76.82
79.47,70.2,78.15
74.83,67.55,72.85
76.82,70.2,76.16
78.81,71.52,75.5
77.48,73.51,75.5
74.83,75.5,73.51
76.82,70.2,74.83
76.82,73.51,74.17
77.48,70.86,74.17
79.47,70.86,77.48
74.83,66.89,72.85
74.17,66.89,71.52
76.16,66.23,75.5
75.5,68.87,74.17
77.48,72.85,77.48
76.16,71.52,74.83
76.16,66.23,75.5
77.48,75.5,76.82
77.48,66.23,77.48
74.17,71.52,72.85
76.16,72.85,72.85
80.13,73.51,76.82
76.16,68.21,75.5
76.16,66.89,75.5
72.85,68.87,72.85
77.48,71.52,76.16
76.82,73.51,76.16
76.16,93.38,76.16
78.15,71.52,75.5
76.16,72.85,75.5
75.5,71.52,74.17
74.83,68.87,73.51
76.16,70.86,72.19
76.16,72.19,76.16
77.48,73.51,74.83
76.16,74.83,74.83
76.82,68.21,74.17
79.47,68.87,76.16
75.5,71.52,74.83
75.5,72.19,74.17
76.82,73.51,75.5
76.16,70.2,74.17
78.15,72.19,75.5
77.48,68.87,74.83
76.82,76.16,73.51
79.47,76.16,76.82
78.15,76.16,77.48
76.16,72.85,74.17
77.48,71.52,75.5
77.48,69.54,75.5
77.48,72.85,75.5
77.48,71.52,75.5
78.15,68.21,76.82
77.48,71.52,74.83
76.82,68.87,74.17
76.82,72.19,74.17
77.48,74.17,76.16
76.16,94.04,74.17
77.48,72.85,75.5
75.5,72.19,74.17
75.5,72.85,75.5
77.48,72.19,74.17
74.83,66.23,74.17
79.47,70.86,77.48
78.15,69.54,75.5
76.16,68.87,74.17
74.17,66.23,70.86
74.83,72.85,73.51
76.16,70.86,74.17
76.16,68.87,75.5
76.16,69.54,74.17
74.17,71.52,72.19
79.47,70.86,77.48
76.82,70.86,74.17
78.81,68.21,76.82
74.83,70.86,73.51
73.51,68.87,72.19
77.48,64.9,75.5
77.48,70.86,74.83
74.83,72.19,73.51
74.17,66.89,72.85
74.17,67.55,72.85
78.15,73.51,77.48
79.47,68.21,76.82
75.5,67.55,72.19
76.16,76.16,75.5
79.47,78.15,78.15
78.15,68.87,76.82

