RUSBag,RUSMaxBag,RUSVoteBag
0.6065,0.629,0.6184
0.6389,0.5862,0.6423
0.6618,0.5691,0.697
0.6027,0.5,0.6
0.6939,0.6466,0.7034
0.6438,0.56,0.6522
0.6338,0.5238,0.6338
0.5732,0.5325,0.5882
0.6222,0.5667,0.6129
0.6216,0.6571,0.6301
0.6275,0.4818,0.6174
0.6364,0.5902,0.6563
0.6483,0.6829,0.6861
0.5839,0.5344,0.5732
0.637,0.541,0.6519
0.637,0.6777,0.6462
0.6267,0.5775,0.64
0.6565,0.6034,0.6774
0.6154,0.6167,0.6522
0.6577,0.6187,0.6667
0.7027,0.619,0.7183
0.6573,0.5812,0.6667
0.5789,0.4724,0.585
0.6377,0.6016,0.6423
0.6765,0.5873,0.6818
0.6761,0.6338,0.6963
0.6144,0.5324,0.6259
0.5985,0.6281,0.6047
0.6026,0.5496,0.6133
0.6111,0.5758,0.5909
0.6338,0.5714,0.6143
0.56,0.563,0.5694
0.6074,0.6102,0.6179
0.6098,0.5899,0.6173
0.6259,0.5625,0.6618
0.625,0.5581,0.6241
0.719,0.6462,0.6986
0.6395,0.6929,0.6434
0.6241,0.5426,0.637
0.6486,0.6129,0.6618
0.6475,0.5391,0.6617
0.5874,0.5574,0.6087
0.6486,0.6618,0.6533
0.5205,0.5246,0.5344
0.6133,0.5426,0.6099
0.6525,0.5401,0.6715
0.6309,0.6222,0.6345
0.6358,0.6154,0.6389
0.695,0.5522,0.7111
0.641,0.6176,0.6536
0.6154,0.6667,0.6345
0.6466,0.5739,0.6772
0.6358,0.5581,0.6486
0.6528,0.55,0.6765
0.5874,0.5203,0.6176
0.5605,0.5714,0.5828
0.6197,0.6032,0.6567
0.6194,0.5957,0.6207
0.6846,0.6512,0.6939
0.6619,0.6142,0.6565
0.6294,0.5546,0.6567
0.596,0.5714,0.625
0.7111,0.5641,0.7059
0.6383,0.6299,0.6569
0.6069,0.5785,0.5972
0.6443,0.6357,0.6667
0.619,0.5946,0.6218
0.586,0.585,0.6232
0.6395,0.6349,0.6301
0.6122,0.5891,0.6014
0.6486,0.5714,0.6443
0.5752,0.5827,0.5882
0.6667,0.5915,0.6759
0.7133,0.6719,0.7519
0.5912,0.563,0.5733
0.6618,0.5812,0.6917
0.6286,0.6165,0.6
0.596,0.597,0.5946
0.6014,0.5781,0.5931
0.6131,0.624,0.6364
0.6329,0.6087,0.6533
0.6912,0.6441,0.6929
0.6076,0.5324,0.6164
0.5517,0.4895,0.5734
0.5985,0.5574,0.6107
0.6429,0.6573,0.6769
0.6027,0.5714,0.6111
0.6866,0.6452,0.6875
0.6621,0.5793,0.6715
0.6056,0.5938,0.6043
0.5972,0.5984,0.5972
0.6515,0.6,0.629
0.6617,0.6195,0.6457
0.5931,0.5926,0.6074
0.6715,0.6783,0.6718
0.6667,0.5691,0.6812
0.5695,0.6043,0.5926
0.6242,0.5797,0.6447
0.6197,0.5882,0.6143
0.6027,0.5528,0.6197
0.6164,0.5156,0.6154
0.6957,0.6504,0.6815
0.6434,0.5738,0.6667
0.5658,0.6406,0.585
0.7234,0.5041,0.6917
0.6197,0.5547,0.6143
0.6383,0.6724,0.6316
0.6,0.6261,0.5984
0.5655,0.6308,0.5714
0.6225,0.5909,0.6438
0.6486,0.6613,0.6014
0.5957,0.5,0.6099
0.5875,0.6406,0.5987
0.6575,0.6935,0.6531
0.5806,0.5496,0.596
0.6389,0.625,0.6338
0.6207,0.5401,0.6187
0.6014,0.5192,0.5833
0.6715,0.6557,0.7121
0.6923,0.6723,0.7143
0.6267,0.5983,0.6345
0.5954,0.5763,0.5625
0.6715,0.6094,0.6567
0.5369,0.5357,0.5369
0.6259,0.6167,0.6434
0.638,0.6351,0.6133
0.6184,0.6029,0.6081
0.6761,0.629,0.6963
0.6761,0.6333,0.6423
0.5946,0.5781,0.5752
0.5621,0.5672,0.6056
0.637,0.5882,0.6462
0.6364,0.5873,0.6563
0.6242,0.5593,0.6316
0.64,0.6142,0.6395
0.7111,0.7,0.7164
0.6369,0.6667,0.6536
0.6222,0.6606,0.6364
0.6056,0.5645,0.6131
0.6259,0.6667,0.6241
0.6338,0.6379,0.6187
0.6767,0.624,0.6769
0.5616,0.5039,0.5942
0.6438,0.6165,0.6573
0.6173,0.6207,0.6225
0.6309,0.629,0.6389
0.6486,0.5634,0.6429
0.6577,0.6218,0.6531
0.6093,0.5968,0.6122
0.6906,0.6992,0.6861
0.625,0.6087,0.597
0.6345,0.6406,0.6479
0.6383,0.5965,0.6522
0.6309,0.625,0.6197
0.6027,0.5691,0.6143
0.5867,0.5238,0.6107
0.6536,0.6569,0.6667
0.6579,0.5828,0.6577
0.6241,0.5938,0.6212
0.6714,0.6452,0.6963
0.6027,0.5496,0.6081
0.6536,0.6074,0.6531
0.6122,0.592,0.6111
0.6358,0.6471,0.6438
0.6187,0.5669,0.6512
0.6471,0.5954,0.6466
0.6617,0.6016,0.6512
0.6351,0.5942,0.6197
0.6197,0.5691,0.6232
0.6714,0.6726,0.6715
0.6207,0.6142,0.6207
0.589,0.6271,0.589
0.6528,0.5957,0.6438
0.5867,0.5691,0.6014
0.6667,0.5827,0.6613
0.6144,0.6016,0.6069
0.6906,0.6281,0.7273
0.6277,0.678,0.6269
0.6575,0.6119,0.6528
0.5833,0.5827,0.5915
0.589,0.6,0.6043
0.6043,0.6364,0.6462
0.6154,0.6324,0.6144
0.6358,0.5812,0.6358
0.6479,0.5984,0.6667
0.6309,0.6357,0.662
0.6259,0.5231,0.6043
0.6483,0.6364,0.6573
0.5811,0.5588,0.5957
0.626,0.6154,0.6299
0.6207,0.6281,0.6294
0.6197,0.55,0.6143
0.5909,0.5,0.624
0.6076,0.5873,0.6154
0.6569,0.6277,0.6825
0.5926,0.625,0.5939
0.6131,0.5738,0.597
0.662,0.6116,0.6714
0.6389,0.6667,0.6259
0.6906,0.6333,0.6667
0.6667,0.6423,0.6667
0.6525,0.5625,0.6715
0.596,0.544,0.6081
0.6358,0.6772,0.6575
0.585,0.5556,0.5778
0.6377,0.547,0.6331
0.6164,0.5902,0.6294
0.6415,0.6316,0.6541
0.6154,0.6462,0.6212
0.6187,0.569,0.6222
0.5714,0.5484,0.5714
0.6667,0.6571,0.6853
0.6761,0.6,0.6857
0.549,0.5564,0.5714
0.6405,0.597,0.6575
0.5899,0.5841,0.5915
0.6241,0.5909,0.6618
0.6225,0.5075,0.6301
0.6861,0.6891,0.6767
0.6232,0.6179,0.6512
0.5949,0.6357,0.5974
0.589,0.6154,0.6232
