RUSBag,RUSMaxBag,RUSVoteBag
0.8112,0.8943,0.8169
0.7432,0.896,0.7552
0.7347,0.878,0.7626
0.7852,0.807,0.797
0.7852,0.7857,0.7879
0.7846,0.8421,0.784
0.7133,0.876,0.7463
0.7917,0.8889,0.7887
0.8095,0.8852,0.816
0.8777,0.918,0.8759
0.7852,0.8547,0.7597
0.7368,0.8276,0.7188
0.8358,0.843,0.8308
0.7429,0.8833,0.7481
0.7785,0.8689,0.7692
0.8088,0.7826,0.8148
0.8,0.8926,0.8235
0.7692,0.8621,0.7752
0.8029,0.8376,0.7852
0.8028,0.8455,0.8058
0.7353,0.8264,0.7576
0.7482,0.8293,0.7519
0.7808,0.871,0.7778
0.8593,0.8871,0.8571
0.766,0.875,0.766
0.7424,0.8618,0.7597
0.7852,0.9091,0.8
0.8058,0.843,0.8209
0.7068,0.8142,0.7287
0.8,0.944,0.8244
0.7922,0.8271,0.7432
0.7733,0.8167,0.7887
0.8029,0.8833,0.7941
0.7517,0.8136,0.7413
0.7538,0.8403,0.7287
0.8085,0.8739,0.7852
0.7857,0.8174,0.7794
0.7794,0.8618,0.7879
0.7857,0.8814,0.7826
0.8227,0.8906,0.8321
0.7917,0.8833,0.7914
0.8271,0.8393,0.8333
0.7737,0.8871,0.7879
0.8148,0.8246,0.8095
0.8657,0.8596,0.8504
0.7353,0.8033,0.7424
0.7883,0.8814,0.7704
0.7482,0.8333,0.7576
0.8175,0.85,0.8271
0.7333,0.843,0.7606
0.777,0.8618,0.7826
0.7517,0.8125,0.7746
0.8286,0.9016,0.8529
0.7971,0.8889,0.7941
0.7333,0.9032,0.7361
0.8,0.8793,0.797
0.8092,0.8793,0.7874
0.8169,0.878,0.8235
0.75,0.8547,0.7445
0.8286,0.8814,0.8321
0.8438,0.8547,0.8254
0.8085,0.8943,0.8321
0.7941,0.8205,0.7603
0.8889,0.9244,0.8871
0.7883,0.878,0.797
0.7671,0.8235,0.7857
0.8511,0.9206,0.8345
0.7883,0.8889,0.8
0.8175,0.8852,0.8209
0.7941,0.8293,0.806
0.8345,0.8871,0.806
0.7448,0.871,0.7413
0.7606,0.8167,0.7714
0.8201,0.8983,0.8088
0.8217,0.8376,0.7742
0.7737,0.8475,0.7704
0.76,0.8819,0.7671
0.8235,0.8814,0.8421
0.8296,0.8348,0.8333
0.7746,0.8571,0.806
0.8,0.8235,0.7903
0.8361,0.8348,0.8595
0.7943,0.8908,0.806
0.7746,0.8276,0.7746
0.7794,0.8413,0.7939
0.7299,0.8108,0.7385
0.8058,0.8333,0.8058
0.7671,0.8413,0.7586
0.8095,0.8696,0.7692
0.7413,0.7833,0.7482
0.8,0.871,0.7883
0.8058,0.8926,0.8088
0.7832,0.843,0.7832
0.7559,0.8205,0.7581
0.8148,0.8852,0.797
0.8175,0.9091,0.8209
0.8175,0.876,0.8271
0.7714,0.8739,0.7704
0.7424,0.7857,0.7597
0.8154,0.8718,0.8
0.777,0.8319,0.7647
0.8507,0.8871,0.8507
0.8028,0.8504,0.7971
0.7518,0.8376,0.7445
0.7703,0.8594,0.7887
0.8369,0.896,0.8467
0.8058,0.878,0.8235
0.8855,0.8596,0.8906
0.7801,0.8595,0.7681
0.7556,0.8174,0.7481
0.7259,0.8525,0.7023
0.8148,0.8475,0.812
0.7883,0.8621,0.7939
0.8088,0.88,0.8088
0.7907,0.8174,0.7717
0.7832,0.8525,0.8175
0.8,0.873,0.8058
0.8345,0.9016,0.8421
0.8551,0.878,0.8613
0.7887,0.8281,0.7681
0.7714,0.8739,0.797
0.8028,0.8246,0.8175
0.8169,0.8852,0.8235
0.7538,0.8034,0.7402
0.8226,0.8257,0.7731
0.7801,0.7833,0.766
0.8485,0.8673,0.8594
0.7552,0.8308,0.7465
0.8592,0.8889,0.8592
0.7612,0.8174,0.7538
0.8219,0.8661,0.8369
0.8397,0.8522,0.8438
0.75,0.8167,0.7424
0.8,0.8036,0.8062
0.8116,0.878,0.782
0.8194,0.876,0.7971
0.8112,0.8889,0.7883
0.7231,0.7928,0.7273
0.8281,0.8448,0.813
0.7626,0.8548,0.7571
0.806,0.8615,0.8244
0.7606,0.8667,0.806
0.8028,0.8594,0.7971
0.7445,0.8837,0.7463
0.8527,0.8926,0.864
0.7402,0.8037,0.7419
0.7681,0.8305,0.7879
0.8029,0.8644,0.8088
0.7826,0.8455,0.7794
0.8,0.8833,0.8085
0.8382,0.9344,0.8296
0.766,0.873,0.7353
0.7576,0.8,0.7402
0.8056,0.9206,0.8116
0.7914,0.8739,0.7669
0.8058,0.8667,0.8058
0.8029,0.8621,0.8182
0.7586,0.9106,0.7857
0.8235,0.8793,0.8148
0.7606,0.7934,0.7737
0.8175,0.8644,0.812
0.7534,0.8661,0.7692
0.7556,0.8246,0.7559
0.7737,0.8308,0.7704
0.7681,0.8689,0.7556
0.7517,0.8906,0.7413
0.8571,0.8983,0.8769
0.7852,0.8448,0.8062
0.7761,0.8527,0.7846
0.8444,0.7966,0.8397
0.7448,0.8376,0.75
0.7971,0.8595,0.7761
0.7286,0.8103,0.7634
0.7639,0.8361,0.7681
0.8286,0.8769,0.8088
0.7273,0.7636,0.6984
0.7353,0.7414,0.7424
0.875,0.8814,0.8819
0.7852,0.906,0.791
0.8235,0.8403,0.7937
0.7785,0.85,0.7671
0.7324,0.8571,0.7246
0.7626,0.8,0.7681
0.8148,0.843,0.812
0.8143,0.9355,0.8201
0.7867,0.8976,0.8
0.88,0.9167,0.878
0.8154,0.8276,0.8031
0.8406,0.8814,0.8467
0.8112,0.8661,0.7883
0.8209,0.8547,0.8182
0.8722,0.9076,0.8682
0.8489,0.9048,0.8551
0.7919,0.9008,0.7746
0.8485,0.8319,0.8462
0.7971,0.876,0.791
0.8,0.8197,0.7969
0.8112,0.8871,0.8088
0.777,0.8103,0.7941
0.8271,0.8067,0.8
0.7857,0.8596,0.7737
0.777,0.8,0.7737
0.7656,0.8571,0.748
0.8175,0.85,0.8209
0.8201,0.8739,0.8235
0.7755,0.8871,0.7857
0.8209,0.8475,0.803
0.8321,0.8926,0.8031
0.8392,0.896,0.8286
0.8286,0.8833,0.8382
0.7581,0.8475,0.7521
0.7143,0.8346,0.7111
0.8406,0.8983,0.8296
0.8261,0.8976,0.8182
0.7941,0.8871,0.791
0.7746,0.8361,0.8029
0.7681,0.8319,0.7647
0.75,0.8226,0.7634
0.8112,0.8947,0.8085
0.8163,0.85,0.8028
0.7727,0.8667,0.7907
0.8088,0.8034,0.797
0.7746,0.8571,0.777
0.8,0.8174,0.812
0.7692,0.871,0.7681
0.8194,0.9194,0.7914
0.8,0.8833,0.797
0.8175,0.8305,0.8271
0.8209,0.8403,0.8217
0.7183,0.8226,0.7338
0.76,0.9048,0.7568
0.7591,0.8174,0.7424
0.7887,0.9032,0.7971
0.8321,0.8571,0.8296
0.7852,0.8595,0.7939
0.8271,0.8621,0.816
0.7972,0.8174,0.8116
0.8421,0.8908,0.8397
0.777,0.8276,0.777
0.8,0.8594,0.791
0.8209,0.8926,0.8182
0.7559,0.8305,0.7438
0.8088,0.871,0.803
0.8088,0.8,0.7727
0.7945,0.9016,0.7972
0.7467,0.8403,0.7234
0.8271,0.876,0.8244
0.8175,0.8889,0.812
0.8054,0.8403,0.8082
0.8227,0.9219,0.7971
0.7299,0.8142,0.7206
0.7755,0.873,0.7778
0.7669,0.8739,0.7786
0.8092,0.8618,0.8254
0.7519,0.8293,0.7519
0.7246,0.7966,0.7299
0.7761,0.75,0.7879
0.8244,0.8673,0.8308
0.7755,0.8527,0.7724
0.8613,0.871,0.8676
0.8321,0.8475,0.8209
0.7879,0.8571,0.7846
0.7801,0.9016,0.7857
0.8143,0.9217,0.8116
0.8217,0.8966,0.832
0.7887,0.871,0.7826
0.7639,0.816,0.7536
0.8252,0.8769,0.8286
0.7429,0.8475,0.75
0.7397,0.864,0.75
0.7463,0.8376,0.7424
0.7286,0.8475,0.7246
0.7943,0.878,0.7857
0.8,0.8246,0.7797
0.782,0.8333,0.7846
0.8485,0.8319,0.8438
0.8252,0.9063,0.8227
0.7794,0.8618,0.8092
0.7634,0.7544,0.7597
0.7519,0.8319,0.7424
0.7755,0.8246,0.8028
0.8148,0.7273,0.812
0.8485,0.9076,0.8372
0.7692,0.8527,0.75
0.8571,0.8288,0.8308
0.7576,0.8226,0.7538
0.7591,0.843,0.7576
0.6803,0.7805,0.6944
0.806,0.8522,0.8031
0.8,0.878,0.8143
0.8028,0.85,0.8143
0.806,0.8393,0.8154
0.7482,0.8889,0.7536
0.7846,0.8571,0.7752
0.7852,0.8403,0.7727
0.7714,0.8525,0.791
0.7647,0.8333,0.7576
0.7368,0.7931,0.736
0.7857,0.8908,0.7647
0.8,0.8305,0.7481
0.7852,0.8667,0.7752
0.8148,0.871,0.8333
0.7534,0.8103,0.7714
0.8112,0.8837,0.8201
0.7517,0.8547,0.7465
0.7761,0.8667,0.7727
0.791,0.8403,0.8
0.8593,0.8246,0.855
0.7286,0.8595,0.7338
0.7945,0.9063,0.8116
0.7971,0.8475,0.7692
0.7442,0.8142,0.746
0.766,0.8413,0.7737
0.8138,0.9063,0.8252
0.8235,0.8548,0.8271
0.8088,0.8983,0.7846
0.8112,0.875,0.7971
0.7752,0.8468,0.7717
0.8112,0.9,0.8058
0.8,0.85,0.812
0.7313,0.8814,0.7313
0.803,0.85,0.8125
0.7917,0.8167,0.7914
0.875,0.8621,0.8661
0.7746,0.8455,0.7536
0.7862,0.876,0.7917
0.7801,0.864,0.7794
0.8154,0.8833,0.8455
0.8489,0.8943,0.8613
0.855,0.8943,0.8462
0.8054,0.8943,0.8082
0.8467,0.9291,0.8507
0.8696,0.871,0.8571
0.8031,0.8496,0.8136
0.812,0.8595,0.8244
0.7887,0.8361,0.791
0.8261,0.8871,0.8444
0.7448,0.8103,0.7681
0.8261,0.9,0.8
0.8209,0.9,0.8244
0.8029,0.8667,0.7941
0.7639,0.7752,0.7606
0.8421,0.8718,0.8462
0.7826,0.8618,0.782
0.7941,0.876,0.782
0.7755,0.8065,0.7887
0.7972,0.85,0.8058
0.7746,0.8906,0.7801
0.8,0.8319,0.8189
0.8529,0.8908,0.8358
0.7612,0.9,0.7481
0.7606,0.8806,0.7518
0.8271,0.8547,0.816
0.7465,0.7438,0.75
0.8571,0.8205,0.8759
0.7704,0.8571,0.7612
0.812,0.9167,0.8244
0.7874,0.8718,0.7903
0.7692,0.8475,0.766
0.8182,0.8235,0.8062
0.7692,0.8361,0.7971
0.8031,0.8696,0.7967
0.8079,0.8814,0.7838
0.8358,0.8833,0.8397
0.7518,0.8819,0.75
0.7482,0.8644,0.7353
0.8333,0.8871,0.8321
0.8397,0.9167,0.8189
0.8345,0.8235,0.797
0.7939,0.8036,0.7907
0.7755,0.8413,0.7914
0.7945,0.8871,0.7917
0.7826,0.8596,0.797
0.8636,0.8983,0.855
0.7534,0.8413,0.7606
0.766,0.8718,0.7737
0.7852,0.8833,0.803
0.7681,0.8475,0.7737
0.7692,0.8197,0.7445
0.7914,0.876,0.7761
0.8382,0.8926,0.8271
0.7943,0.8618,0.7971
0.8029,0.8067,0.7879
0.7669,0.8696,0.7812
0.7568,0.8308,0.7606
0.8552,0.916,0.831
