RUSBag,RUSMaxBag,RUSVoteBag
0.9032,0.9041,0.8961
0.8874,0.8511,0.8874
0.8609,0.8421,0.8591
0.8553,0.8777,0.8553
0.8758,0.8593,0.8758
0.879,0.9324,0.8961
0.9103,0.9362,0.8889
0.9139,0.9139,0.9139
0.8919,0.8696,0.8767
0.9161,0.9371,0.9032
0.9467,0.8986,0.9396
0.8679,0.9041,0.8608
0.8816,0.8759,0.8844
0.9125,0.9014,0.8974
0.8917,0.8857,0.8961
0.8535,0.8951,0.8462
0.9007,0.9028,0.9067
0.8874,0.9065,0.8933
0.9103,0.9167,0.9091
0.8684,0.8489,0.8742
0.8625,0.869,0.8625
0.88,0.8759,0.8828
0.9342,0.9091,0.9333
0.9045,0.9014,0.9045
0.9079,0.8841,0.9189
0.8848,0.9437,0.8743
0.915,0.9065,0.8993
0.8608,0.922,0.8481
0.8662,0.8472,0.8758
0.9139,0.8358,0.8993
0.8503,0.8662,0.8415
0.9189,0.9362,0.9189
0.9079,0.8986,0.9139
0.9079,0.9231,0.9189
0.915,0.9116,0.915
0.878,0.9459,0.878
0.8609,0.8421,0.8456
0.9342,0.9037,0.9116
0.9125,0.9189,0.9241
0.8861,0.9241,0.8974
0.9542,0.922,0.9542
0.9342,0.9286,0.9333
0.8974,0.9139,0.8961
0.9221,0.9437,0.9221
0.8718,0.8671,0.8497
0.8344,0.8125,0.8188
0.8831,0.8759,0.8742
0.8758,0.92,0.8758
0.88,0.8986,0.8784
0.9221,0.9231,0.9281
0.9045,0.9,0.9045
0.9272,0.8951,0.9128
0.8875,0.9371,0.879
0.8333,0.8966,0.8182
0.9079,0.9065,0.9067
0.8903,0.9444,0.8816
0.9041,0.8824,0.9041
0.9057,0.8859,0.8903
0.9351,0.9014,0.9351
0.8961,0.9189,0.8961
0.8917,0.9143,0.8974
0.8861,0.9324,0.8846
0.9221,0.9167,0.9272
0.8734,0.8905,0.8734
0.9128,0.9362,0.9189
0.8679,0.8936,0.859
0.8961,0.8551,0.8961
0.9079,0.9143,0.9079
0.9091,0.8828,0.8874
0.8944,0.9167,0.882
0.8846,0.9091,0.8846
0.9103,0.9388,0.9032
0.9172,0.8857,0.9032
0.8774,0.9014,0.8846
0.8805,0.9041,0.8734
0.9333,0.9577,0.9396
0.9057,0.9252,0.9114
0.9128,0.9014,0.9116
0.875,0.9128,0.879
0.8889,0.8921,0.9054
0.8591,0.8382,0.8552
0.9359,0.9167,0.9419
0.9103,0.9103,0.8974
0.8846,0.9014,0.8627
0.8707,0.8759,0.8571
0.9057,0.8857,0.9172
0.8684,0.8936,0.8742
0.8889,0.922,0.8834
0.9262,0.9078,0.9252
0.8944,0.8611,0.8875
0.8679,0.8966,0.8679
0.9114,0.9103,0.8903
0.9351,0.9296,0.9333
0.8889,0.913,0.8889
0.9116,0.9037,0.9116
0.9045,0.8841,0.9161
0.915,0.8759,0.9262
0.9032,0.8993,0.9091
0.8553,0.8201,0.8609
0.8831,0.8986,0.8684
0.8774,0.8794,0.8774
0.882,0.9128,0.9103
0.8831,0.9306,0.8889
0.9103,0.9143,0.9091
0.8846,0.8857,0.8846
0.8816,0.9306,0.8933
0.8961,0.8794,0.8947
0.8859,0.8777,0.8859
0.9012,0.9396,0.9057
0.902,0.8759,0.9007
0.915,0.9444,0.9091
0.9114,0.9067,0.9172
0.875,0.8966,0.8861
0.8828,0.8905,0.8844
0.8734,0.8873,0.8846
0.8774,0.8286,0.8627
0.9161,0.9155,0.9161
0.8553,0.8921,0.8481
0.9067,0.9296,0.9067
0.9067,0.9362,0.9054
0.8608,0.8828,0.859
0.9427,0.966,0.9548
0.8961,0.8921,0.902
0.9045,0.9231,0.9103
0.8861,0.9028,0.8718
0.8758,0.8921,0.8933
0.8667,0.8921,0.8725
0.8645,0.8714,0.8684
0.8987,0.8841,0.9103
0.9091,0.9,0.9155
0.9045,0.9155,0.9172
0.8667,0.8986,0.8591
0.9404,0.8382,0.9333
0.902,0.9155,0.9067
0.9221,0.8951,0.9333
0.882,0.9078,0.8931
0.8625,0.8936,0.8679
0.9211,0.9459,0.9324
0.8481,0.8451,0.8333
0.9103,0.9371,0.9161
0.859,0.9388,0.859
0.8947,0.8741,0.8874
0.875,0.9315,0.879
0.8987,0.9315,0.8974
0.9045,0.922,0.9091
0.8903,0.8714,0.8889
0.8961,0.9362,0.88
0.9324,0.8636,0.9252
0.9128,0.9028,0.92
0.8931,0.9041,0.8974
0.8944,0.9388,0.9114
0.8903,0.9379,0.8903
0.8834,0.8767,0.875
0.8974,0.9091,0.8874
0.8725,0.8633,0.8844
0.9007,0.9014,0.9007
0.9281,0.8905,0.9272
0.9116,0.8759,0.9103
0.9,0.8904,0.8931
0.8859,0.8905,0.8919
0.9045,0.8951,0.9045
0.9396,0.8971,0.9396
0.8931,0.8828,0.8917
0.8627,0.8794,0.8684
0.8917,0.8551,0.8627
0.902,0.8794,0.8874
0.8874,0.8271,0.8859
0.8903,0.8951,0.8903
0.915,0.9155,0.902
0.8679,0.9167,0.8608
0.915,0.9091,0.915
0.9193,0.9296,0.9125
0.8947,0.9,0.9007
0.8696,0.8732,0.8625
0.9221,0.9103,0.9079
0.902,0.9444,0.8947
0.88,0.8921,0.8707
0.8961,0.9054,0.8889
0.8516,0.9155,0.8497
0.9467,0.922,0.9324
0.9342,0.922,0.9342
0.8642,0.9452,0.8642
0.9178,0.8955,0.9028
0.859,0.8844,0.8645
0.9221,0.9028,0.9333
0.915,0.9209,0.9262
0.8936,0.8511,0.8921
0.8861,0.8936,0.879
0.8861,0.8811,0.8917
0.8758,0.8511,0.8874
0.915,0.9209,0.9139
0.8758,0.922,0.8742
0.8533,0.8828,0.8591
0.9211,0.9091,0.9262
0.8718,0.8714,0.8718
0.8805,0.8784,0.8734
0.8627,0.9241,0.8553
0.8859,0.8671,0.898
0.929,0.9116,0.9211
0.8987,0.8966,0.8974
0.863,0.8828,0.8552
0.8679,0.8529,0.8516
0.8535,0.8873,0.8645
0.8322,0.8593,0.8435
0.9542,0.9524,0.9542
0.9419,0.8921,0.9139
0.9342,0.9286,0.92
0.9103,0.9167,0.9231
0.8734,0.898,0.8774
0.8553,0.8857,0.8667
0.902,0.8444,0.9079
0.9262,0.9437,0.9262
0.9161,0.9091,0.9281
0.8519,0.8732,0.85
0.9068,0.9067,0.9068
0.9161,0.8841,0.9211
0.8933,0.9078,0.8919
0.8493,0.8759,0.8552
0.9467,0.9517,0.9467
0.8645,0.8873,0.8571
0.8861,0.8936,0.8758
0.9114,0.9143,0.9103
0.8214,0.8531,0.8171
0.8784,0.8759,0.863
0.9103,0.9128,0.9091
0.8774,0.8889,0.8947
