RUSBag,RUSMaxBag,RUSVoteBag
0.6207,0.5581,0.6316
0.5217,0.4375,0.5333
0.7234,0.5854,0.7273
0.766,0.5806,0.8
0.6275,0.6047,0.6122
0.619,0.5455,0.5946
0.6222,0.5581,0.6222
0.566,0.4737,0.6
0.6415,0.4118,0.6667
0.7143,0.6154,0.6829
0.6667,0.4186,0.6667
0.7347,0.4667,0.8182
0.6829,0.6452,0.6667
0.6441,0.619,0.6441
0.5,0.3333,0.4615
0.7083,0.5161,0.7234
0.4706,0.45,0.4783
0.7083,0.6667,0.6818
0.7826,0.55,0.7556
0.6038,0.3333,0.5833
0.7308,0.6,0.7083
0.6154,0.4,0.6818
0.5405,0.2581,0.5714
0.7037,0.5238,0.7391
0.7273,0.6667,0.7442
0.6939,0.5116,0.7391
0.6667,0.4211,0.6522
0.7059,0.4667,0.72
0.6383,0.5263,0.6818
0.6667,0.6667,0.6939
0.7907,0.8205,0.7805
0.6429,0.5641,0.6923
0.6512,0.5455,0.6
0.6667,0.4762,0.6531
0.5283,0.3333,0.56
0.55,0.3158,0.6111
0.68,0.6154,0.6939
0.6667,0.3784,0.6957
0.6222,0.4242,0.619
0.6792,0.4737,0.6531
0.6383,0.4706,0.6383
0.6531,0.4706,0.6667
0.7234,0.5714,0.7234
0.8,0.5455,0.7619
0.6222,0.5294,0.6047
0.5714,0.4571,0.5789
0.64,0.5405,0.6522
0.6809,0.3429,0.6957
0.6667,0.619,0.6667
0.549,0.5116,0.5217
0.64,0.5714,0.6667
0.5652,0.6818,0.5909
0.6154,0.4889,0.64
0.6,0.5263,0.6383
0.6667,0.5366,0.6512
0.766,0.5556,0.8
0.76,0.6154,0.75
0.5833,0.5714,0.619
0.68,0.5882,0.6829
0.6667,0.4706,0.6809
0.52,0.4103,0.5417
0.6522,0.5641,0.6222
0.7826,0.6486,0.7273
0.56,0.359,0.5778
0.619,0.5143,0.6
0.6415,0.6,0.64
0.64,0.5405,0.6522
0.6275,0.4878,0.6122
0.72,0.6222,0.7083
0.6939,0.5294,0.6957
0.6667,0.5455,0.7111
0.7407,0.6,0.7308
0.6977,0.5128,0.7143
0.6154,0.5116,0.5882
0.6538,0.7273,0.6222
0.6818,0.6154,0.6667
0.6667,0.619,0.6977
0.6829,0.5294,0.6829
0.7083,0.6154,0.7317
0.5957,0.4,0.5909
0.7391,0.5405,0.7391
0.6531,0.5294,0.6531
0.5556,0.4651,0.5714
0.6038,0.619,0.6667
0.4898,0.4,0.5455
0.7234,0.5854,0.7391
0.6538,0.5366,0.6531
0.619,0.3871,0.619
0.6957,0.4615,0.7317
0.625,0.4348,0.5909
0.5833,0.3243,0.6222
0.6667,0.5143,0.6667
0.717,0.4615,0.72
0.6957,0.3871,0.7273
0.6383,0.4167,0.6512
0.4878,0.3636,0.5405
0.7143,0.55,0.7143
0.5882,0.55,0.6122
