RUSBag,RUSMaxBag,RUSVoteBag
0.5909,0.6923,0.5909
0.3462,0.5385,0.3462
0.6,0.5714,0.5789
0.7692,0.7692,0.7692
0.5455,0.6,0.5455
0.8125,0.8462,0.8125
0.6471,0.7,0.6471
0.619,0.6923,0.619
0.65,0.7333,0.6842
0.8125,0.8462,0.8667
0.6364,0.8,0.619
0.5882,0.7273,0.5882
0.6087,0.4667,0.6087
0.75,0.6429,0.8
0.5882,0.6429,0.6667
0.52,0.4667,0.52
0.8235,0.8,0.8235
0.6471,0.7857,0.6471
0.5417,0.7333,0.5417
0.5556,0.8889,0.5556
0.7222,0.75,0.7333
0.5909,0.6875,0.5909
0.4783,0.3529,0.5
0.5556,0.7778,0.5882
0.6875,0.7692,0.6875
0.6364,0.6923,0.6364
0.5238,0.5,0.55
0.65,0.7143,0.6316
0.6471,0.875,0.6875
0.7222,0.7857,0.8
0.5652,0.6429,0.65
0.5263,0.5385,0.5882
0.5652,0.8,0.5652
0.5238,0.6923,0.5238
0.65,0.7778,0.65
0.6,0.5909,0.6667
0.7,0.5455,0.7
0.65,0.8889,0.6667
0.6842,0.6,0.6667
0.6471,0.8333,0.6667
0.5,0.6429,0.6111
0.6,0.6667,0.6
0.6111,0.5455,0.625
0.8125,0.8,0.8125
0.5217,0.6364,0.55
0.56,0.9,0.56
0.52,0.6667,0.52
0.7,0.7273,0.7
0.6316,0.75,0.6316
0.6316,0.8182,0.6316
0.7368,0.7143,0.7
0.5417,0.6154,0.5417
0.6875,0.5333,0.6875
0.6087,0.5789,0.6087
0.6842,0.6667,0.6667
0.52,0.625,0.5455
0.8125,0.8,0.8125
0.5714,0.7692,0.6
0.5263,0.5,0.5263
0.5294,0.6154,0.5294
0.5652,0.6667,0.5652
0.65,0.5833,0.65
0.65,0.8182,0.5882
0.5714,0.5882,0.5714
0.7333,0.5714,0.75
0.5789,0.7273,0.5789
0.5833,0.7222,0.6087
0.5909,0.5556,0.5909
0.6316,0.8182,0.6471
0.55,0.5,0.5789
0.6087,0.8571,0.5714
0.48,0.625,0.48
0.6316,0.6923,0.6667
0.6667,0.9091,0.7222
0.7222,0.8889,0.7222
0.6,0.6667,0.6
0.6842,0.75,0.6842
0.7059,1.0,0.7059
0.55,0.7,0.5625
0.5556,0.7273,0.5882
0.7059,0.6154,0.7059
0.6111,0.5294,0.6111
0.7222,0.6429,0.7222
0.7647,0.8333,0.75
0.6316,0.7273,0.7059
0.5217,0.5333,0.5789
0.5909,0.7059,0.619
0.6875,0.7778,0.6875
0.6111,0.6923,0.6111
0.48,0.4762,0.5
0.7857,0.8889,0.7692
0.5652,0.8182,0.5652
0.5789,0.4706,0.6471
0.6667,0.9,0.6667
0.65,0.7273,0.65
0.4762,0.7,0.5
0.6316,0.8,0.6471
0.619,0.625,0.619
0.6087,0.7059,0.6087
0.5909,0.6667,0.5909
0.7647,0.9,0.8125
0.5417,0.7143,0.5714
0.6364,0.7692,0.6364
0.6471,0.4167,0.6429
0.65,0.5,0.6316
