RUSBag,RUSMaxBag,RUSVoteBag
0.3721,0.4231,0.4103
0.4,0.4,0.4375
0.4839,0.7059,0.5333
0.3684,0.36,0.3611
0.4737,0.5385,0.5
0.2973,0.3913,0.3235
0.4286,0.5,0.4828
0.4474,0.5455,0.4324
0.4848,0.65,0.4828
0.5294,0.5714,0.5161
0.4828,0.5294,0.4643
0.4545,0.5,0.4828
0.3571,0.3871,0.4242
0.5,0.6875,0.48
0.4359,0.3636,0.4571
0.4,0.3611,0.4242
0.3846,0.5263,0.3947
0.4211,0.4,0.4839
0.4359,0.5,0.4359
0.4146,0.3529,0.4211
0.3947,0.4828,0.4118
0.4865,0.5882,0.5
0.4444,0.6667,0.4571
0.4,0.4231,0.4063
0.425,0.4,0.4444
0.4063,0.4074,0.4483
0.3469,0.3448,0.3409
0.4815,0.5,0.4815
0.3556,0.4074,0.3721
0.4848,0.3913,0.5517
0.4865,0.4783,0.5294
0.4737,0.5417,0.4571
0.4688,0.5714,0.4828
0.4,0.5,0.4848
0.3778,0.4545,0.4048
0.3947,0.4063,0.3939
0.375,0.3793,0.4483
0.439,0.6667,0.4737
0.4324,0.6667,0.4667
0.4118,0.4,0.4242
0.3333,0.4706,0.3714
0.4857,0.5833,0.4571
0.4516,0.5,0.4815
0.3333,0.36,0.35
0.3778,0.4286,0.3864
0.4848,0.5789,0.5
0.3784,0.4643,0.4
0.4054,0.4783,0.375
0.4857,0.4615,0.5333
0.5143,0.5385,0.5517
0.3913,0.48,0.4286
0.3542,0.4615,0.3478
0.4286,0.4,0.4545
0.4,0.4783,0.4444
0.4,0.4286,0.4074
0.3889,0.4444,0.4
0.4667,0.4,0.4815
0.4722,0.4783,0.4545
0.5161,0.6,0.5172
0.4167,0.4,0.4688
0.5455,0.6,0.5806
0.4146,0.3333,0.425
0.375,0.4815,0.4054
0.3514,0.4545,0.3636
0.4359,0.4211,0.4211
0.4359,0.4063,0.4706
0.4545,0.4063,0.4688
0.5769,0.6923,0.6
0.4857,0.4762,0.4839
0.4571,0.4,0.4848
0.4167,0.4118,0.4118
0.4167,0.5263,0.4242
0.3571,0.3704,0.375
0.381,0.4138,0.3846
0.3784,0.3929,0.4
0.359,0.4348,0.3889
0.4286,0.3939,0.4359
0.475,0.5,0.5
0.5161,0.6111,0.5161
