RUSBag,RUSMaxBag,RUSVoteBag
0.4653,0.5571,0.4796
0.5111,0.5484,0.5301
0.5488,0.5072,0.5897
0.4835,0.4286,0.4941
0.5543,0.5513,0.5667
0.5165,0.5,0.5422
0.5172,0.4648,0.5172
0.4312,0.4141,0.4592
0.525,0.5231,0.5507
0.4894,0.5349,0.5
0.4848,0.3976,0.4842
0.5385,0.5294,0.5676
0.5165,0.6087,0.5663
0.4434,0.4605,0.4412
0.5375,0.4925,0.55
0.5375,0.6212,0.56
0.4947,0.4713,0.5053
0.5658,0.5738,0.6087
0.5,0.5692,0.5422
0.5158,0.5059,0.5269
0.5532,0.5417,0.5795
0.5281,0.5397,0.5402
0.449,0.411,0.4624
0.5301,0.5441,0.5366
0.5679,0.5211,0.5844
0.5517,0.5172,0.5875
0.4796,0.4405,0.5
0.5,0.5758,0.527
0.4653,0.4737,0.4842
0.4889,0.4872,0.5
0.5114,0.481,0.5
0.4375,0.4691,0.4556
0.5062,0.5625,0.5507
0.4587,0.4881,0.4673
0.5,0.4932,0.5556
0.5056,0.4865,0.5116
0.5612,0.56,0.5604
0.5109,0.6111,0.5227
0.5116,0.473,0.5375
0.5106,0.5429,0.5488
0.5294,0.5082,0.557
0.4719,0.5,0.5
0.5106,0.5488,0.5104
0.4176,0.4776,0.4605
0.4842,0.473,0.5
0.5349,0.4512,0.561
0.5,0.525,0.5111
0.5,0.5333,0.5169
0.5698,0.4684,0.6
0.4902,0.5122,0.5051
0.4944,0.5942,0.5055
0.5443,0.541,0.589
0.4948,0.48,0.5106
0.5281,0.5077,0.5679
0.4773,0.4706,0.5185
0.4314,0.4565,0.4583
0.5057,0.5352,0.557
0.48,0.4884,0.5
0.5426,0.5676,0.5543
0.5412,0.5342,0.5584
0.5056,0.5077,0.55
0.4639,0.481,0.5
0.5926,0.5238,0.5854
0.5233,0.5556,0.5488
0.4889,0.5303,0.4831
0.5106,0.5541,0.5393
0.5493,0.5893,0.5781
0.451,0.4674,0.5181
0.5109,0.5634,0.5055
0.4839,0.5067,0.4831
0.5161,0.507,0.5106
0.449,0.5139,0.4592
0.5326,0.4828,0.5444
0.5795,0.589,0.641
0.4519,0.475,0.4526
0.5556,0.5484,0.5897
0.5116,0.519,0.5132
0.4639,0.5,0.4681
0.4831,0.5,0.4725
0.506,0.5493,0.5385
0.4808,0.5,0.5104
0.5732,0.5938,0.6027
0.4615,0.4353,0.4891
0.4444,0.3977,0.4659
0.5,0.5075,0.5263
0.5294,0.5341,0.5867
0.4835,0.507,0.4944
0.5823,0.5797,0.6027
0.5333,0.4667,0.561
0.4886,0.5135,0.4941
0.4778,0.5205,0.4778
0.5513,0.5132,0.5571
0.557,0.5932,0.5616
0.4778,0.5,0.5125
0.561,0.65,0.5789
0.5465,0.5147,0.5663
0.4479,0.5,0.5
0.4804,0.4819,0.5052
0.5057,0.4938,0.5059
0.4783,0.4928,0.5
0.4891,0.4459,0.4944
0.5714,0.5797,0.5679
0.5169,0.5147,0.5476
0.4433,0.5616,0.4674
0.593,0.4559,0.5897
0.5057,0.4634,0.5059
0.5233,0.6393,0.5385
0.52,0.6,0.5278
0.4556,0.5467,0.4872
0.4845,0.5,0.5109
0.5106,0.5857,0.4831
0.4828,0.4677,0.4943
0.4434,0.5541,0.4563
0.5275,0.6232,0.5217
0.45,0.4737,0.4688
0.5169,0.5479,0.5172
0.5,0.4512,0.5119
0.4886,0.551,0.4719
0.561,0.597,0.6104
0.5921,0.6154,0.625
0.4896,0.5556,0.5055
0.5065,0.5313,0.4865
0.5542,0.527,0.55
0.4255,0.5263,0.4255
0.5,0.5692,0.5227
0.4815,0.5054,0.4842
0.4845,0.5062,0.4839
0.5517,0.5652,0.5875
0.5517,0.5846,0.5366
0.4681,0.5,0.4444
0.4343,0.475,0.4886
0.5309,0.5385,0.5526
0.5385,0.5139,0.5676
0.4804,0.5238,0.4948
0.5053,0.5417,0.5109
0.6,0.6462,0.6076
0.4902,0.5625,0.5102
0.525,0.6667,0.5455
0.4943,0.5072,0.5122
0.4946,0.5556,0.5057
0.5114,0.5968,0.5059
0.5696,0.5493,0.5789
0.4457,0.4384,0.4881
0.5165,0.5256,0.5341
0.4673,0.5,0.4896
0.5,0.5652,0.5169
0.5161,0.4598,0.5294
0.5213,0.5781,0.5217
0.4792,0.5362,0.4891
0.5647,0.6232,0.5663
0.5,0.5738,0.5
0.5055,0.5541,0.5227
0.5172,0.5667,0.5357
0.5,0.5479,0.5057
0.4835,0.5147,0.5059
0.4632,0.4648,0.5263
0.5102,0.5488,0.5326
0.5155,0.4583,0.5213
0.5116,0.5205,0.5325
0.5465,0.5714,0.5802
0.4783,0.4675,0.4787
0.5051,0.5062,0.5161
0.4839,0.5211,0.4889
0.5,0.5432,0.5165
0.5119,0.5,0.5676
0.5432,0.5132,0.5513
0.5641,0.5441,0.5676
0.5054,0.494,0.5057
0.5057,0.5147,0.5181
0.5465,0.6441,0.5542
0.4945,0.5342,0.4945
0.4674,0.5781,0.4674
0.5222,0.4828,0.5109
0.4632,0.5147,0.4886
0.5714,0.5139,0.5942
0.4796,0.5441,0.4889
0.5714,0.5758,0.6234
0.5244,0.6349,0.5316
0.5275,0.519,0.5281
0.4667,0.5068,0.4773
0.4674,0.5132,0.4941
0.4941,0.625,0.5526
0.4706,0.5244,0.4747
0.5,0.5484,0.5
0.5287,0.5278,0.5542
0.5,0.5541,0.5402
0.5,0.4533,0.5
0.5222,0.5455,0.5341
0.4624,0.4691,0.4884
0.5325,0.64,0.5479
0.4945,0.5672,0.5056
0.5,0.5,0.5
0.5,0.4429,0.5493
0.466,0.5211,0.4752
0.5488,0.5244,0.6056
0.4486,0.5479,0.4455
0.5122,0.5224,0.5063
0.5402,0.5606,0.5529
0.5169,0.5714,0.5
0.5647,0.5758,0.5556
0.5263,0.5366,0.5393
0.5349,0.4932,0.561
0.4688,0.4857,0.4839
0.5,0.5972,0.5275
0.4674,0.493,0.4875
0.5301,0.5161,0.5238
0.4891,0.5294,0.5056
0.4857,0.4898,0.4952
0.4944,0.5526,0.5256
0.5059,0.5323,0.5185
0.4651,0.4857,0.4651
0.5333,0.5349,0.5506
0.5455,0.5455,0.5581
0.4286,0.4744,0.4565
0.5,0.5063,0.5275
0.4881,0.569,0.4828
0.5116,0.5065,0.5556
0.4896,0.4304,0.5055
0.5732,0.6406,0.5769
0.5119,0.5507,0.56
0.4563,0.5541,0.4646
0.4725,0.5806,0.5181
0.4947,0.4505,0.5053
0.4674,0.5132,0.4787
0.5823,0.5132,0.5696
0.4719,0.4853,0.5286
0.4554,0.4848,0.4479
0.4945,0.4667,0.5116
0.4824,0.5857,0.5
0.5632,0.6154,0.5949
0.4842,0.6032,0.5393
0.5,0.5,0.4681
0.4615,0.4865,0.5
0.4842,0.55,0.5055
0.52,0.5156,0.52
0.5275,0.5857,0.5213
0.5119,0.5405,0.5181
0.4688,0.5882,0.5057
0.5104,0.5263,0.5385
0.4545,0.5571,0.46
0.625,0.5932,0.6324
0.5333,0.5417,0.5333
0.4421,0.4583,0.4773
0.5227,0.4667,0.5513
0.4783,0.4667,0.4941
0.5465,0.6061,0.561
0.4421,0.5373,0.4362
0.4286,0.4762,0.4583
0.4796,0.5068,0.4742
0.5595,0.5,0.5625
0.5393,0.5211,0.5529
0.47,0.493,0.5341
0.4944,0.4493,0.4944
0.5417,0.5949,0.5882
0.5357,0.5147,0.5714
0.5488,0.4872,0.5625
0.4778,0.5,0.4884
0.4712,0.52,0.4757
0.4674,0.5606,0.4831
0.5769,0.5606,0.589
0.5172,0.5781,0.5233
0.5517,0.5522,0.5663
0.5116,0.5211,0.5
0.4886,0.4925,0.4875
0.4466,0.4889,0.4639
0.5679,0.6269,0.5974
0.4583,0.5469,0.4688
0.5275,0.5075,0.5625
0.4646,0.4578,0.4889
0.5595,0.5362,0.5783
0.5,0.5753,0.5366
0.4646,0.4722,0.4889
0.4886,0.4658,0.5122
0.4324,0.4634,0.451
0.4945,0.5395,0.5181
0.4947,0.5506,0.56
0.5783,0.5513,0.6104
0.5233,0.5645,0.5422
0.5393,0.5294,0.5679
0.5059,0.5068,0.5244
0.4348,0.494,0.4535
0.4556,0.4684,0.494
0.5875,0.56,0.6301
0.5059,0.507,0.5119
0.5,0.5161,0.5342
0.4787,0.5429,0.5056
0.5049,0.56,0.5417
0.4659,0.5231,0.4762
0.5368,0.5882,0.5258
0.5517,0.5616,0.5732
0.5055,0.5294,0.5422
0.4257,0.4719,0.4421
0.5119,0.5753,0.5309
0.5217,0.5443,0.5294
0.5111,0.4933,0.5227
0.4476,0.4937,0.4608
0.5542,0.4605,0.5641
0.5658,0.5738,0.5733
0.4713,0.4615,0.4881
0.4747,0.6324,0.4947
0.5,0.56,0.5366
0.4946,0.5467,0.5
0.5104,0.5195,0.5161
0.55,0.5781,0.5616
0.4947,0.5522,0.5
0.5,0.4881,0.5
0.5495,0.5068,0.5618
0.5056,0.5342,0.5357
0.5111,0.4872,0.5233
0.5055,0.5455,0.4592
0.4719,0.5143,0.4773
0.5506,0.6154,0.5765
0.4565,0.4382,0.5065
0.4674,0.5,0.4545
0.5294,0.4925,0.55
0.5181,0.5556,0.6027
0.5663,0.5556,0.5926
0.5056,0.4605,0.5294
0.5158,0.4545,0.5333
0.4526,0.4872,0.4725
0.5301,0.55,0.557
0.5506,0.5056,0.5054
0.4891,0.4932,0.5238
0.4653,0.4886,0.4688
0.5301,0.5467,0.5385
0.4796,0.5781,0.4783
0.5833,0.6129,0.6
0.4466,0.4583,0.4455
0.5882,0.5395,0.6098
0.557,0.5147,0.5696
0.4667,0.4937,0.4524
0.4839,0.5,0.5056
0.5301,0.5735,0.5309
0.4388,0.4429,0.4421
0.5,0.44,0.5287
0.5783,0.5882,0.6133
0.6098,0.5833,0.6329
0.6,0.6111,0.6071
0.4624,0.5135,0.4767
0.5114,0.5342,0.5169
0.5301,0.5405,0.5256
0.5056,0.5342,0.5119
0.5,0.5472,0.506
0.5244,0.5278,0.5714
0.5114,0.5205,0.5172
0.5443,0.4928,0.5714
0.5056,0.5385,0.5634
0.4792,0.5325,0.4839
0.4455,0.5385,0.4646
0.4554,0.5526,0.4479
