RUSBag,RUSMaxBag,RUSVoteBag
0.4286,0.4667,0.4286
0.4098,0.451,0.4098
0.4717,0.5833,0.4717
0.5,0.5405,0.5217
0.4211,0.525,0.4211
0.4364,0.4792,0.4364
0.4,0.4423,0.4
0.5714,0.7407,0.5714
0.4528,0.5116,0.451
0.4528,0.4667,0.4528
0.451,0.5263,0.4583
0.5122,0.5882,0.5676
0.4528,0.5714,0.4706
0.5102,0.6471,0.5102
0.4364,0.4364,0.4364
0.5,0.5714,0.5
0.5,0.5455,0.5
0.4444,0.4583,0.4423
0.4615,0.5349,0.4615
0.3934,0.4783,0.3934
0.4211,0.4583,0.4211
0.4237,0.4681,0.4237
0.5208,0.5476,0.5208
0.4902,0.5641,0.4902
0.3934,0.4348,0.3934
0.5,0.5641,0.5
0.5854,0.5526,0.5897
0.4706,0.5676,0.48
0.375,0.5227,0.375
0.4898,0.6,0.4898
0.4138,0.5385,0.4138
0.4808,0.5349,0.4808
0.4902,0.6053,0.4902
0.4464,0.4545,0.4464
0.4068,0.434,0.4068
0.4286,0.434,0.4528
0.4615,0.4615,0.4615
0.48,0.5556,0.5
0.5238,0.5758,0.5
0.3934,0.4615,0.3934
0.4138,0.55,0.4138
0.5,0.6552,0.4894
0.4098,0.4894,0.4098
0.4386,0.4792,0.4386
0.4286,0.5938,0.4286
0.4364,0.5,0.4364
0.4364,0.4706,0.4364
0.4528,0.5455,0.4528
0.5217,0.6176,0.5349
0.4706,0.561,0.4706
0.4364,0.4634,0.4364
0.4902,0.6216,0.4902
0.4902,0.5641,0.4902
0.4902,0.6154,0.5
0.4211,0.451,0.4211
0.5106,0.6154,0.5106
0.4107,0.5,0.4107
0.4286,0.4872,0.4286
0.4423,0.5238,0.4694
0.4364,0.5227,0.4364
0.434,0.5556,0.434
0.4444,0.4762,0.44
0.5102,0.5714,0.625
0.3906,0.4667,0.3968
0.3934,0.3966,0.3934
0.5455,0.5526,0.5455
0.4898,0.5588,0.4898
0.4286,0.55,0.4286
0.4138,0.4107,0.4138
0.5333,0.6667,0.5333
0.4898,0.5676,0.4898
0.463,0.5208,0.463
0.4182,0.4583,0.4182
0.5,0.5641,0.5
0.4615,0.5405,0.4706
0.5641,0.6286,0.5789
0.4444,0.4468,0.4528
0.381,0.4444,0.381
0.4068,0.4667,0.4068
0.4211,0.4444,0.4211
0.4528,0.4737,0.4615
0.431,0.431,0.431
0.5,0.5789,0.5
0.463,0.4898,0.463
0.4444,0.5833,0.4444
0.5,0.6061,0.5217
0.4068,0.451,0.4068
0.4364,0.475,0.4364
0.4286,0.451,0.4286
0.48,0.5882,0.5106
0.4286,0.439,0.4364
0.575,0.5135,0.5641
0.4464,0.4717,0.4464
0.431,0.4872,0.431
0.4138,0.44,0.4138
0.5106,0.5714,0.5106
0.4364,0.6,0.4364
0.4528,0.4423,0.4528
0.4615,0.4773,0.48
0.5106,0.6667,0.5106
0.4615,0.5143,0.4615
0.4717,0.6875,0.4717
0.4902,0.5333,0.4902
0.5952,0.6216,0.6098
0.4615,0.6,0.4615
0.3871,0.449,0.3871
0.4,0.4565,0.4
0.4706,0.4792,0.4706
0.4444,0.575,0.4528
0.4138,0.5111,0.4211
0.4615,0.6316,0.4615
0.463,0.4615,0.4528
0.4098,0.4182,0.4098
0.4364,0.5789,0.4528
0.4364,0.4894,0.4364
0.48,0.5946,0.5227
0.4894,0.5714,0.4894
0.575,0.5946,0.6053
0.5106,0.5333,0.5111
0.4528,0.5455,0.4615
0.5,0.6563,0.5
0.5435,0.6471,0.5435
0.4032,0.4035,0.4032
0.4098,0.451,0.4098
0.55,0.6176,0.5641
0.4138,0.4884,0.4138
0.3934,0.4348,0.3934
0.5217,0.5854,0.5455
0.4211,0.4894,0.4211
0.4889,0.5128,0.5
0.5106,0.5385,0.5455
0.431,0.4722,0.431
0.4464,0.5476,0.463
0.4717,0.5556,0.4717
0.4528,0.46,0.4528
0.4286,0.5217,0.4694
0.4,0.4314,0.4
0.44,0.5833,0.4468
0.5,0.5714,0.5
0.4286,0.525,0.4286
0.4615,0.5106,0.4615
0.4902,0.6,0.4902
0.5102,0.525,0.5122
0.4615,0.697,0.4615
0.5,0.5833,0.5
0.5,0.6061,0.5
0.4107,0.5122,0.4681
0.4444,0.5,0.4444
0.4528,0.4889,0.4528
0.4,0.375,0.4
0.4783,0.5143,0.4773
0.5102,0.5106,0.5102
0.5,0.5102,0.5
0.431,0.42,0.431
0.4615,0.4545,0.4706
0.4138,0.5111,0.4286
0.4107,0.4884,0.4259
0.434,0.5294,0.434
0.375,0.5,0.375
0.5455,0.6176,0.5476
0.4364,0.4792,0.4364
0.3731,0.434,0.3731
0.449,0.5128,0.4681
0.4902,0.6154,0.5
0.48,0.48,0.48
0.4898,0.6,0.4898
0.48,0.5111,0.48
0.381,0.3929,0.381
0.4898,0.6774,0.5
0.5714,0.7143,0.5714
0.4528,0.6389,0.4528
0.3968,0.5476,0.3968
0.5,0.525,0.4894
0.5319,0.5349,0.575
0.4694,0.4884,0.5
0.4286,0.434,0.4286
0.48,0.5238,0.48
0.4286,0.5854,0.4286
0.381,0.5,0.381
0.4615,0.5116,0.4615
0.4068,0.4182,0.4068
0.4032,0.434,0.4032
0.4545,0.48,0.4545
0.4464,0.4464,0.4464
0.4286,0.5854,0.4286
0.4694,0.5128,0.4894
0.4898,0.4872,0.4898
0.4706,0.5833,0.48
0.5106,0.5946,0.5106
0.4706,0.55,0.4706
0.5,0.5556,0.525
0.4545,0.4783,0.463
0.5106,0.6111,0.5581
0.5106,0.6176,0.5111
0.4444,0.5333,0.4528
0.4444,0.4884,0.4528
0.4068,0.4634,0.4068
0.4528,0.6857,0.4528
0.4444,0.4444,0.4444
0.3934,0.4889,0.3934
0.5,0.5789,0.5
0.3906,0.4237,0.3906
0.5,0.6563,0.5
0.463,0.48,0.463
0.5,0.6129,0.5
0.4286,0.5263,0.4286
0.4211,0.5263,0.4211
0.5106,0.5946,0.5333
0.4286,0.55,0.4286
0.4138,0.5122,0.4138
0.4528,0.5111,0.4528
0.4615,0.6364,0.5
0.5111,0.6111,0.5111
0.5,0.55,0.5
0.4286,0.5,0.4286
0.381,0.5349,0.381
0.48,0.4783,0.48
0.4211,0.4651,0.4211
0.48,0.5116,0.5
0.5,0.6667,0.5111
0.3871,0.4286,0.3871
0.5,0.575,0.5
0.4808,0.6111,0.4808
0.4464,0.5,0.4545
0.4783,0.6129,0.4889
0.4528,0.5897,0.4528
0.4364,0.4762,0.4364
0.4898,0.5789,0.4898
0.5227,0.5789,0.5676
0.4364,0.4884,0.4364
0.4211,0.4694,0.4211
0.4464,0.561,0.4464
0.4464,0.5789,0.4464
0.4717,0.4889,0.4717
0.4681,0.5714,0.4889
0.4364,0.4583,0.4364
0.4706,0.6176,0.4706
0.4528,0.5128,0.4528
0.48,0.55,0.48
0.4286,0.5405,0.4286
0.4706,0.5,0.4706
0.4386,0.463,0.4386
0.5435,0.5714,0.5435
0.4545,0.6053,0.463
0.4211,0.4783,0.4211
0.4898,0.575,0.5106
0.4035,0.5278,0.4074
0.5217,0.5854,0.5217
0.44,0.4146,0.4583
0.3934,0.4444,0.3934
0.4808,0.5,0.4808
0.3934,0.4444,0.3934
0.5,0.4878,0.5
0.5,0.5806,0.5106
0.434,0.451,0.434
0.4615,0.6061,0.4615
0.4138,0.525,0.4138
0.451,0.5526,0.451
0.4706,0.5116,0.4706
0.4528,0.5526,0.4528
0.463,0.575,0.463
0.4694,0.5556,0.4894
0.4464,0.55,0.4464
0.4314,0.5556,0.44
0.5333,0.697,0.5333
0.4444,0.449,0.4444
0.4211,0.4375,0.4615
0.4528,0.475,0.4528
0.4286,0.4681,0.4286
0.4898,0.5106,0.4898
0.5,0.561,0.5111
0.4545,0.4898,0.4545
0.3472,0.3607,0.3521
0.451,0.6,0.46
0.4615,0.6786,0.4615
0.5106,0.6154,0.5106
0.5,0.5581,0.5
0.4444,0.4894,0.4528
0.4615,0.5,0.4706
0.4528,0.5476,0.4528
0.4211,0.5,0.4211
0.4032,0.4364,0.4032
0.5435,0.5946,0.5435
0.5102,0.5405,0.5
0.48,0.6552,0.4792
0.4528,0.5588,0.4528
0.5106,0.5349,0.5106
0.4211,0.5676,0.4211
0.4259,0.4474,0.4583
0.4211,0.45,0.5
0.3636,0.4,0.3636
0.4167,0.4898,0.4167
0.4902,0.5319,0.5102
0.48,0.5227,0.4898
0.4364,0.5455,0.4364
0.55,0.6552,0.5526
0.5854,0.5405,0.5854
0.5,0.7333,0.5
0.4706,0.5238,0.4706
0.4138,0.4894,0.4138
0.4364,0.4898,0.4364
0.5854,0.6452,0.6
0.4098,0.5581,0.4098
0.4902,0.5135,0.4898
0.5106,0.5714,0.5106
0.4286,0.5227,0.4286
0.3871,0.4,0.3871
0.4211,0.4706,0.4211
0.451,0.6452,0.46
0.5,0.5,0.5106
0.5333,0.5854,0.5581
0.4032,0.4098,0.4032
0.5,0.7308,0.5
0.381,0.4773,0.381
0.4444,0.4545,0.4444
0.5,0.5946,0.5
0.4706,0.5349,0.4706
0.46,0.4583,0.5
0.3934,0.46,0.3934
0.4444,0.5581,0.4444
0.4444,0.5227,0.4444
0.4068,0.5238,0.44
0.5208,0.5714,0.5581
0.463,0.5676,0.463
0.5455,0.6857,0.5455
0.4068,0.5,0.4138
0.4068,0.4872,0.4068
0.4898,0.6,0.4898
0.4,0.5135,0.4
0.48,0.5111,0.48
0.4545,0.6176,0.4545
0.5,0.6111,0.5
0.4032,0.4898,0.4032
0.4068,0.5476,0.4068
0.4444,0.5122,0.4444
0.4615,0.5938,0.4615
0.4286,0.5349,0.4286
0.6,0.5833,0.6
0.4898,0.6111,0.5227
0.3934,0.4894,0.3934
0.4068,0.4583,0.4068
0.5455,0.6053,0.5455
0.463,0.575,0.4717
0.4808,0.4894,0.4808
0.4286,0.5,0.4286
0.4286,0.4286,0.4286
0.4138,0.4667,0.4211
0.4615,0.4706,0.4615
0.4528,0.5429,0.4528
0.48,0.5349,0.48
0.3934,0.5,0.3934
0.3731,0.3788,0.3731
0.5208,0.6,0.5208
0.3968,0.46,0.3968
0.5,0.5349,0.5
0.4528,0.55,0.4528
0.5789,0.6875,0.6286
0.5106,0.5676,0.561
0.4894,0.6471,0.4894
0.48,0.6563,0.48
0.4375,0.4667,0.4884
0.4808,0.5435,0.4808
0.4545,0.4773,0.4545
0.5435,0.6389,0.5435
0.48,0.5833,0.4898
0.48,0.7143,0.48
0.48,0.6,0.4898
0.48,0.5641,0.4898
0.4211,0.5897,0.4211
0.3833,0.4737,0.3833
0.431,0.4694,0.431
0.431,0.525,0.4464
0.4286,0.5667,0.4286
0.4,0.4211,0.4
0.4528,0.5526,0.4528
0.5714,0.6471,0.5714
0.5,0.5806,0.5
0.5455,0.6176,0.561
0.381,0.4706,0.381
0.4444,0.6563,0.4444
0.434,0.4872,0.44
0.3968,0.4898,0.3968
0.4167,0.5897,0.4167
0.4894,0.5429,0.5366
0.6,0.5862,0.5897
0.5106,0.5676,0.5106
0.5,0.5217,0.5
0.4,0.5385,0.4211
0.4138,0.4222,0.4138
0.4894,0.76,0.4894
0.5,0.5676,0.5116
0.4894,0.5116,0.4894
0.4444,0.55,0.4528
0.3846,0.463,0.3846
0.5455,0.5833,0.5455
0.5,0.5135,0.5
0.4898,0.5862,0.5106
0.4,0.4651,0.4211
0.4528,0.4898,0.4528
0.5106,0.5789,0.5106
0.4138,0.5227,0.4211
0.4032,0.3966,0.4032
0.4717,0.6,0.4717
0.463,0.575,0.463
0.4528,0.5238,0.4528
0.561,0.6286,0.6053
0.4068,0.5263,0.4068
0.5714,0.625,0.5854
0.4423,0.5405,0.4423
0.4894,0.6176,0.4894
0.5,0.5116,0.5
0.5319,0.5143,0.5455
0.3906,0.3934,0.3906
0.3833,0.5,0.3898
0.48,0.5946,0.48
0.4211,0.5111,0.4211
0.5581,0.6364,0.5581
0.4211,0.55,0.4364
0.4898,0.5455,0.5111
0.4762,0.68,0.4878
0.4259,0.4681,0.4375
0.5208,0.6579,0.5319
0.5,0.5897,0.5
0.4792,0.4688,0.5
0.4138,0.4583,0.4364
0.4615,0.5476,0.4615
0.4068,0.4583,0.4068
0.4706,0.6897,0.5
0.4138,0.4545,0.4364
0.48,0.5111,0.48
0.4706,0.5455,0.4706
0.463,0.5128,0.463
0.5102,0.5476,0.5102
0.4211,0.525,0.4211
0.4615,0.5789,0.5106
0.5,0.6389,0.5
0.3871,0.4884,0.3871
0.4444,0.5641,0.4444
0.5,0.5405,0.5333
0.4364,0.5,0.4364
0.4694,0.5294,0.4694
0.48,0.6,0.48
0.4545,0.5227,0.4717
0.4167,0.4694,0.4167
0.4286,0.4423,0.4286
0.4138,0.5111,0.4138
0.4706,0.5,0.4706
0.4035,0.5263,0.4035
0.5,0.5526,0.5
0.4706,0.6111,0.4706
0.4,0.4211,0.4
0.4167,0.5556,0.4167
0.5581,0.6333,0.5714
0.4386,0.5111,0.4386
0.4444,0.4894,0.4694
0.4898,0.5217,0.4898
0.48,0.6053,0.4898
0.4706,0.4783,0.4706
0.4792,0.5588,0.4792
0.4364,0.5116,0.434
0.3692,0.4583,0.375
0.4237,0.4237,0.4237
0.5556,0.7407,0.5682
0.4386,0.4444,0.4464
0.4364,0.5588,0.4444
0.4444,0.4634,0.4444
0.4138,0.5556,0.4286
0.4615,0.4889,0.4615
0.6154,0.697,0.6316
0.5,0.5385,0.5714
0.4211,0.4889,0.4364
0.4717,0.5333,0.4717
0.463,0.5897,0.463
0.4528,0.5263,0.4528
0.4528,0.5238,0.4528
0.434,0.561,0.46
0.4528,0.55,0.4706
0.4615,0.4884,0.4615
0.4364,0.5588,0.4444
0.4615,0.5,0.4615
0.375,0.4423,0.375
0.4545,0.5333,0.4545
0.4386,0.5526,0.4386
0.4386,0.575,0.4386
0.5,0.5882,0.5
0.4898,0.5385,0.4898
0.4286,0.5238,0.4286
0.48,0.5366,0.48
0.4,0.5455,0.4
0.5106,0.6364,0.5106
0.4286,0.5106,0.4286
0.463,0.5682,0.463
0.431,0.6053,0.431
0.5102,0.5366,0.5106
0.4444,0.5714,0.44
0.4364,0.4571,0.4364
0.5,0.5349,0.5
0.5349,0.6333,0.5789
0.4286,0.5238,0.4364
0.4068,0.5,0.4068
0.48,0.5641,0.5217
0.463,0.55,0.463
0.3521,0.3607,0.3521
0.5556,0.5789,0.5814
0.4182,0.6129,0.434
0.4286,0.4773,0.4118
0.4444,0.5476,0.4444
0.4138,0.5476,0.4138
0.5455,0.6111,0.5581
0.5106,0.5789,0.5217
0.4615,0.5333,0.4615
0.5,0.5581,0.5
0.3968,0.4583,0.3968
0.4545,0.5,0.4545
0.6,0.7241,0.6316
0.4444,0.5161,0.4444
0.5,0.6,0.5217
0.4444,0.5366,0.4706
0.4706,0.4894,0.4706
0.3692,0.4419,0.3692
0.4898,0.5263,0.4898
0.3906,0.451,0.3906
0.4808,0.6176,0.4808
0.4386,0.5333,0.4464
0.4898,0.5455,0.4898
0.4444,0.4681,0.4444
0.5,0.5238,0.5
0.4444,0.4615,0.4444
0.451,0.5128,0.4694
0.48,0.5806,0.48
0.4138,0.4694,0.4528
0.463,0.5,0.463
0.463,0.5349,0.463
0.4808,0.5333,0.4902
0.5,0.5278,0.5
0.4211,0.5,0.4211
0.4615,0.5122,0.5
0.46,0.5366,0.4792
0.48,0.4894,0.4694
0.4444,0.5385,0.4528
0.4694,0.5152,0.4783
0.4237,0.4773,0.4237
0.5,0.5405,0.5
0.5102,0.6944,0.5102
0.4068,0.4651,0.4068
0.4138,0.475,0.4138
0.4706,0.5946,0.4706
0.4615,0.5111,0.4615
0.4444,0.5854,0.4444
0.4706,0.5641,0.4706
0.431,0.5882,0.4545
0.431,0.5349,0.431
0.5,0.5789,0.5102
0.4898,0.5946,0.4898
0.4706,0.4651,0.4468
0.4211,0.46,0.4211
0.4528,0.525,0.4423
0.4894,0.6563,0.5
0.4528,0.5,0.4706
0.4286,0.5128,0.4286
0.5581,0.6471,0.5556
0.4464,0.5581,0.4464
0.4464,0.6333,0.4464
0.4,0.4468,0.4
0.5106,0.5128,0.5641
0.4364,0.4651,0.4364
0.5217,0.5476,0.5217
0.3934,0.4681,0.3934
0.3934,0.4222,0.3934
0.5106,0.5882,0.5106
0.5111,0.6471,0.5227
0.4545,0.6,0.4545
0.5319,0.6857,0.5319
0.4032,0.46,0.4032
0.4138,0.4762,0.4138
0.4286,0.475,0.4286
0.4138,0.5349,0.4138
0.3934,0.4894,0.4068
0.48,0.6111,0.48
0.5349,0.5938,0.5476
0.4528,0.5833,0.4528
0.4032,0.4667,0.4032
0.4694,0.4222,0.4792
0.463,0.5897,0.463
0.381,0.4783,0.381
0.5106,0.7188,0.5106
0.561,0.6667,0.55
0.4,0.434,0.4
0.5455,0.5789,0.5349
