RUSBag,RUSMaxBag,RUSVoteBag
0.716,0.9016,0.725
0.6395,0.8889,0.6667
0.6353,0.8852,0.6883
0.726,0.8846,0.7465
0.726,0.88,0.7429
0.75,0.9231,0.7778
0.6296,0.8983,0.6944
0.6951,0.9455,0.7
0.7969,0.9,0.8095
0.7922,0.9333,0.8
0.726,0.9091,0.7313
0.6901,0.8889,0.697
0.7778,0.8644,0.7941
0.6667,0.9138,0.7101
0.6667,0.8833,0.679
0.7432,0.8491,0.7534
0.7179,0.9153,0.7568
0.7353,0.9259,0.7463
0.7333,0.8909,0.726
0.7125,0.8525,0.7273
0.6757,0.8475,0.7143
0.6753,0.8361,0.7042
0.6786,0.871,0.6829
0.7945,0.8871,0.8438
0.6835,0.8485,0.6835
0.7,0.8689,0.7313
0.726,0.9322,0.7647
0.7273,0.8644,0.7639
0.662,0.902,0.7015
0.7397,0.9365,0.7826
0.663,0.7746,0.6395
0.6591,0.8448,0.7
0.7333,0.9138,0.7297
0.6437,0.8571,0.6543
0.7206,0.8772,0.7015
0.7215,0.9123,0.726
0.7051,0.8868,0.7162
0.7162,0.8689,0.7429
0.7051,0.9286,0.7105
0.7342,0.8636,0.76
0.6951,0.9138,0.7143
0.7746,0.94,0.7857
0.7067,0.8871,0.7429
0.7534,0.9038,0.7969
0.8056,0.9423,0.8308
0.6757,0.8167,0.7
0.72,0.9286,0.7123
0.6753,0.8621,0.7143
0.7467,0.8793,0.7746
0.625,0.8644,0.675
0.7013,0.8689,0.7105
0.6437,0.7879,0.6875
0.7436,0.9167,0.7838
0.7237,0.9455,0.7297
0.625,0.9032,0.6463
0.7397,0.9444,0.7465
0.7681,0.9444,0.7692
0.725,0.8852,0.7568
0.6585,0.9091,0.68
0.7436,0.9286,0.76
0.8182,0.9091,0.8125
0.7215,0.9016,0.76
0.7297,0.8727,0.7797
0.875,0.9649,0.8871
0.72,0.8852,0.7465
0.6667,0.8596,0.7051
0.7595,0.9063,0.7532
0.72,0.9455,0.7397
0.7467,0.9,0.7639
0.7297,0.8361,0.75
0.7532,0.8871,0.75
0.6506,0.871,0.6543
0.675,0.8448,0.6923
0.7403,0.9464,0.7432
0.791,0.8909,0.7742
0.7067,0.8929,0.7123
0.6477,0.8615,0.6667
0.7568,0.9286,0.7887
0.7671,0.9057,0.7857
0.6875,0.8947,0.75
0.7647,0.8596,0.7903
0.85,0.9057,0.8814
0.7089,0.9298,0.75
0.6875,0.8889,0.6875
0.7162,0.8281,0.7536
0.6667,0.9184,0.7059
0.7273,0.8621,0.7273
0.6667,0.8281,0.6627
0.7969,0.9434,0.8182
0.6543,0.8103,0.6753
0.7179,0.871,0.72
0.7273,0.9153,0.7432
0.6914,0.8644,0.6914
0.7385,0.8727,0.7581
0.7534,0.9,0.7465
0.7467,0.9322,0.7639
0.7467,0.8983,0.7746
0.6923,0.9123,0.7123
0.7,0.88,0.7313
0.7794,0.9273,0.7937
0.7013,0.9216,0.7027
0.7917,0.8871,0.7917
0.7125,0.8308,0.7237
0.6709,0.8909,0.68
0.6628,0.8333,0.7
0.7468,0.8889,0.7733
0.7273,0.8852,0.7568
0.8406,0.9423,0.8636
0.6962,0.8814,0.6974
0.6986,0.8868,0.7101
0.6712,0.8667,0.6667
0.7534,0.8929,0.7606
0.72,0.9259,0.7536
0.7432,0.873,0.7432
0.7612,0.8868,0.7538
0.6914,0.8667,0.7467
0.7179,0.8594,0.7273
0.7532,0.9167,0.7887
0.7763,0.8852,0.7867
0.7,0.803,0.6974
0.6923,0.9123,0.7465
0.7125,0.9038,0.7467
0.725,0.9,0.7568
0.7206,0.8545,0.7231
0.8226,0.9574,0.807
0.6962,0.8103,0.6835
0.8,0.9608,0.8333
0.6667,0.7941,0.6625
0.7625,0.875,0.7625
0.7083,0.8868,0.7206
0.7143,0.8462,0.7468
0.7971,0.9245,0.8182
0.6892,0.8448,0.7
0.7647,0.9,0.7761
0.7368,0.8852,0.7324
0.7195,0.8983,0.7237
0.716,0.875,0.72
0.6912,0.898,0.7458
0.803,0.9074,0.8197
0.6883,0.8548,0.6795
0.75,0.8235,0.7826
0.675,0.8966,0.75
0.7125,0.8333,0.7237
0.68,0.8507,0.6944
0.8209,0.9153,0.8571
0.7231,0.9556,0.7419
0.6974,0.875,0.7429
0.7333,0.9107,0.7432
0.7105,0.8525,0.7162
0.6988,0.9138,0.7215
0.7703,0.95,0.7671
0.6835,0.8594,0.6757
0.7143,0.9167,0.7231
0.7073,0.9063,0.7368
0.7143,0.9123,0.7183
0.7273,0.8966,0.7273
0.7333,0.9259,0.7714
0.6627,0.918,0.7051
0.7568,0.9444,0.7534
0.675,0.8136,0.7067
0.7467,0.9107,0.7606
0.6548,0.8462,0.679
0.6986,0.9038,0.7385
0.7067,0.7941,0.7123
0.6974,0.8833,0.6986
0.6437,0.8636,0.6543
0.8028,0.9464,0.8382
0.726,0.9074,0.7761
0.7222,0.8209,0.75
0.7808,0.8393,0.7971
0.6506,0.8909,0.6585
0.7237,0.8814,0.7222
0.6538,0.8704,0.7246
0.6707,0.85,0.6974
0.7436,0.8382,0.7432
0.6857,0.875,0.6875
0.6757,0.7963,0.7
0.8485,0.9286,0.8615
0.726,0.9636,0.7361
0.7568,0.8772,0.7813
0.6667,0.8793,0.6667
0.65,0.8438,0.6579
0.6883,0.8276,0.6974
0.7534,0.8644,0.7606
0.7308,0.9355,0.7403
0.6705,0.8769,0.6988
0.873,0.9483,0.8852
0.7794,0.8889,0.7846
0.7632,0.9286,0.7733
0.716,0.8462,0.72
0.7639,0.9091,0.7714
0.8169,0.9474,0.8358
0.7662,0.8906,0.7763
0.6782,0.8551,0.6875
0.8,0.9216,0.8088
0.7237,0.8983,0.7361
0.7647,0.8333,0.7727
0.716,0.8871,0.7432
0.7013,0.8704,0.7297
0.7746,0.8421,0.7647
0.7051,0.9423,0.7067
0.7013,0.8276,0.7067
0.7424,0.96,0.7541
0.7467,0.8793,0.7639
0.7403,0.9123,0.7568
0.6706,0.8871,0.7051
0.7639,0.8929,0.7571
0.76,0.9153,0.7846
0.7407,0.8889,0.7436
0.7436,0.9138,0.7703
0.7581,0.8929,0.8
0.641,0.8154,0.6575
0.7632,0.9464,0.7671
0.75,0.8769,0.7714
0.7297,0.8871,0.7361
0.6875,0.85,0.7333
0.6974,0.9216,0.7027
0.6892,0.8226,0.7246
0.716,0.9808,0.7215
0.7059,0.8793,0.7125
0.7286,0.8966,0.7612
0.7432,0.8545,0.7465
0.6875,0.8947,0.7013
0.7397,0.8868,0.7606
0.679,0.871,0.6974
0.7195,0.9194,0.7143
0.7397,0.9138,0.7465
0.7467,0.875,0.7746
0.7639,0.8772,0.791
0.6375,0.8226,0.6623
0.6477,0.8906,0.6512
0.6933,0.8868,0.7
0.7,0.9032,0.7237
0.76,0.8947,0.7671
0.726,0.8814,0.7536
0.7746,0.9259,0.8095
0.7037,0.8868,0.7368
0.7887,0.9298,0.7971
0.7013,0.8889,0.7013
0.7179,0.8333,0.7361
0.7639,0.9153,0.7714
0.7385,0.875,0.7627
0.7432,0.871,0.7571
0.7432,0.8276,0.7286
0.6905,0.9167,0.7037
0.6364,0.8772,0.6456
0.7746,0.8983,0.7826
0.7467,0.9455,0.7606
0.6897,0.8772,0.7024
0.7342,0.8939,0.7237
0.6667,0.902,0.6622
0.6706,0.8594,0.6829
0.7183,0.9123,0.7391
0.7681,0.8689,0.8125
0.7042,0.8361,0.7042
0.6579,0.8393,0.6667
0.7222,0.84,0.7429
0.7826,0.9608,0.7941
0.6706,0.8209,0.6747
