RUSBag,RUSMaxBag,RUSVoteBag
0.875,0.9296,0.8734
0.8701,0.8955,0.8701
0.8442,0.9492,0.8533
0.8333,0.9385,0.8333
0.8481,0.9508,0.8481
0.8313,0.9324,0.8625
0.8659,0.9851,0.8608
0.8961,0.8961,0.8961
0.9041,0.9524,0.9014
0.8875,0.9853,0.875
0.9467,0.9841,0.9459
0.8118,0.9167,0.8095
0.859,0.9524,0.8904
0.8488,0.9412,0.8537
0.8434,0.9394,0.8625
0.8072,0.9275,0.8049
0.8831,0.9286,0.8947
0.8701,0.9692,0.8816
0.8765,0.9565,0.8861
0.8571,0.9219,0.8684
0.8118,0.9,0.8118
0.8684,0.9524,0.9014
0.9103,0.942,0.9211
0.8554,0.9412,0.8554
0.8846,0.9531,0.9189
0.8022,0.9853,0.7849
0.8861,0.9692,0.8933
0.8095,0.9701,0.7976
0.8293,0.8841,0.859
0.9079,0.9492,0.9054
0.7717,0.8293,0.7753
0.9189,0.9851,0.9189
0.8846,0.9688,0.8961
0.8846,0.9565,0.9189
0.8861,0.9178,0.8861
0.8,0.9459,0.8
0.8442,0.9492,0.84
0.9103,1.0,0.9178
0.8588,0.9315,0.8795
0.8434,0.9571,0.8642
0.9359,0.9848,0.9359
0.9221,1.0,0.9333
0.8642,0.9079,0.8734
0.8875,0.9853,0.8875
0.8293,0.8986,0.8228
0.8182,0.963,0.8133
0.85,0.9524,0.8571
0.8481,0.9079,0.8481
0.8684,0.9688,0.8784
0.8875,0.9565,0.8987
0.8659,0.9692,0.8659
0.9091,0.9275,0.9067
0.8256,0.971,0.8313
0.7927,0.9155,0.7875
0.8846,0.9692,0.8947
0.8519,0.9714,0.859
0.9167,0.9677,0.9167
0.8471,0.88,0.8519
0.9114,0.9552,0.9114
0.8734,0.9315,0.8734
0.8537,0.9846,0.8642
0.8333,0.9324,0.8415
0.8875,0.9429,0.9091
0.8214,0.9683,0.8214
0.9067,0.9851,0.9189
0.8118,0.9403,0.8171
0.8625,0.9219,0.8625
0.8846,0.9697,0.8846
0.8861,0.9143,0.8816
0.8372,0.9565,0.8256
0.8519,0.9559,0.8519
0.8765,0.9583,0.875
0.878,0.9538,0.875
0.8395,0.9412,0.8415
0.8235,0.9167,0.8214
0.9211,1.0,0.9333
0.8471,0.9315,0.8571
0.9067,0.9412,0.9178
0.814,0.9067,0.8313
0.8608,0.9538,0.9054
0.8649,0.9344,0.8857
0.9012,0.9565,0.9125
0.8765,0.9429,0.8642
0.8415,0.9412,0.8354
0.8767,0.9524,0.863
0.8471,0.9394,0.8675
0.8462,0.9403,0.8571
0.8182,0.9701,0.809
0.92,0.9552,0.9315
0.8276,0.8857,0.8256
0.8214,0.9286,0.8214
0.8675,0.9429,0.8625
0.9114,0.9851,0.9333
0.8608,0.9844,0.8608
0.9178,1.0,0.9178
0.8554,0.9531,0.8765
0.8861,0.9524,0.92
0.8642,0.8933,0.875
0.8333,0.8769,0.8442
0.85,0.9688,0.8462
0.85,0.9394,0.85
0.8161,0.9067,0.8659
0.85,0.9571,0.8608
0.8659,0.9697,0.875
0.8415,0.9394,0.8415
0.859,0.9571,0.8816
0.8625,0.9254,0.8718
0.88,0.9385,0.88
0.8391,0.9459,0.8571
0.8846,0.9677,0.8947
0.8974,0.9855,0.8861
0.8675,0.9067,0.878
0.8235,0.9286,0.8434
0.9014,0.9683,0.8904
0.8214,0.9265,0.8415
0.8395,0.8788,0.8354
0.8765,0.9559,0.8765
0.8,0.9538,0.7976
0.8947,0.9706,0.8947
0.8947,0.9851,0.9054
0.8193,0.9143,0.8272
0.9024,0.9861,0.925
0.8734,0.9688,0.8846
0.8554,0.9565,0.8659
0.8333,0.9286,0.8293
0.8481,0.9538,0.8816
0.8553,0.9538,0.8667
0.8272,0.9242,0.8462
0.8452,0.9531,0.8659
0.942,0.9545,0.9559
0.8659,0.9701,0.878
0.8553,0.9688,0.8533
