RUSBag,RUSMaxBag,RUSVoteBag
1.0,0.875,1.0
1.0,0.92,1.0
1.0,0.84,1.0
0.96,0.8,0.96
1.0,0.875,1.0
1.0,0.9583,1.0
1.0,0.9583,1.0
1.0,0.8333,1.0
1.0,0.9167,0.9583
1.0,0.875,1.0
0.9583,0.8333,0.9167
0.84,0.8,0.84
0.96,0.8,0.96
1.0,0.88,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.9583,0.75,0.9583
1.0,0.9167,0.9583
1.0,0.9583,1.0
1.0,0.9167,1.0
1.0,0.9167,1.0
1.0,0.88,1.0
1.0,0.92,1.0
1.0,0.88,1.0
1.0,0.8333,1.0
1.0,0.9167,1.0
1.0,0.875,0.9583
1.0,0.875,1.0
1.0,0.9583,1.0
1.0,1.0,1.0
1.0,0.875,1.0
1.0,0.92,1.0
1.0,0.92,1.0
1.0,1.0,1.0
1.0,0.9583,1.0
1.0,0.9583,1.0
1.0,1.0,1.0
1.0,0.8333,1.0
0.9167,0.7917,0.8333
1.0,1.0,1.0
1.0,0.9167,1.0
0.96,0.76,0.92
1.0,0.92,1.0
1.0,0.92,1.0
1.0,0.7917,1.0
1.0,0.9167,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,0.875,0.9583
1.0,0.9583,1.0
1.0,0.7917,1.0
1.0,0.92,1.0
1.0,0.88,1.0
1.0,0.96,1.0
1.0,0.9583,1.0
1.0,1.0,1.0
0.9583,0.875,0.9583
1.0,0.7917,1.0
0.9583,0.9167,0.9583
1.0,0.9583,1.0
0.9583,0.8333,0.9583
0.96,0.8,0.88
1.0,0.96,1.0
1.0,0.84,1.0
1.0,0.9583,1.0
1.0,0.875,1.0
1.0,0.7917,1.0
1.0,0.9167,1.0
1.0,0.9583,1.0
1.0,0.9167,1.0
1.0,0.875,1.0
1.0,1.0,1.0
0.92,0.88,0.92
0.96,0.88,0.96
1.0,0.8333,1.0
0.9167,0.9167,0.9167
1.0,0.875,1.0
1.0,0.8333,1.0
1.0,0.875,1.0
1.0,1.0,1.0
1.0,0.75,1.0
1.0,1.0,1.0
0.92,0.88,0.92
1.0,0.96,1.0
1.0,0.875,1.0
1.0,0.8333,1.0
1.0,0.9583,1.0
1.0,0.7917,1.0
1.0,0.9583,1.0
1.0,0.8333,1.0
1.0,0.75,1.0
0.92,0.76,0.88
1.0,1.0,1.0
1.0,0.76,1.0
1.0,0.9167,1.0
1.0,1.0,1.0
1.0,0.875,1.0
1.0,0.9583,1.0
1.0,0.875,1.0
1.0,0.9167,1.0
1.0,0.75,1.0
1.0,0.88,1.0
1.0,0.96,1.0
1.0,0.92,1.0
1.0,0.875,1.0
1.0,0.9167,1.0
1.0,0.875,1.0
1.0,0.9583,1.0
1.0,0.9583,1.0
1.0,0.9583,1.0
1.0,1.0,1.0
1.0,0.96,0.96
1.0,0.92,1.0
0.96,0.88,0.96
1.0,0.9583,1.0
1.0,0.9167,0.9583
0.9583,0.8333,0.9583
0.9583,0.9167,0.9583
1.0,1.0,0.9583
1.0,0.75,1.0
1.0,0.875,1.0
1.0,0.88,1.0
1.0,0.92,1.0
1.0,0.92,1.0
0.9167,0.875,0.9167
1.0,0.875,1.0
1.0,0.8333,1.0
1.0,1.0,1.0
1.0,0.9583,1.0
0.9167,0.8333,0.9583
1.0,0.875,1.0
1.0,0.68,1.0
1.0,0.92,1.0
1.0,1.0,1.0
1.0,0.9583,1.0
1.0,1.0,0.9583
1.0,0.9167,1.0
0.9167,0.875,0.875
1.0,1.0,1.0
1.0,0.875,1.0
1.0,1.0,1.0
1.0,0.84,1.0
1.0,0.84,0.84
0.96,0.92,0.96
1.0,0.875,1.0
0.9167,0.8333,0.9167
0.9583,0.875,0.9167
1.0,1.0,1.0
1.0,0.9167,1.0
1.0,0.75,1.0
0.9167,0.75,0.875
1.0,0.96,1.0
1.0,1.0,1.0
1.0,0.84,1.0
1.0,0.8333,1.0
1.0,0.9583,1.0
0.9583,0.875,0.9583
0.9583,0.75,0.9583
1.0,0.9167,1.0
1.0,0.875,0.9583
1.0,0.9583,1.0
1.0,0.92,1.0
0.88,0.8,0.88
1.0,0.96,0.96
1.0,1.0,1.0
1.0,0.875,1.0
1.0,0.9583,1.0
1.0,0.9167,1.0
1.0,0.875,0.9583
1.0,0.8333,1.0
1.0,0.9583,1.0
1.0,0.92,1.0
0.96,0.84,0.92
1.0,0.92,0.92
0.9583,0.875,0.9583
1.0,0.9583,1.0
1.0,0.9167,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,0.9167,1.0
1.0,0.9583,1.0
1.0,0.92,1.0
1.0,0.96,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.9583,0.8333,0.9583
1.0,0.7917,1.0
1.0,0.875,1.0
1.0,0.9167,1.0
1.0,0.9167,1.0
1.0,0.8333,0.875
1.0,0.88,1.0
0.96,0.88,0.96
0.96,0.84,0.92
1.0,1.0,1.0
1.0,0.875,1.0
1.0,0.7917,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,0.9167,1.0
1.0,0.9167,1.0
1.0,1.0,1.0
0.96,0.84,0.96
1.0,0.96,1.0
0.9583,0.7917,0.9583
1.0,0.8333,1.0
1.0,0.8333,1.0
1.0,0.9167,1.0
1.0,0.9167,1.0
1.0,0.875,1.0
1.0,0.9583,1.0
0.96,0.84,0.96
0.92,0.88,0.92
1.0,0.88,1.0
1.0,0.7917,1.0
1.0,0.9583,1.0
1.0,0.9167,1.0
1.0,0.8333,1.0
1.0,0.9167,0.9583
1.0,0.9167,0.9583
1.0,0.875,1.0
1.0,0.92,1.0
1.0,0.88,1.0
1.0,0.8,1.0
0.9167,0.7917,0.9167
1.0,0.9583,1.0
1.0,0.8333,1.0
1.0,0.9167,1.0
0.9583,0.9167,0.875
1.0,0.875,1.0
1.0,0.9583,1.0
1.0,0.92,1.0
1.0,0.88,1.0
1.0,0.88,1.0
0.9167,1.0,0.9167
1.0,0.9167,1.0
1.0,0.875,1.0
1.0,0.8333,1.0
1.0,0.9167,1.0
1.0,0.8333,1.0
1.0,0.9167,1.0
1.0,1.0,1.0
1.0,0.8,1.0
1.0,0.92,1.0
1.0,0.9167,1.0
1.0,0.9583,1.0
0.9583,0.7917,0.9167
1.0,1.0,1.0
0.9167,0.7083,0.9167
1.0,0.8333,1.0
1.0,0.92,1.0
0.96,0.8,0.96
1.0,0.8,1.0
1.0,0.75,1.0
0.9583,0.9583,0.9583
1.0,0.8333,1.0
1.0,0.875,1.0
0.9583,0.875,0.9583
1.0,0.9167,1.0
1.0,0.875,1.0
1.0,0.92,1.0
0.92,0.8,0.92
1.0,0.88,1.0
0.9167,0.8333,0.9167
1.0,0.9583,1.0
1.0,0.9167,1.0
1.0,0.875,1.0
1.0,0.7917,1.0
1.0,0.9167,1.0
1.0,1.0,1.0
1.0,0.9583,0.9583
1.0,0.96,1.0
1.0,0.88,1.0
0.92,0.72,0.92
1.0,0.7917,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,0.9583,1.0
1.0,0.7917,1.0
1.0,0.9583,1.0
1.0,0.9167,1.0
1.0,0.96,1.0
1.0,0.88,1.0
1.0,0.8,0.96
1.0,0.7917,0.9583
1.0,0.7917,1.0
1.0,0.9583,1.0
1.0,0.875,1.0
0.9583,0.7083,0.9167
1.0,0.75,0.9583
1.0,0.9167,1.0
1.0,0.96,1.0
1.0,1.0,1.0
0.96,0.92,0.96
1.0,0.75,1.0
0.9167,0.7917,0.875
1.0,0.8333,1.0
1.0,0.9167,1.0
1.0,0.9167,1.0
1.0,0.9583,1.0
1.0,1.0,1.0
0.96,0.8,0.96
1.0,0.96,1.0
1.0,0.76,0.96
1.0,1.0,1.0
1.0,0.9583,1.0
1.0,0.9167,1.0
1.0,1.0,1.0
0.9583,0.8333,0.9583
1.0,0.9167,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.88,0.76,0.88
0.96,0.84,0.96
1.0,0.8333,1.0
1.0,0.9167,1.0
1.0,0.9583,1.0
0.9583,0.9167,0.9583
1.0,0.9583,1.0
1.0,1.0,1.0
1.0,0.9583,1.0
0.96,0.88,0.88
1.0,0.8,0.96
1.0,0.84,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,0.7917,1.0
1.0,0.875,1.0
0.9167,0.7917,0.9167
1.0,0.9583,1.0
1.0,0.84,1.0
1.0,0.88,1.0
1.0,0.96,1.0
1.0,0.9583,1.0
1.0,0.875,1.0
1.0,0.7917,1.0
1.0,0.9583,1.0
1.0,0.875,1.0
1.0,0.9167,0.9583
1.0,0.9583,1.0
1.0,0.9167,1.0
0.96,0.92,0.96
1.0,0.92,1.0
1.0,0.92,1.0
1.0,0.9167,1.0
1.0,0.875,1.0
1.0,0.875,1.0
1.0,1.0,1.0
1.0,0.7917,1.0
1.0,0.9583,1.0
1.0,0.9167,1.0
1.0,1.0,1.0
1.0,0.96,1.0
1.0,0.92,1.0
1.0,0.9583,1.0
1.0,0.9167,1.0
0.9167,0.9167,0.9167
1.0,0.875,0.9583
0.9583,0.9167,0.9583
1.0,0.875,1.0
0.875,0.875,0.875
1.0,1.0,1.0
1.0,0.84,1.0
1.0,0.92,1.0
1.0,0.875,1.0
1.0,0.8333,1.0
1.0,0.875,1.0
1.0,0.9167,1.0
1.0,0.9583,1.0
0.9583,0.75,0.9583
1.0,0.92,1.0
1.0,0.84,1.0
0.96,0.68,0.96
1.0,1.0,1.0
1.0,0.875,1.0
1.0,0.9167,1.0
1.0,0.75,0.9583
1.0,0.875,0.9583
1.0,1.0,1.0
1.0,0.875,1.0
0.9583,0.7917,0.9167
1.0,0.96,1.0
1.0,0.92,1.0
0.92,0.76,0.88
1.0,0.7083,0.9583
1.0,0.875,1.0
1.0,1.0,1.0
1.0,0.875,1.0
1.0,0.7917,1.0
0.9583,0.7917,0.9583
0.9583,0.875,0.9167
0.92,0.88,0.92
0.96,0.88,0.96
1.0,1.0,1.0
1.0,0.875,1.0
1.0,0.7917,1.0
1.0,0.7083,1.0
1.0,0.8333,1.0
1.0,1.0,1.0
1.0,0.9167,1.0
1.0,0.9583,1.0
1.0,0.92,1.0
1.0,0.96,1.0
1.0,0.92,1.0
1.0,0.9167,1.0
0.9583,0.9167,0.9583
1.0,0.8333,1.0
1.0,0.8333,1.0
0.9583,0.8333,0.9583
0.9583,0.875,0.9583
1.0,0.88,1.0
1.0,0.72,0.96
1.0,0.96,1.0
0.9583,0.7917,0.9583
1.0,0.9167,1.0
1.0,0.9583,1.0
1.0,0.875,1.0
1.0,0.9167,1.0
1.0,1.0,0.9583
0.8333,0.7083,0.8333
0.9583,0.9167,0.875
1.0,1.0,1.0
1.0,0.92,1.0
0.92,0.6,0.92
1.0,0.9167,1.0
1.0,0.9583,1.0
1.0,0.9167,1.0
1.0,0.8333,1.0
1.0,0.8333,1.0
1.0,0.9583,1.0
0.96,0.72,0.96
1.0,0.8,1.0
1.0,0.92,1.0
1.0,0.875,1.0
1.0,0.9167,1.0
1.0,0.9583,1.0
1.0,0.875,1.0
1.0,0.9167,1.0
1.0,0.8333,1.0
1.0,0.9167,1.0
0.9583,0.75,0.9583
0.96,0.72,0.96
1.0,0.92,1.0
1.0,0.92,1.0
1.0,0.9583,1.0
1.0,0.9583,1.0
1.0,0.875,1.0
0.9583,0.8333,0.9583
1.0,0.875,1.0
1.0,0.9167,1.0
1.0,1.0,1.0
1.0,0.8,1.0
0.96,0.76,0.96
1.0,0.92,1.0
1.0,0.9583,0.9583
