RUSBag,RUSMaxBag,RUSVoteBag
0.9168,0.9118,0.907
0.936,0.927,0.9074
0.9322,0.925,0.9234
0.8714,0.8636,0.8471
0.9346,0.9293,0.9085
0.9328,0.9236,0.9332
0.9007,0.8982,0.8901
0.9058,0.9106,0.8936
0.9208,0.9176,0.8999
0.9082,0.9032,0.8993
0.896,0.8952,0.8856
0.9228,0.921,0.9007
0.9271,0.9243,0.9098
0.876,0.8655,0.8523
0.8965,0.891,0.8856
0.9497,0.944,0.9307
0.9214,0.9119,0.9068
0.9104,0.9065,0.8824
0.9116,0.9021,0.8859
0.932,0.9328,0.9147
0.9409,0.9369,0.928
0.9241,0.9188,0.9231
0.8945,0.894,0.8784
0.9204,0.9185,0.8891
0.9485,0.9454,0.9376
0.9256,0.9182,0.9137
0.909,0.906,0.8989
0.8759,0.8625,0.8359
0.9071,0.9106,0.9008
0.9066,0.9135,0.894
0.9157,0.9129,0.9002
0.8984,0.8865,0.8657
0.8829,0.8738,0.8625
0.9104,0.9121,0.8933
0.9196,0.9146,0.9112
0.892,0.8896,0.8836
0.9372,0.9389,0.9218
0.9245,0.9245,0.9003
0.9373,0.9452,0.9251
0.9307,0.9234,0.9146
0.9157,0.9046,0.8968
0.9116,0.9009,0.8971
0.918,0.9125,0.8951
0.8773,0.87,0.8351
0.9237,0.9238,0.9099
0.9247,0.9199,0.9082
0.9085,0.9073,0.8838
0.9109,0.9129,0.8777
0.9253,0.9208,0.9194
0.9392,0.938,0.9205
0.9215,0.9174,0.899
0.931,0.926,0.9093
0.9179,0.9169,0.8977
0.9154,0.9099,0.8956
0.8649,0.8586,0.8255
0.9031,0.9007,0.8905
0.9022,0.8959,0.8879
0.9341,0.9301,0.9172
0.9386,0.9411,0.929
0.9308,0.9258,0.8971
0.9297,0.9248,0.9161
0.9232,0.9207,0.9214
0.9368,0.9357,0.9099
0.9053,0.904,0.8774
0.9084,0.9097,0.8812
0.9189,0.9153,0.9049
0.9194,0.9139,0.8921
0.8904,0.8795,0.8523
0.9242,0.9227,0.914
0.9029,0.8992,0.8825
0.9335,0.9233,0.9219
0.9002,0.8856,0.8651
0.9162,0.9223,0.911
0.9685,0.9627,0.9599
0.9124,0.9096,0.9078
0.8981,0.8938,0.877
0.9045,0.9049,0.8896
0.9309,0.9293,0.9104
0.894,0.8957,0.8801
0.898,0.8907,0.8778
0.9337,0.9258,0.912
0.9264,0.9264,0.9111
0.9156,0.9144,0.9075
0.9111,0.9035,0.9005
0.8815,0.8884,0.851
0.9279,0.9249,0.9194
