RUSBag,RUSMaxBag,RUSVoteBag
0.9673,0.9684,0.9578
0.9686,0.968,0.9673
0.9663,0.9635,0.9616
0.9731,0.976,0.9651
0.9731,0.9659,0.9637
0.9883,0.9874,0.9924
0.9709,0.9668,0.9572
0.9713,0.9689,0.9669
0.9654,0.9628,0.9549
0.9538,0.9479,0.9363
0.9471,0.9461,0.9416
0.966,0.9653,0.9588
0.9544,0.9568,0.9402
0.9786,0.982,0.974
0.983,0.982,0.9754
0.9799,0.9793,0.9724
0.9528,0.9465,0.9495
0.9554,0.9631,0.9568
0.9824,0.9819,0.9715
0.9659,0.9649,0.9644
0.9624,0.9631,0.9479
0.9535,0.9583,0.9484
0.9811,0.9804,0.9765
0.9677,0.9619,0.9548
0.9327,0.9321,0.9277
0.9852,0.9823,0.9736
0.973,0.973,0.9722
0.9684,0.9637,0.9586
0.9642,0.9579,0.9523
0.9826,0.9873,0.9769
0.9703,0.9637,0.9682
0.9807,0.9783,0.973
0.977,0.9732,0.9652
0.979,0.9727,0.9632
0.969,0.9655,0.9662
0.9681,0.9614,0.9549
0.9695,0.9735,0.9633
0.9691,0.9667,0.9654
0.9581,0.9605,0.9343
0.9555,0.9542,0.9534
0.9824,0.9733,0.9586
0.9721,0.9658,0.9495
0.9459,0.9458,0.9416
0.9412,0.9364,0.9338
0.9581,0.9572,0.9543
0.9789,0.9772,0.9673
0.9772,0.9797,0.973
0.9767,0.9751,0.9676
0.97,0.9711,0.96
0.982,0.9883,0.9821
0.9526,0.9554,0.9486
0.9754,0.9772,0.9721
0.9591,0.9535,0.9484
0.9702,0.9705,0.9635
0.9549,0.9567,0.938
0.9744,0.9715,0.9632
0.9706,0.9675,0.9576
0.9673,0.963,0.9587
0.9688,0.9711,0.9673
0.9774,0.9715,0.9671
0.9642,0.9638,0.9617
0.9558,0.9568,0.9502
0.9743,0.9741,0.9747
0.96,0.9572,0.9438
0.9622,0.9478,0.9501
0.9807,0.9803,0.9752
0.9793,0.9815,0.9761
0.9649,0.9699,0.9594
0.9536,0.9592,0.9459
0.9724,0.972,0.946
0.9762,0.9733,0.9709
0.9727,0.9665,0.9598
0.9694,0.968,0.9531
0.9728,0.9751,0.9693
0.9789,0.9801,0.978
0.9653,0.9628,0.9612
0.9516,0.9527,0.9429
0.9673,0.9694,0.9518
0.9767,0.9715,0.9681
0.9596,0.9569,0.9496
0.9586,0.9558,0.9443
0.9758,0.9763,0.9781
0.9704,0.974,0.9652
0.9827,0.9737,0.9681
0.9725,0.9703,0.9651
0.9734,0.9725,0.9646
0.9828,0.9774,0.9742
0.954,0.9507,0.9491
0.9646,0.9657,0.959
0.9518,0.9502,0.9558
0.9563,0.9564,0.9599
0.9485,0.9456,0.9414
0.9606,0.956,0.9542
0.9627,0.9647,0.949
0.9857,0.9852,0.9699
0.9693,0.9659,0.9613
0.9751,0.981,0.9726
0.9775,0.9784,0.9722
0.9577,0.9605,0.9461
0.9771,0.9748,0.9635
0.9645,0.9596,0.9514
0.9751,0.9765,0.9668
0.9662,0.968,0.9619
0.9822,0.9749,0.9694
0.9577,0.9545,0.9547
0.9698,0.9635,0.9505
0.9533,0.9488,0.9275
0.9648,0.9673,0.9541
0.9724,0.9637,0.9587
0.9806,0.9829,0.9627
0.9888,0.982,0.9762
0.9531,0.9459,0.9488
0.9704,0.9763,0.9601
0.9667,0.972,0.963
0.9826,0.9754,0.9749
0.978,0.9771,0.9769
0.957,0.9596,0.9514
0.9651,0.9677,0.9599
0.9637,0.9633,0.9506
0.9637,0.9614,0.9576
0.977,0.9784,0.9358
0.981,0.9835,0.9793
0.9726,0.9689,0.9605
0.9675,0.9653,0.962
0.9799,0.9771,0.9742
0.9465,0.9429,0.9367
0.9522,0.9487,0.9392
0.9597,0.9605,0.9536
0.9866,0.9826,0.9731
0.9554,0.9519,0.943
0.9753,0.9702,0.9646
0.9569,0.959,0.952
0.959,0.9601,0.9589
0.9733,0.9688,0.9679
0.9785,0.9779,0.9657
0.9694,0.9708,0.9565
0.9766,0.9733,0.9635
0.9624,0.9631,0.9533
0.9657,0.959,0.9604
0.9529,0.9504,0.9465
0.9503,0.95,0.9149
0.9723,0.973,0.9704
0.957,0.9615,0.9522
0.9783,0.9802,0.9751
0.9847,0.9815,0.9743
0.961,0.9568,0.9414
0.9501,0.9446,0.93
0.9682,0.9614,0.9582
0.9702,0.9738,0.9726
0.9632,0.9666,0.9536
0.9554,0.959,0.9468
0.9665,0.9646,0.966
0.983,0.9793,0.9779
0.9712,0.9695,0.9644
0.9648,0.9644,0.9581
0.9832,0.981,0.9644
0.9541,0.9542,0.9421
0.9482,0.9451,0.9316
0.9621,0.9543,0.9442
0.9826,0.9788,0.9781
0.9683,0.9654,0.9481
0.9663,0.9637,0.9542
0.9577,0.9617,0.9491
0.9756,0.9712,0.9653
0.9739,0.9722,0.9667
0.973,0.9671,0.9668
0.9648,0.9658,0.9469
0.9651,0.9699,0.9631
0.9654,0.9635,0.9375
0.9756,0.981,0.9711
0.9624,0.9574,0.9363
0.9599,0.9617,0.9547
0.9719,0.9706,0.9616
0.9575,0.9594,0.9581
0.9618,0.959,0.9519
0.9698,0.9739,0.9426
0.982,0.9739,0.9766
0.9756,0.9743,0.9717
0.982,0.9704,0.9573
0.972,0.972,0.9693
0.9603,0.9508,0.9413
0.9527,0.9451,0.9421
0.9738,0.9696,0.9672
0.9593,0.9593,0.9525
0.982,0.9776,0.9717
0.9619,0.9561,0.9493
0.9859,0.9779,0.9713
0.9639,0.9666,0.9595
0.9781,0.9799,0.9726
0.9722,0.9669,0.9622
0.951,0.9473,0.9395
0.9821,0.9835,0.979
0.9586,0.9586,0.9556
0.957,0.9611,0.9558
0.977,0.9794,0.9766
0.982,0.9769,0.9694
0.978,0.9751,0.97
0.9725,0.9711,0.964
0.9686,0.9662,0.9469
0.9699,0.9756,0.9597
0.9686,0.968,0.9647
0.9626,0.956,0.9473
0.9646,0.9678,0.9574
0.9722,0.9707,0.9677
0.9536,0.9542,0.9578
0.9758,0.9735,0.9579
0.9554,0.9586,0.9464
0.9709,0.9668,0.9641
0.9709,0.9637,0.9549
0.9676,0.9721,0.9615
0.9789,0.9765,0.9712
0.9598,0.9588,0.9525
0.9684,0.9669,0.9635
0.9807,0.9773,0.9736
0.9658,0.9623,0.9668
0.9763,0.9617,0.9565
0.9713,0.9675,0.9592
0.9605,0.9614,0.9542
0.9612,0.9657,0.9554
0.9655,0.9613,0.961
0.9353,0.9214,0.9197
0.9604,0.9578,0.9472
0.9709,0.9702,0.9659
0.974,0.968,0.9641
0.9531,0.9552,0.9489
0.9811,0.9842,0.9739
0.9582,0.9601,0.9568
0.9715,0.9718,0.9702
0.9738,0.9726,0.9547
0.9879,0.9805,0.9898
0.9679,0.9656,0.9611
0.9484,0.9549,0.942
0.9828,0.9756,0.9781
0.9719,0.9691,0.9635
0.9506,0.9522,0.9313
0.9825,0.9781,0.981
0.9729,0.9694,0.9623
0.9761,0.9758,0.9742
0.9706,0.97,0.9416
0.9551,0.946,0.9387
0.9859,0.9826,0.9775
0.966,0.9626,0.9601
0.9878,0.9894,0.987
0.966,0.9653,0.9596
0.97,0.9675,0.9666
0.9655,0.9565,0.9567
0.9421,0.9327,0.9307
0.9794,0.9762,0.9682
0.9252,0.9137,0.914
0.9498,0.9505,0.9178
0.9711,0.9704,0.9686
0.9428,0.9469,0.9305
0.9689,0.9647,0.9644
0.9701,0.9728,0.9701
0.9689,0.9697,0.9603
0.9733,0.9633,0.957
0.9624,0.9527,0.9365
0.9601,0.9545,0.9479
0.9707,0.9706,0.9691
0.9832,0.9816,0.9722
0.9677,0.9693,0.9525
0.96,0.9559,0.9537
0.9838,0.9847,0.9837
0.9618,0.9679,0.9344
0.9733,0.9708,0.9693
0.9747,0.9693,0.9577
0.9561,0.9628,0.9492
0.9552,0.9527,0.9443
0.9597,0.9536,0.9482
0.9834,0.9802,0.9796
0.9686,0.9688,0.9642
0.9496,0.949,0.9432
0.9554,0.9514,0.942
0.9552,0.9598,0.9298
0.9901,0.9915,0.9883
0.9788,0.9799,0.9703
0.9747,0.9721,0.9778
0.9669,0.9736,0.9577
0.9623,0.966,0.9516
0.9812,0.9693,0.9555
0.9879,0.9871,0.9831
0.9743,0.9684,0.9536
0.9706,0.9627,0.9609
0.956,0.9565,0.943
0.9736,0.9636,0.9708
0.9734,0.9669,0.9658
0.9828,0.9799,0.972
0.9707,0.9676,0.9641
0.946,0.9495,0.9532
0.9667,0.9684,0.9659
0.9542,0.9531,0.945
0.9794,0.982,0.9668
0.9784,0.9786,0.9749
0.9499,0.951,0.9404
0.9519,0.9509,0.9389
0.968,0.9681,0.9684
0.9646,0.9619,0.9572
0.9785,0.9767,0.9649
0.9871,0.9832,0.9839
0.9747,0.9736,0.9689
0.9695,0.9686,0.9594
0.9756,0.968,0.9673
0.9653,0.9606,0.9644
0.9537,0.9525,0.9383
