RUSBag,RUSMaxBag,RUSVoteBag
0.9388,0.9468,0.9111
0.8319,0.8225,0.7897
0.8722,0.8657,0.8711
0.8851,0.8912,0.8784
0.9154,0.9036,0.8523
0.9117,0.9052,0.9015
0.9334,0.9299,0.9176
0.9116,0.8886,0.8824
0.9167,0.9118,0.8875
0.911,0.9086,0.8877
0.9299,0.9356,0.9186
0.9495,0.9305,0.9302
0.8424,0.8579,0.8491
0.8878,0.8907,0.8596
0.8663,0.8579,0.8722
0.9186,0.8969,0.8655
0.9433,0.9398,0.9068
0.888,0.901,0.8956
0.9073,0.9084,0.8855
0.8855,0.8844,0.8586
0.8767,0.8695,0.8853
0.8711,0.8765,0.837
0.9023,0.9039,0.8934
0.9092,0.8947,0.8743
0.8856,0.8821,0.881
0.9253,0.9216,0.9106
0.9122,0.9006,0.8896
0.9116,0.9093,0.9022
0.8906,0.8994,0.8756
0.9368,0.9438,0.9376
0.8585,0.8687,0.8459
0.9114,0.9122,0.9074
0.8553,0.8397,0.8539
0.8894,0.8778,0.8749
0.8816,0.8891,0.8676
0.8813,0.8698,0.8547
0.9122,0.8958,0.9057
0.915,0.9039,0.9249
0.949,0.9413,0.9529
0.9428,0.9357,0.924
0.884,0.8824,0.8988
0.8843,0.869,0.8598
0.9049,0.909,0.9028
0.9315,0.9275,0.9114
0.9168,0.9184,0.9063
0.8864,0.8853,0.8687
0.881,0.8856,0.8523
0.9036,0.8957,0.871
0.9099,0.9048,0.8997
0.857,0.8429,0.8397
0.8759,0.8636,0.8631
0.9361,0.9436,0.9262
0.9049,0.8861,0.8762
0.9608,0.9455,0.9259
0.9009,0.9012,0.9028
0.9382,0.9315,0.9219
0.9364,0.917,0.916
0.8832,0.8824,0.8424
0.8991,0.8829,0.8781
0.8524,0.8603,0.8445
0.8883,0.8955,0.873
0.946,0.9455,0.9439
0.9501,0.9466,0.9444
0.9503,0.9441,0.942
0.88,0.8625,0.8601
0.8596,0.8483,0.8566
0.9068,0.913,0.9162
0.9456,0.9413,0.9515
0.8124,0.8047,0.7319
0.8793,0.8847,0.8861
0.9361,0.9221,0.9178
0.8904,0.8963,0.8856
0.8448,0.8459,0.8362
0.9165,0.8988,0.8972
0.9237,0.9296,0.9256
0.9098,0.9146,0.906
0.9466,0.938,0.9141
0.8535,0.8424,0.8061
0.9215,0.9218,0.9002
0.8904,0.888,0.8974
0.8354,0.8445,0.8485
0.9466,0.9471,0.9525
0.9015,0.8872,0.8733
0.9267,0.9211,0.9025
0.942,0.9444,0.9286
0.9074,0.9079,0.8813
0.7951,0.7989,0.7809
0.9306,0.9311,0.9218
0.9461,0.9325,0.9345
0.876,0.8969,0.8893
0.9509,0.9423,0.9474
0.8706,0.8622,0.8622
0.8759,0.8821,0.8663
0.9235,0.9057,0.9033
0.8735,0.8727,0.8682
0.8088,0.7991,0.7828
0.9393,0.942,0.9425
0.9065,0.8977,0.8849
0.881,0.8827,0.8682
0.87,0.8646,0.8117
0.9436,0.931,0.9049
0.8861,0.8714,0.8381
0.9356,0.9364,0.9272
0.8579,0.8502,0.8485
0.916,0.9108,0.8738
0.8504,0.8488,0.8561
0.8477,0.8426,0.8268
0.9351,0.9187,0.8968
0.8288,0.856,0.8223
0.936,0.9398,0.914
0.8972,0.8923,0.8652
0.8451,0.8169,0.8104
0.9519,0.9476,0.9458
0.9108,0.9119,0.8821
0.9041,0.9041,0.8741
0.9082,0.928,0.9068
0.8614,0.852,0.8483
0.8906,0.8764,0.8897
0.9541,0.9362,0.8974
0.8622,0.8519,0.8388
0.9425,0.9374,0.9342
0.8899,0.8947,0.8945
0.8537,0.841,0.8523
0.927,0.927,0.9262
0.9041,0.8969,0.8907
0.8383,0.8641,0.8386
0.8982,0.906,0.8912
0.9031,0.9031,0.877
0.913,0.9294,0.905
0.8163,0.8196,0.7911
0.8716,0.8461,0.7889
