RUSBag,RUSMaxBag,RUSVoteBag
0.8858,0.9023,0.8698
0.656,0.6429,0.6137
0.9,0.873,0.8285
0.9225,0.914,0.9295
0.824,0.812,0.79
0.837,0.8425,0.835
0.8355,0.828,0.7895
0.801,0.743,0.824
0.8087,0.7903,0.8128
0.9153,0.9214,0.9173
0.832,0.799,0.8185
0.831,0.834,0.8135
0.857,0.8395,0.852
0.9035,0.8865,0.9025
0.721,0.725,0.705
0.8585,0.8745,0.851
0.7332,0.7245,0.7046
0.9577,0.9475,0.9179
0.8974,0.9056,0.899
0.774,0.748,0.7587
0.9005,0.8885,0.889
0.838,0.8195,0.8255
0.8115,0.788,0.777
0.8605,0.8255,0.831
0.863,0.847,0.8585
0.88,0.877,0.893
0.846,0.8319,0.8343
0.7862,0.7444,0.7604
0.8781,0.8602,0.8541
0.8556,0.8577,0.8597
0.8848,0.8819,0.9101
0.9213,0.9072,0.8785
0.8845,0.887,0.89
0.845,0.856,0.8345
0.7375,0.7125,0.697
0.7965,0.774,0.7095
0.8555,0.8555,0.8625
0.8835,0.885,0.8475
0.7449,0.7684,0.748
0.8209,0.8041,0.8061
0.8165,0.808,0.7695
0.77,0.7655,0.7435
0.833,0.8385,0.85
0.912,0.894,0.8935
0.795,0.7895,0.771
0.833,0.8095,0.8355
0.8503,0.8469,0.844
0.8124,0.8013,0.7468
0.899,0.9107,0.8974
0.8745,0.8643,0.8653
0.7805,0.7775,0.798
0.812,0.8065,0.786
0.866,0.8315,0.833
0.8635,0.861,0.8245
0.797,0.762,0.784
0.895,0.9025,0.8905
0.9223,0.9276,0.9091
0.7896,0.81,0.7697
0.8434,0.8102,0.7974
0.8505,0.8612,0.8372
0.751,0.755,0.743
0.8135,0.825,0.7945
0.947,0.93,0.941
0.831,0.8185,0.7805
0.749,0.7415,0.7225
0.83,0.825,0.8185
0.8236,0.7886,0.828
0.8251,0.8168,0.793
0.8872,0.8847,0.8791
0.8862,0.8995,0.8872
0.7677,0.759,0.7556
0.913,0.914,0.9106
0.823,0.8025,0.805
0.7895,0.7675,0.778
0.8805,0.8775,0.869
0.8585,0.8495,0.8215
0.8075,0.827,0.814
0.805,0.7835,0.792
0.8189,0.8449,0.8439
0.8347,0.8031,0.8194
0.933,0.926,0.9215
0.8035,0.8035,0.7765
0.819,0.8195,0.7965
0.8715,0.8665,0.847
0.7105,0.7345,0.6885
0.922,0.916,0.9235
0.8669,0.8649,0.8639
