RUSBag,RUSMaxBag,RUSVoteBag
0.8757,0.8793,0.8613
0.9135,0.8865,0.8631
0.8901,0.8874,0.8577
0.8514,0.8577,0.8315
0.9306,0.9225,0.9126
0.8207,0.8243,0.7901
0.8396,0.845,0.8081
0.9009,0.9045,0.8595
0.8151,0.8177,0.7856
0.8602,0.8556,0.8426
0.8045,0.8009,0.7982
0.7703,0.782,0.7712
0.8982,0.9018,0.8793
0.8946,0.8991,0.8676
0.8477,0.8378,0.8586
0.9261,0.9369,0.9279
0.8874,0.8712,0.8523
0.9279,0.927,0.9126
0.724,0.7049,0.7283
0.8352,0.8213,0.8176
0.8739,0.8712,0.8766
0.8387,0.8144,0.7991
0.8937,0.8883,0.8901
0.8099,0.7739,0.7811
0.8856,0.8784,0.8865
0.818,0.8189,0.7946
0.8216,0.8405,0.8351
0.8514,0.845,0.8054
0.8941,0.9028,0.8845
0.8769,0.8472,0.8731
0.7856,0.7973,0.7937
0.8937,0.8892,0.8811
0.8937,0.891,0.8595
0.8883,0.8838,0.8955
0.8991,0.8838,0.873
0.8126,0.8225,0.7865
0.9153,0.8964,0.8892
0.8595,0.8477,0.8423
0.809,0.8064,0.7517
0.8667,0.8593,0.8241
0.809,0.8144,0.7793
0.8559,0.8495,0.8369
0.8676,0.873,0.8613
0.8477,0.8369,0.8279
0.9586,0.9532,0.9649
0.8883,0.8739,0.8685
0.8243,0.8279,0.8045
0.8477,0.8595,0.8153
0.8646,0.8429,0.8559
0.8694,0.862,0.8176
0.9198,0.9171,0.9108
0.8919,0.873,0.8739
0.8658,0.8703,0.8324
0.8883,0.8712,0.8739
0.8541,0.8342,0.8559
0.8901,0.8568,0.8946
0.8054,0.8045,0.7928
0.855,0.8595,0.8171
0.8655,0.8533,0.8325
0.8167,0.8065,0.7889
0.8216,0.7874,0.7856
0.955,0.9523,0.9279
0.9063,0.909,0.8802
0.8523,0.8613,0.8315
0.7414,0.7568,0.7108
0.9261,0.9216,0.8982
0.8252,0.8351,0.8189
0.7964,0.7964,0.7829
0.8941,0.8993,0.9002
0.8444,0.8528,0.85
0.7937,0.7883,0.7721
0.9378,0.9342,0.9243
0.8234,0.8604,0.8252
0.9189,0.918,0.909
0.9045,0.8928,0.8937
0.8171,0.7955,0.7919
0.8658,0.8342,0.8081
0.7928,0.7964,0.7865
0.7934,0.796,0.783
0.9324,0.9528,0.925
0.809,0.8144,0.8225
0.8063,0.8072,0.8162
0.8126,0.8099,0.7757
0.9315,0.945,0.936
0.8685,0.9,0.8595
0.9288,0.9351,0.9234
0.8559,0.8667,0.8306
0.891,0.8586,0.8333
0.8585,0.8655,0.8012
0.8361,0.8491,0.8009
0.882,0.8757,0.8811
0.9441,0.9306,0.9252
0.7793,0.773,0.7577
0.9135,0.9171,0.9162
0.7982,0.773,0.7234
0.8883,0.8703,0.8802
0.8225,0.8559,0.8117
0.9261,0.9306,0.9252
0.901,0.8941,0.8915
0.9204,0.912,0.9194
0.7874,0.782,0.7577
0.8829,0.8775,0.8829
0.8027,0.8027,0.791
0.8775,0.8766,0.8532
0.9063,0.8946,0.8748
0.9063,0.9153,0.9099
0.8856,0.8955,0.8838
0.8748,0.8595,0.8514
0.8793,0.8759,0.8585
0.8222,0.8259,0.8204
0.8802,0.9019,0.8776
0.8216,0.7901,0.8162
0.882,0.8838,0.8802
0.8468,0.8432,0.8559
0.8333,0.8387,0.8234
0.8919,0.8721,0.8595
0.8847,0.8766,0.864
0.8694,0.8883,0.8468
0.9279,0.9378,0.9063
0.788,0.7778,0.7685
0.8748,0.8577,0.8739
0.7333,0.7306,0.7054
0.8559,0.8351,0.8477
0.9766,0.9739,0.9568
0.8883,0.8748,0.8441
0.8928,0.8946,0.8811
0.8532,0.8685,0.8523
0.8667,0.855,0.8414
0.8889,0.8976,0.8802
0.7648,0.7694,0.7528
0.9071,0.9236,0.901
0.9333,0.936,0.9117
0.8225,0.8063,0.7874
0.8757,0.8883,0.882
0.8946,0.8874,0.9045
0.9369,0.9342,0.9234
0.8018,0.8054,0.809
0.7288,0.7198,0.736
0.7883,0.8018,0.7856
0.8778,0.8546,0.8454
0.8073,0.8151,0.8238
0.8342,0.827,0.8027
0.8775,0.8838,0.8982
0.9568,0.9604,0.9532
