RUSBag,RUSMaxBag,RUSVoteBag
75.18,73.72,68.61
75.18,70.8,67.15
73.72,73.72,69.34
73.72,72.99,67.88
75.18,72.99,70.07
71.53,70.07,67.15
75.91,72.99,72.26
75.18,73.72,71.53
77.37,75.18,70.07
73.72,72.99,70.8
72.99,72.26,67.88
72.99,73.72,69.34
78.1,75.91,69.34
75.18,74.45,70.07
74.45,70.8,68.61
77.37,72.26,71.53
75.18,73.72,70.8
78.83,76.64,72.99
75.91,72.26,65.69
73.72,75.18,67.88
73.72,74.45,70.07
76.64,74.45,72.26
73.72,73.72,68.61
75.91,73.72,72.26
78.1,75.91,71.53
76.64,71.53,71.53
74.45,72.26,70.8
75.18,70.8,66.42
74.45,72.99,71.53
76.64,72.99,72.26
77.37,75.91,70.8
72.99,72.26,67.15
74.45,72.99,70.07
76.64,69.34,67.15
75.91,75.18,70.8
73.72,72.26,70.07
74.45,72.99,70.07
75.18,75.18,70.8
72.26,72.26,67.15
75.91,75.91,70.8
75.18,75.18,70.07
75.18,75.18,72.26
76.64,73.72,71.53
77.37,73.72,69.34
72.99,70.8,69.34
72.99,71.53,68.61
76.64,75.18,69.34
78.1,75.18,73.72
76.64,71.53,72.99
74.45,74.45,67.15
72.99,70.07,67.15
75.91,71.53,67.88
75.91,73.72,68.61
75.91,71.53,70.8
75.18,75.91,70.07
72.26,70.8,68.61
74.45,73.72,70.07
75.91,72.26,72.26
76.64,71.53,72.26
77.37,73.72,68.61
72.99,71.53,69.34
75.18,73.72,71.53
77.37,75.18,71.53
75.91,70.07,70.07
76.64,75.18,70.8
75.18,72.26,72.26
76.64,73.72,70.07
73.72,74.45,68.61
75.91,73.72,70.07
75.91,74.45,70.8
77.37,73.72,71.53
76.64,73.72,70.8
78.1,75.91,72.26
77.37,75.91,70.8
76.64,70.8,70.8
76.64,71.53,70.07
75.18,75.91,71.53
75.91,77.37,69.34
74.45,75.18,70.8
75.18,72.99,70.8
75.91,75.18,69.34
75.18,72.99,72.99
76.64,72.99,74.45
76.64,73.72,70.8
77.37,75.91,69.34
74.45,71.53,70.07
74.45,72.99,70.07
75.91,74.45,71.53
75.18,71.53,67.15
75.91,72.99,70.8
76.64,72.99,70.07
77.37,74.45,71.53
72.99,73.72,69.34
74.45,71.53,70.07
73.72,72.99,69.34
77.37,74.45,72.99
75.18,76.64,70.8
75.91,72.99,67.88
75.91,74.45,71.53
76.64,75.91,70.8

