RUSBag,RUSMaxBag,RUSVoteBag
71.06,68.5,66.3
70.51,69.41,66.3
72.16,69.41,66.3
71.43,70.33,66.67
70.88,69.41,64.84
71.43,69.41,67.4
71.79,69.41,66.12
70.15,67.77,65.75
70.51,69.41,66.85
71.98,68.86,65.93
71.06,69.78,67.03
72.16,69.05,67.22
70.51,67.58,66.67
70.7,68.86,67.03
71.43,68.5,67.58
71.61,69.23,67.4
72.16,69.05,65.93
71.79,71.25,67.22
70.7,68.5,66.85
70.15,68.32,66.67
71.25,70.15,65.75
71.61,69.6,65.02
70.51,67.95,66.3
70.51,69.05,66.12
69.78,68.68,65.57
70.7,67.4,66.12
71.61,69.41,66.48
71.43,68.86,64.65
69.23,66.67,64.84
71.43,68.5,66.67
70.51,69.41,66.67
70.7,68.5,67.03
72.89,69.78,68.32
70.7,69.05,64.47
70.33,68.68,66.67
70.51,69.05,65.02
71.06,68.5,65.2
71.06,69.41,66.67
71.25,69.23,66.12
71.98,69.6,66.48
71.79,70.51,65.93
70.15,69.23,65.57
70.88,69.41,64.65
71.43,69.41,65.2
71.98,69.05,67.03
71.98,69.96,67.58
71.25,69.05,66.3
71.61,71.98,67.58
70.15,68.5,64.84
70.88,68.86,67.22
70.7,68.5,67.4
72.16,69.78,66.3
71.43,69.78,65.2
70.15,68.68,66.12
71.06,69.6,66.48
71.25,69.23,65.93
71.79,69.96,66.12
71.98,69.23,65.75
71.25,68.32,65.57
70.88,70.51,66.85
70.88,68.13,65.75
70.7,70.15,65.75
72.34,70.33,67.03
70.7,69.05,68.13
71.06,68.5,67.4
70.7,68.86,66.3
71.25,69.78,64.65
71.79,70.15,66.48
71.25,68.68,65.93
70.15,67.77,65.2
70.7,67.95,66.48
72.53,70.15,64.84
70.15,67.95,66.3
71.61,68.5,66.67
70.33,69.05,66.12
71.43,68.68,65.57
70.51,67.77,65.2
72.16,69.23,66.48
71.43,70.33,66.85
71.06,68.68,66.12
72.16,69.05,67.77
71.25,69.78,65.93
72.16,69.41,66.12
70.88,67.77,66.48
71.43,69.05,65.57
70.15,68.5,66.67
69.78,66.85,64.47
70.33,67.77,65.75
69.6,69.96,66.48
71.79,69.23,66.48
70.51,68.5,65.02
71.79,70.7,66.85
72.34,70.51,67.77
70.33,68.32,65.38
72.34,70.88,67.22
69.96,68.5,66.3
70.88,69.6,65.02
69.78,68.13,65.57
72.16,70.88,67.22
71.25,69.78,65.75

