RUSBag,RUSMaxBag,RUSVoteBag
71.28,72.87,67.02
69.68,70.74,63.83
72.87,72.87,69.15
70.74,69.15,68.09
70.74,69.15,64.89
75.0,72.34,70.74
71.81,71.81,68.09
73.4,72.34,70.21
71.28,70.21,67.02
70.74,67.55,66.49
68.09,68.09,64.36
71.28,69.15,66.49
70.74,72.87,66.49
70.21,67.55,65.96
70.21,69.15,67.02
71.81,70.21,67.02
72.34,70.74,66.49
71.81,71.28,65.96
69.68,67.55,67.55
68.09,66.49,64.89
68.62,67.02,64.36
70.74,70.21,69.15
71.28,70.21,68.09
70.74,69.68,69.68
70.74,72.87,68.09
70.74,67.55,67.02
72.34,69.68,69.68
71.81,69.15,66.49
70.74,69.15,68.62
72.87,70.74,70.21
72.34,72.87,67.55
71.28,69.68,68.09
70.21,68.62,66.49
71.81,68.62,67.02
71.28,69.15,64.36
70.74,71.28,69.15
70.74,71.28,69.15
71.28,69.68,70.74
71.81,70.21,70.21
71.28,70.21,68.62
70.21,70.74,69.15
70.21,69.15,68.09
71.81,69.68,69.15
71.81,70.21,69.68
71.81,67.02,67.55
71.81,69.68,68.09
71.81,70.74,68.62
70.21,70.21,67.55
71.81,69.68,69.68
73.94,71.81,69.15
70.74,68.62,69.68
72.34,71.28,68.62
70.74,69.68,65.96
72.34,69.68,70.21
70.74,70.74,66.49
71.81,72.34,67.02
70.21,68.62,65.43
69.68,69.68,64.36
69.68,68.62,67.55
71.28,68.62,69.68
71.81,70.21,69.15
72.87,71.28,66.49
72.34,68.09,64.36
73.94,71.28,69.15
70.74,68.09,68.62
72.34,70.74,68.62
73.4,69.68,68.09
72.34,70.74,66.49
71.81,69.68,69.15
71.81,70.74,70.74
71.81,70.21,67.55
71.28,69.15,68.62
73.4,72.87,69.15
71.28,69.68,68.09
71.81,69.68,69.15
71.28,68.09,67.55
71.81,70.74,67.55
71.28,70.21,67.55
68.62,69.68,64.89
70.21,67.55,68.09
71.81,72.87,66.49
69.68,68.62,64.36
73.4,71.28,68.09
72.34,71.28,70.21
72.87,73.4,68.62
69.68,69.68,69.15
72.87,70.21,68.62
71.28,70.74,66.49
71.28,68.09,69.15
70.21,69.15,67.02
70.21,68.62,68.62
71.28,71.28,67.02
71.81,70.74,68.62
70.21,70.21,65.43
69.68,70.21,69.15
71.28,69.68,67.02
70.74,70.74,68.62
71.81,72.87,67.55
68.62,68.09,65.96
72.34,72.34,68.09

