RUSBag,RUSMaxBag,RUSVoteBag
69.8,68.81,65.35
71.29,67.33,63.37
72.77,70.3,66.83
71.29,67.33,64.36
69.8,69.31,65.35
71.78,70.79,66.34
72.28,70.79,66.34
70.79,66.83,63.86
70.79,68.81,64.85
69.31,68.32,64.85
70.3,67.82,62.87
68.32,66.34,64.36
71.29,66.83,65.35
70.3,64.85,64.36
70.3,69.8,64.36
69.8,66.83,63.37
70.3,68.81,62.38
71.29,70.3,66.83
72.77,69.31,66.34
70.79,67.82,63.86
71.29,69.31,62.38
69.8,69.31,65.84
72.28,67.33,64.36
72.28,68.81,66.83
68.81,68.32,64.36
72.28,72.28,64.85
70.79,70.79,64.85
69.8,69.8,63.86
70.79,69.31,63.86
71.29,70.3,62.87
70.79,67.82,64.36
72.28,68.81,69.8
72.77,67.82,66.34
71.29,67.33,64.36
72.77,70.79,65.84
68.81,67.33,65.84
72.28,70.79,66.34
70.79,71.78,64.85
71.29,70.3,64.36
73.27,69.31,64.85
70.79,69.31,63.86
70.79,68.32,66.34
68.32,64.85,60.89
71.78,67.82,66.34
69.31,66.83,63.86
68.81,67.82,62.87
70.79,68.81,64.36
70.79,66.83,62.87
70.79,69.31,67.82
72.28,70.3,64.85
73.27,69.31,65.84
69.8,67.82,64.36
70.79,67.82,62.87
71.29,69.31,64.85
70.3,69.31,63.37
70.79,69.8,63.37
70.3,68.32,64.85
74.26,70.79,67.82
72.77,68.81,67.33
71.29,68.32,64.85
73.27,67.33,66.83
70.3,68.32,64.85
73.27,71.29,66.83
71.78,68.32,66.34
70.3,68.81,65.84
71.29,70.79,63.86
70.3,67.33,64.36
71.29,68.32,64.36
73.27,69.8,65.84
70.3,69.31,62.87
71.29,69.31,64.85
70.3,67.33,65.35
69.8,68.81,64.85
71.29,68.32,62.38
68.81,68.81,61.88
70.79,69.8,61.88
71.78,71.29,67.82
71.29,72.28,64.36
74.26,71.29,62.87
70.3,69.31,62.87
68.81,68.81,65.35
69.8,68.81,62.87
69.8,68.32,63.86
70.79,66.34,61.88
69.8,66.83,60.89
68.81,67.33,63.86
69.31,66.34,63.37
72.28,69.31,64.85
73.27,71.29,65.84
69.8,68.32,67.82
72.77,66.83,66.83
69.31,68.81,64.85
72.28,70.3,64.85
70.3,67.82,61.88
70.3,68.32,62.38
70.3,68.81,65.35
70.3,68.32,63.86
70.79,68.81,61.88
71.29,68.81,65.35
69.31,68.81,63.86

