RUSBag,RUSMaxBag,RUSVoteBag
0.5263,0.5357,0.5833
0.5161,0.4561,0.5283
0.6275,0.6667,0.6383
0.5172,0.5,0.4889
0.5614,0.5185,0.6154
0.4746,0.4561,0.4151
0.5357,0.5,0.5532
0.6667,0.68,0.6939
0.6182,0.5556,0.5957
0.5714,0.5556,0.6122
0.6531,0.6383,0.619
0.4918,0.5185,0.5185
0.4912,0.5091,0.449
0.6102,0.549,0.6818
0.5862,0.6182,0.6122
0.5246,0.5517,0.52
0.5455,0.549,0.549
0.5172,0.6531,0.7317
0.5172,0.5263,0.6
0.4615,0.4746,0.5
0.5172,0.4906,0.4681
0.6182,0.6531,0.6667
0.5357,0.5185,0.549
0.4918,0.4906,0.5106
0.4667,0.5185,0.5532
0.5185,0.5,0.5532
0.4615,0.4444,0.4727
0.5769,0.5882,0.6667
0.5,0.4828,0.5556
0.5357,0.6122,0.5417
0.6667,0.6667,0.6
0.6071,0.5818,0.5778
0.5769,0.625,0.5652
0.6,0.6415,0.6667
0.5517,0.5556,0.5818
0.4314,0.4583,0.4186
0.5,0.5385,0.5306
0.5517,0.5185,0.5957
0.5085,0.5,0.5957
0.4727,0.5,0.5217
0.3871,0.4262,0.44
0.6522,0.6383,0.6977
0.6531,0.6667,0.6
0.5357,0.5357,0.5769
0.5172,0.5283,0.5769
0.5185,0.5306,0.5833
0.6154,0.5882,0.5957
0.4194,0.4,0.4074
0.5161,0.5424,0.5769
0.5357,0.5556,0.56
0.5079,0.5,0.5357
0.5965,0.5714,0.549
0.6,0.5926,0.6667
0.5,0.5574,0.566
0.5556,0.4815,0.4651
0.549,0.6122,0.5652
0.4561,0.4151,0.4681
0.5926,0.5882,0.625
0.5385,0.5385,0.5
0.5763,0.5417,0.5714
0.7083,0.7083,0.7234
0.5333,0.5333,0.5714
0.4746,0.4706,0.5417
0.4727,0.4706,0.5417
0.5283,0.5385,0.52
0.5517,0.5614,0.5833
0.6,0.5667,0.5882
0.5714,0.52,0.4878
0.56,0.5833,0.4651
0.4516,0.4561,0.48
0.5246,0.5333,0.4706
0.4912,0.5106,0.5652
0.5185,0.5091,0.5217
0.4828,0.5185,0.5185
0.4918,0.4828,0.5385
0.5185,0.5,0.5532
0.5172,0.5556,0.5882
0.6923,0.6667,0.6383
0.6038,0.6667,0.6667
0.5,0.5714,0.4889
0.5172,0.5556,0.6
0.5,0.5357,0.5
0.5172,0.5283,0.56
0.6038,0.56,0.5116
0.5172,0.5263,0.5833
0.5385,0.6087,0.6341
0.5385,0.5306,0.5
0.5714,0.5882,0.5714
0.459,0.4828,0.48
0.6071,0.6038,0.6222
0.5846,0.5902,0.6415
0.5263,0.5556,0.5417
0.4444,0.4186,0.45
0.5357,0.4561,0.5
0.5833,0.5909,0.6364
0.48,0.52,0.5
0.5283,0.5217,0.5652
0.5294,0.5373,0.5965
0.5455,0.566,0.5417
0.6316,0.6429,0.6792
0.6316,0.6182,0.5833
0.4571,0.4848,0.5
0.4667,0.4746,0.4643
0.52,0.5714,0.5455
0.6,0.5854,0.6154
0.6275,0.6531,0.6087
0.5714,0.5957,0.5581
0.5667,0.5556,0.5714
0.6129,0.6316,0.6545
0.5424,0.4815,0.5417
0.4545,0.4483,0.4643
0.4839,0.4828,0.5283
0.5424,0.5357,0.5556
0.6275,0.6122,0.6522
0.5714,0.6957,0.6512
0.5625,0.5,0.5455
0.5,0.5091,0.48
0.5085,0.5455,0.5306
0.566,0.549,0.6522
0.5614,0.566,0.5417
0.4706,0.48,0.5333
0.5538,0.5085,0.5862
0.5862,0.5667,0.6275
0.5818,0.5882,0.5116
0.4912,0.4815,0.5532
0.5769,0.5769,0.5833
0.4746,0.5,0.5306
0.5614,0.5357,0.5106
0.5085,0.5714,0.549
0.5882,0.6038,0.6087
0.5161,0.5763,0.5556
0.4828,0.4727,0.4615
0.4918,0.4828,0.4815
0.52,0.52,0.5778
0.5714,0.5833,0.619
0.5763,0.5965,0.5652
0.4375,0.4444,0.5098
0.5424,0.5818,0.549
