RUSBag,RUSMaxBag,RUSVoteBag
0.6714,0.6423,0.6772
0.6715,0.6769,0.7097
0.6667,0.6984,0.7458
0.5793,0.5547,0.5538
0.6767,0.6716,0.7288
0.6716,0.6923,0.7179
0.6667,0.6047,0.6325
0.6069,0.6143,0.6412
0.6667,0.6875,0.65
0.6923,0.688,0.661
0.5816,0.6165,0.6179
0.6667,0.656,0.6557
0.6716,0.6822,0.6992
0.6143,0.6324,0.624
0.6324,0.626,0.6281
0.7368,0.768,0.7863
0.6714,0.6565,0.6875
0.6615,0.6508,0.6496
0.6176,0.6212,0.6723
0.7206,0.7402,0.6992
0.6806,0.6901,0.7132
0.6715,0.6466,0.6667
0.6389,0.6338,0.6308
0.697,0.6825,0.6429
0.7313,0.7,0.678
0.6815,0.6929,0.7059
0.6486,0.6475,0.6818
0.6047,0.5873,0.6207
0.6174,0.625,0.6418
0.6324,0.7059,0.6783
0.6565,0.6984,0.6724
0.5839,0.5865,0.6094
0.6324,0.5984,0.6552
0.6536,0.6483,0.6364
0.6667,0.6885,0.6777
0.6519,0.637,0.6512
0.6622,0.705,0.6984
0.6522,0.6767,0.6825
0.7015,0.7313,0.7119
0.6667,0.6769,0.6891
0.6515,0.6107,0.6316
0.6462,0.6299,0.6667
0.6528,0.6525,0.6885
0.5839,0.5882,0.595
0.662,0.6815,0.6829
0.6618,0.6866,0.6885
0.6351,0.6618,0.626
0.6765,0.6769,0.6457
0.6923,0.6772,0.6387
0.6714,0.6812,0.7143
0.672,0.6774,0.7009
0.7023,0.6942,0.6949
0.6434,0.6667,0.6977
0.6809,0.6912,0.72
0.6047,0.5714,0.6
0.6216,0.6197,0.6406
0.6143,0.6349,0.629
0.6809,0.6667,0.6617
0.6714,0.7111,0.6767
0.6667,0.6667,0.7059
0.7068,0.7049,0.7288
0.6395,0.6667,0.6929
0.6866,0.7377,0.7179
0.6667,0.6935,0.6721
0.6383,0.6316,0.608
0.6861,0.6423,0.688
0.6769,0.7119,0.6545
0.5882,0.5811,0.6087
0.6765,0.6475,0.6446
0.6187,0.637,0.661
0.6716,0.6357,0.6724
0.6187,0.6119,0.6341
0.6519,0.6615,0.678
0.7376,0.7669,0.8065
0.6111,0.6131,0.625
0.6377,0.6412,0.6612
0.637,0.6269,0.623
0.6479,0.6715,0.6769
0.6308,0.6723,0.6491
0.6222,0.6032,0.6435
0.695,0.7121,0.7132
0.6569,0.6567,0.626
0.6241,0.6377,0.6825
0.6286,0.6667,0.6508
0.6357,0.6357,0.6446
