RUSBag,RUSMaxBag,RUSVoteBag
0.6531,0.766,0.6522
0.5098,0.5,0.5116
0.6667,0.6667,0.619
0.5614,0.5614,0.5957
0.6364,0.6222,0.6
0.6038,0.6154,0.6383
0.5574,0.5667,0.6182
0.5882,0.5957,0.6222
0.6154,0.6,0.6
0.6154,0.6154,0.6809
0.6415,0.6531,0.6531
0.6429,0.7347,0.6531
0.52,0.52,0.5
0.5714,0.5652,0.5714
0.5714,0.5818,0.566
0.6829,0.7179,0.6857
0.6071,0.6538,0.5769
0.5769,0.6122,0.5333
0.5714,0.625,0.5833
0.5385,0.52,0.4878
0.5714,0.5667,0.5862
0.5357,0.5769,0.5714
0.5882,0.5306,0.5652
0.6809,0.6957,0.6818
0.6038,0.6296,0.64
0.6667,0.7273,0.6829
0.6122,0.5909,0.6222
0.6038,0.5556,0.5778
0.5769,0.6,0.5778
0.6182,0.6545,0.6383
0.5079,0.5161,0.5333
0.6122,0.5714,0.5957
0.5,0.4889,0.5581
0.5283,0.5283,0.52
0.6,0.6383,0.6222
0.56,0.5957,0.5
0.6182,0.6,0.625
0.6809,0.6957,0.7273
0.6316,0.6154,0.64
0.6667,0.6939,0.6809
0.5778,0.5714,0.6
0.5926,0.6,0.5833
0.6,0.6667,0.6047
0.6415,0.68,0.7111
0.6538,0.6122,0.6957
0.5538,0.5667,0.5397
0.6122,0.6667,0.5957
0.549,0.56,0.52
0.5714,0.5417,0.5333
0.5,0.5306,0.5581
0.6122,0.5957,0.5652
0.6071,0.6154,0.5926
0.6154,0.5532,0.6087
0.7347,0.6923,0.6957
0.6071,0.6038,0.6154
0.6538,0.6415,0.6939
0.6957,0.6667,0.7179
0.56,0.5714,0.5581
0.5926,0.6038,0.6383
0.6,0.625,0.5957
0.5882,0.6,0.6667
0.6667,0.6809,0.6818
0.6071,0.5965,0.6667
0.68,0.6531,0.6957
0.566,0.566,0.5714
0.5106,0.5333,0.4762
0.5667,0.5965,0.566
0.6939,0.6957,0.6667
0.5217,0.5217,0.5217
0.6415,0.6038,0.6275
0.6809,0.6364,0.65
0.7083,0.6809,0.6818
0.5185,0.5283,0.56
0.5769,0.6122,0.6087
0.5965,0.6429,0.68
0.56,0.6122,0.6222
0.6538,0.6667,0.6818
0.6087,0.6222,0.619
0.6038,0.6154,0.6383
0.6545,0.5769,0.6538
0.5306,0.5532,0.619
0.6923,0.6939,0.7391
0.6,0.6087,0.6364
0.6071,0.6182,0.6512
0.5957,0.6667,0.6341
0.5926,0.6538,0.6667
0.4211,0.4444,0.4444
0.6939,0.6222,0.6047
0.6792,0.6296,0.6222
0.5957,0.5652,0.5455
0.6667,0.6296,0.6531
0.5882,0.5385,0.6122
0.5769,0.566,0.5217
0.6415,0.6038,0.625
0.5517,0.5556,0.6275
0.4912,0.4906,0.44
0.64,0.6383,0.7111
0.566,0.5882,0.5652
0.5909,0.5909,0.5909
0.52,0.5417,0.5854
0.6667,0.6667,0.65
0.5556,0.5385,0.5385
0.6071,0.6182,0.6275
0.5091,0.5283,0.52
0.6087,0.6047,0.6087
0.6,0.64,0.6222
0.5,0.5385,0.5306
0.6522,0.5778,0.6512
0.4783,0.5217,0.4762
0.6207,0.6316,0.6296
0.5306,0.5306,0.5333
0.4167,0.383,0.4286
0.7037,0.6667,0.717
0.6154,0.6154,0.5882
0.6182,0.6296,0.6939
0.6415,0.6154,0.5532
0.5556,0.549,0.5532
0.6939,0.68,0.7111
0.6531,0.6522,0.7143
0.5106,0.5116,0.4889
0.6538,0.6667,0.7234
0.5926,0.6038,0.6
0.6087,0.5778,0.5
0.6154,0.6275,0.6667
0.5556,0.5769,0.5957
0.56,0.6122,0.5455
0.64,0.68,0.6809
0.5926,0.6415,0.6
0.5833,0.6087,0.6087
0.4906,0.5385,0.4889
0.5385,0.5306,0.5532
0.5185,0.5306,0.52
0.566,0.5769,0.5882
0.566,0.52,0.5
0.6923,0.7347,0.68
0.6182,0.6538,0.7083
0.7059,0.7059,0.6939
0.6,0.549,0.5652
0.5714,0.5789,0.5263
0.619,0.6154,0.6341
0.6667,0.7037,0.6923
0.5532,0.5909,0.6047
0.6364,0.6667,0.6829
0.5424,0.5556,0.5185
0.6154,0.5417,0.6087
0.4815,0.4706,0.5
0.64,0.6275,0.6522
0.6182,0.5882,0.6122
0.56,0.5882,0.6222
0.5882,0.5882,0.5714
0.5763,0.5965,0.566
0.6038,0.6538,0.6522
0.6786,0.6792,0.7308
0.6383,0.5652,0.5714
0.5769,0.5882,0.6383
0.5818,0.6154,0.6
0.4231,0.4528,0.4314
0.5926,0.5714,0.625
0.6531,0.6667,0.6222
0.6667,0.6667,0.6316
0.56,0.5714,0.6364
0.7143,0.6977,0.6829
0.5574,0.5517,0.5
0.5517,0.5614,0.6154
0.6667,0.6667,0.7111
0.5833,0.5,0.5238
0.5833,0.625,0.6
0.5357,0.5283,0.549
0.6415,0.6296,0.6
0.6038,0.6531,0.6531
0.5263,0.5714,0.5556
0.6383,0.6383,0.5714
0.6809,0.6222,0.6047
0.5614,0.5714,0.5769
0.64,0.64,0.6667
0.5667,0.5862,0.6071
0.549,0.5652,0.5854
0.5833,0.5909,0.6047
0.6154,0.6154,0.5581
0.6667,0.6667,0.6531
0.6296,0.5769,0.6522
0.6792,0.6538,0.6923
0.6667,0.68,0.64
0.5385,0.549,0.5652
0.5385,0.4583,0.5
0.549,0.56,0.5833
0.549,0.5532,0.5652
0.5417,0.5333,0.5455
0.64,0.6383,0.6531
0.5556,0.5818,0.5882
0.68,0.7727,0.7111
0.5532,0.5652,0.5366
0.4815,0.5306,0.4348
0.566,0.5769,0.5769
0.4643,0.4314,0.4898
0.5965,0.5926,0.6415
0.5882,0.5833,0.5957
0.5556,0.5556,0.5957
0.6182,0.6154,0.6415
0.6341,0.6154,0.6486
0.5763,0.5818,0.6038
0.766,0.7727,0.6977
0.625,0.6383,0.5909
0.5882,0.566,0.625
0.5902,0.6316,0.6038
0.566,0.5769,0.6
0.5581,0.5455,0.5128
0.4545,0.439,0.5
0.5532,0.5532,0.5455
0.5424,0.5926,0.6275
0.5862,0.5965,0.6538
0.6038,0.6809,0.6809
0.64,0.64,0.6522
0.64,0.6275,0.6667
0.5714,0.6122,0.6222
