RUSBag,RUSMaxBag,RUSVoteBag
0.8451,0.8633,0.8824
0.8,0.8116,0.8406
0.8571,0.8571,0.875
0.8209,0.7939,0.813
0.8,0.8281,0.8189
0.7852,0.803,0.8062
0.7857,0.8358,0.8182
0.8321,0.8154,0.8636
0.8551,0.8939,0.8722
0.8872,0.9219,0.9077
0.8358,0.8548,0.8571
0.7786,0.8125,0.8293
0.8527,0.8209,0.8661
0.8406,0.8529,0.8788
0.8633,0.8759,0.8636
0.8271,0.8346,0.8281
0.8201,0.8702,0.8507
0.8438,0.8571,0.8525
0.8296,0.8296,0.8615
0.8392,0.8286,0.8613
0.8657,0.8923,0.896
0.7862,0.8201,0.8333
0.7832,0.7972,0.8088
0.8529,0.8657,0.8769
0.8406,0.8358,0.8593
0.8406,0.8657,0.8769
0.8507,0.8682,0.8636
0.8485,0.873,0.848
0.7353,0.7597,0.7752
0.9173,0.9242,0.9313
0.7792,0.8188,0.8163
0.8406,0.8467,0.8485
0.8615,0.8819,0.8889
0.8252,0.8143,0.8741
0.8358,0.8397,0.8504
0.8571,0.8759,0.8955
0.8358,0.8889,0.864
0.8529,0.8837,0.875
0.8112,0.8358,0.8406
0.8613,0.8788,0.8615
0.8406,0.8593,0.8939
0.8058,0.8088,0.8372
0.8676,0.8741,0.8571
0.8872,0.8548,0.8689
0.8429,0.8321,0.8571
0.8244,0.812,0.8244
0.7971,0.8271,0.8271
0.8296,0.8209,0.8154
0.8345,0.8593,0.8855
0.8467,0.8593,0.8571
0.8429,0.8358,0.8571
0.7973,0.7973,0.7746
0.8722,0.8661,0.8571
0.8333,0.8489,0.8676
0.8467,0.8444,0.8657
0.9091,0.916,0.8571
0.9008,0.8702,0.878
0.8955,0.9091,0.9008
0.8,0.803,0.8217
0.8551,0.8806,0.8504
0.8571,0.8923,0.8661
0.8138,0.831,0.8806
0.8397,0.8661,0.8594
0.8906,0.8661,0.9032
0.8657,0.8788,0.8769
0.8489,0.8676,0.8615
0.8714,0.8955,0.9008
0.8806,0.8855,0.8992
0.8633,0.8824,0.8872
0.8169,0.7883,0.8462
0.8872,0.8722,0.8788
0.7838,0.8028,0.8
0.7917,0.806,0.8244
0.8889,0.8872,0.8976
0.8593,0.8593,0.8682
0.7482,0.7852,0.8062
0.8133,0.8082,0.8592
0.8682,0.8682,0.8871
0.8148,0.8092,0.8438
0.8444,0.8485,0.8615
0.8182,0.8244,0.8264
0.8806,0.8923,0.9134
0.7586,0.8235,0.806
0.8529,0.8837,0.8852
0.8175,0.8358,0.8358
0.791,0.8125,0.8197
0.8489,0.8529,0.8741
0.8028,0.8358,0.8321
0.8397,0.8254,0.871
0.8085,0.812,0.8271
0.8531,0.8429,0.8889
0.8696,0.8955,0.8824
0.8235,0.8421,0.855
0.8296,0.855,0.8615
0.8531,0.8841,0.8529
0.8872,0.8872,0.9291
0.8138,0.8085,0.8489
0.8382,0.8321,0.8397
0.8333,0.816,0.8293
0.8382,0.8571,0.8462
0.8372,0.8661,0.8504
0.8872,0.8939,0.8855
0.8333,0.8467,0.8571
0.8444,0.8504,0.8525
0.8194,0.8369,0.8529
0.8633,0.9091,0.8676
0.8286,0.8593,0.8485
0.916,0.9194,0.9449
0.8227,0.8382,0.855
0.797,0.8217,0.8189
0.8217,0.8455,0.8413
0.8551,0.8657,0.8788
0.8806,0.8806,0.875
0.8333,0.8345,0.8406
0.8321,0.8571,0.8976
0.8308,0.8308,0.8281
0.8551,0.8529,0.8939
0.8652,0.8467,0.8593
0.8429,0.8421,0.8636
0.8252,0.8489,0.8593
0.8029,0.8271,0.8397
0.8235,0.8296,0.8485
0.8085,0.8261,0.8485
0.8296,0.8372,0.8594
0.8296,0.8438,0.8189
0.8056,0.8,0.8321
0.9375,0.9219,0.9268
0.8116,0.8529,0.8235
0.8175,0.8702,0.855
0.8413,0.8595,0.8361
0.8392,0.8276,0.8392
0.8507,0.8682,0.8682
