RUSBag,RUSMaxBag,RUSVoteBag
0.9202,0.9259,0.9548
0.9221,0.9272,0.9272
0.8844,0.8767,0.9065
0.9103,0.9161,0.9139
0.8987,0.8917,0.9128
0.9231,0.9045,0.9281
0.8903,0.8889,0.8993
0.9281,0.9342,0.9333
0.9091,0.9091,0.9189
0.9032,0.8917,0.9333
0.9404,0.9396,0.9396
0.9068,0.9068,0.9342
0.9067,0.902,0.9252
0.8987,0.8961,0.8889
0.8933,0.8889,0.8919
0.9045,0.8846,0.8961
0.9459,0.9396,0.9655
0.9128,0.9128,0.9315
0.9172,0.9211,0.9474
0.8831,0.8667,0.8649
0.9,0.8805,0.8889
0.8947,0.8844,0.8828
0.9281,0.9211,0.9396
0.9161,0.9221,0.9333
0.9221,0.9272,0.9459
0.8846,0.8903,0.88
0.9412,0.9221,0.9404
0.9068,0.9359,0.9342
0.9221,0.9032,0.9079
0.9211,0.9404,0.9241
0.875,0.8344,0.8831
0.9542,0.9542,0.96
0.9007,0.9007,0.9241
0.9333,0.9262,0.9379
0.9474,0.9474,0.9524
0.8834,0.8623,0.8875
0.9079,0.9007,0.9041
0.9299,0.9032,0.9333
0.9359,0.9091,0.9211
0.9057,0.9172,0.9396
0.9367,0.9241,0.9669
0.9412,0.9474,0.953
0.9359,0.9351,0.9404
0.9272,0.9342,0.92
0.8917,0.8903,0.8933
0.8333,0.831,0.8511
0.8875,0.8931,0.8974
0.9091,0.9139,0.9459
0.9103,0.9091,0.9211
0.8987,0.8944,0.9103
0.8625,0.8625,0.8774
0.9542,0.9595,0.9379
0.9419,0.9419,0.9605
0.882,0.8712,0.9079
0.9079,0.9139,0.9041
0.9595,0.9272,0.9517
0.92,0.9252,0.9437
0.9221,0.8961,0.8951
0.961,0.9351,0.9324
0.9211,0.8947,0.9178
0.9231,0.9231,0.9536
0.929,0.9281,0.9404
0.9091,0.9007,0.9396
0.8774,0.8758,0.88
0.9342,0.9404,0.9388
0.8987,0.9045,0.9272
0.9057,0.8903,0.8947
0.9412,0.9536,0.9524
0.9231,0.9351,0.9474
0.8727,0.8834,0.8861
0.9032,0.9067,0.9262
0.9068,0.9012,0.9161
0.8917,0.9161,0.9139
0.9125,0.9103,0.9079
0.9404,0.9272,0.9396
0.9091,0.9211,0.9396
0.9231,0.929,0.9272
0.9079,0.9262,0.9178
0.9172,0.9221,0.9139
0.92,0.8993,0.8828
0.8831,0.8816,0.8767
0.9419,0.9359,0.9664
0.9172,0.9299,0.9404
0.9114,0.9103,0.9272
0.8961,0.8742,0.8951
0.8987,0.8987,0.915
0.9262,0.9178,0.9103
0.9404,0.9091,0.9467
0.8961,0.8974,0.9054
0.9068,0.8974,0.9114
0.8974,0.8889,0.9211
0.8987,0.9161,0.9404
0.9367,0.9172,0.929
0.9103,0.915,0.9079
0.9116,0.9167,0.9296
0.929,0.9342,0.9404
0.9221,0.915,0.9211
0.8889,0.8758,0.8933
0.8805,0.8903,0.8701
0.9299,0.9342,0.9342
0.8662,0.8701,0.8684
0.9308,0.9359,0.9474
0.8859,0.8933,0.8951
0.9351,0.929,0.9342
0.9032,0.8987,0.902
0.9032,0.8903,0.9054
0.9412,0.9404,0.9324
0.9211,0.9091,0.9396
0.9172,0.9231,0.929
0.9103,0.902,0.9211
0.9419,0.9412,0.9404
0.925,0.9308,0.9091
0.8834,0.8727,0.9161
0.9211,0.9067,0.9379
0.9079,0.8903,0.9178
0.8846,0.8758,0.8844
0.9068,0.9057,0.9281
0.9474,0.9404,0.9459
0.9396,0.9189,0.9459
0.8974,0.8889,0.92
0.8987,0.8987,0.8993
0.9427,0.9367,0.9481
0.9045,0.9032,0.9272
0.961,0.9272,0.953
0.9114,0.9114,0.9161
0.8553,0.8645,0.8701
0.9161,0.9161,0.9262
0.8961,0.9007,0.9103
0.9091,0.9404,0.9189
0.9139,0.9189,0.9241
0.8903,0.9079,0.9189
0.902,0.8947,0.9128
0.9272,0.92,0.9459
0.9419,0.9342,0.9404
0.8875,0.9103,0.8987
0.8846,0.8831,0.9007
0.8816,0.8816,0.8966
0.9419,0.9474,0.9536
0.8662,0.8718,0.8874
0.9299,0.9542,0.9474
0.9221,0.9139,0.9315
0.9281,0.9281,0.9524
0.9231,0.9481,0.9404
0.8974,0.9161,0.915
0.9182,0.9057,0.9474
0.8844,0.8828,0.8671
0.9139,0.9139,0.8966
0.9342,0.9211,0.9189
0.92,0.915,0.9167
0.9091,0.8961,0.898
0.9,0.9057,0.9161
0.925,0.9045,0.9542
0.8861,0.8903,0.9079
0.9221,0.9211,0.92
0.8767,0.9041,0.8571
0.9412,0.9272,0.9388
0.96,0.9474,0.9452
0.8742,0.8667,0.8811
0.9193,0.9193,0.9404
0.8889,0.9007,0.9091
0.9172,0.9231,0.9536
0.96,0.9396,0.9517
0.9412,0.9272,0.9262
0.8662,0.8387,0.8933
0.9103,0.9032,0.92
0.9467,0.9589,0.9241
0.902,0.902,0.8919
0.9172,0.915,0.92
0.9032,0.9211,0.9272
0.8734,0.8889,0.8874
0.9427,0.9412,0.9474
0.9359,0.915,0.915
0.9182,0.9299,0.9211
0.8765,0.8765,0.879
0.9467,0.9404,0.966
0.9272,0.92,0.9189
0.8645,0.8742,0.8859
0.9211,0.9342,0.9324
0.9057,0.8875,0.929
0.9272,0.9262,0.9167
0.9367,0.929,0.9342
0.8875,0.882,0.8987
0.9452,0.9315,0.9429
0.8961,0.8889,0.9128
0.9231,0.915,0.9139
0.8917,0.8903,0.92
0.9272,0.9211,0.9262
0.902,0.9007,0.9054
0.9172,0.9172,0.9231
0.8903,0.8874,0.88
0.9396,0.9315,0.9306
0.9091,0.8831,0.9067
0.8447,0.8608,0.8645
0.9474,0.9412,0.953
0.9139,0.9128,0.9028
0.9091,0.902,0.9189
0.9359,0.9412,0.953
0.9342,0.915,0.9178
0.9299,0.9221,0.9139
0.9299,0.9351,0.9404
0.8889,0.8933,0.9041
0.902,0.8859,0.8889
0.9103,0.9221,0.9281
0.8645,0.8477,0.8707
0.9299,0.9359,0.9524
0.9221,0.915,0.9128
0.9272,0.9272,0.9262
0.9114,0.9045,0.9211
0.9172,0.915,0.9211
0.9139,0.902,0.8993
0.9231,0.9281,0.9252
0.8987,0.9032,0.9139
0.9032,0.8903,0.9139
0.8758,0.8701,0.8919
0.908,0.9182,0.9487
0.9211,0.9139,0.9333
0.902,0.9139,0.92
0.9474,0.9396,0.9517
0.9474,0.9404,0.9467
0.929,0.9281,0.9342
0.8917,0.9032,0.8947
0.9182,0.9241,0.9032
0.8931,0.8931,0.8831
0.8917,0.9231,0.9178
