RUSBag,RUSMaxBag,RUSVoteBag
0.3947,0.4054,0.4828
0.3721,0.3421,0.4118
0.4848,0.5333,0.5172
0.375,0.3684,0.4074
0.4103,0.3889,0.4706
0.3415,0.3333,0.3143
0.3947,0.4,0.4483
0.5143,0.5484,0.5667
0.4722,0.4286,0.5
0.4324,0.4286,0.5
0.5333,0.5357,0.5652
0.3571,0.4,0.4
0.3684,0.3889,0.3667
0.45,0.4375,0.6
0.4359,0.4722,0.5
0.3721,0.4,0.4063
0.4054,0.4242,0.4242
0.375,0.5161,0.6522
0.375,0.3846,0.4688
0.3191,0.3415,0.3824
0.3846,0.3824,0.3929
0.4722,0.5333,0.5313
0.4054,0.4,0.4375
0.3571,0.3824,0.4286
0.3415,0.4,0.4643
0.3889,0.4,0.4483
0.3191,0.3111,0.3514
0.4412,0.4545,0.5556
0.3478,0.35,0.4167
0.3947,0.4839,0.4333
0.5143,0.5313,0.4839
0.4595,0.4444,0.5
0.4412,0.5,0.4643
0.4688,0.4857,0.5556
0.4,0.4167,0.4324
0.3333,0.3667,0.36
0.3824,0.4118,0.4194
0.4103,0.4,0.5
0.375,0.3784,0.5
0.3611,0.3939,0.4444
0.2791,0.3095,0.3548
0.5556,0.5357,0.625
0.5161,0.5333,0.5455
0.3947,0.3947,0.4412
0.375,0.4,0.4412
0.3889,0.4194,0.4667
0.4706,0.4545,0.4828
0.3023,0.2927,0.3143
0.3721,0.4,0.4545
0.4054,0.4286,0.4516
0.3636,0.3659,0.4054
0.4474,0.4324,0.4375
0.439,0.4571,0.5313
0.3556,0.4048,0.4412
0.4286,0.3714,0.4167
0.4242,0.4839,0.4643
0.3333,0.3143,0.3793
0.4444,0.4545,0.5
0.4118,0.4118,0.4231
0.4146,0.4333,0.4516
0.5862,0.5862,0.6071
0.3902,0.3902,0.4667
0.3415,0.3636,0.4333
0.3514,0.3636,0.4333
0.4,0.4118,0.4063
0.4,0.4103,0.4667
0.4286,0.4048,0.4545
0.4667,0.4194,0.4545
0.4516,0.4828,0.4167
0.3256,0.3421,0.3871
0.381,0.3902,0.375
0.3684,0.4286,0.4815
0.3889,0.3784,0.4286
0.35,0.3889,0.3889
0.3488,0.35,0.4118
0.3889,0.3824,0.4483
0.375,0.4167,0.4545
0.5455,0.5769,0.5357
0.4706,0.5143,0.5769
0.3659,0.4324,0.4231
0.3846,0.4286,0.4839
0.3659,0.4054,0.3939
0.375,0.4,0.4375
0.4571,0.4375,0.44
0.375,0.3846,0.4667
0.4118,0.5,0.5652
0.4118,0.4194,0.4
0.4324,0.4688,0.4667
0.3333,0.359,0.3871
0.4595,0.4706,0.5385
0.413,0.4286,0.5
0.3947,0.4286,0.4483
0.3704,0.36,0.4091
0.3947,0.3333,0.4
0.4667,0.5,0.5385
0.375,0.4063,0.4231
0.4,0.4286,0.4643
0.3673,0.375,0.4474
0.4167,0.4412,0.4483
0.4737,0.4865,0.5294
0.4737,0.4722,0.4828
0.3137,0.3404,0.3556
0.3333,0.3415,0.3421
0.4063,0.4516,0.4615
0.4688,0.5217,0.5714
0.4848,0.5161,0.5
0.4516,0.4828,0.48
0.4146,0.4286,0.4667
0.4419,0.4737,0.5
0.4,0.3714,0.4483
0.3191,0.3333,0.3514
0.3488,0.359,0.4118
0.3902,0.3947,0.4167
0.4848,0.4839,0.5357
0.4516,0.5714,0.56
0.3913,0.3684,0.4054
0.3684,0.3784,0.375
0.375,0.4167,0.4333
0.4412,0.4375,0.5556
0.4211,0.4412,0.4483
0.375,0.3871,0.4615
0.3913,0.375,0.4359
0.425,0.4048,0.4848
0.4324,0.4545,0.44
0.359,0.3611,0.4483
0.4412,0.4412,0.4667
0.3415,0.3684,0.4194
0.4211,0.4054,0.4286
0.375,0.4324,0.4375
0.4688,0.4706,0.5185
0.3721,0.425,0.4286
0.359,0.3611,0.3636
0.3488,0.35,0.3611
0.4063,0.4063,0.4815
0.4516,0.4667,0.5417
0.4146,0.4359,0.4643
0.3043,0.3111,0.3939
0.4,0.4444,0.4375
0.4872,0.5,0.5
0.4054,0.375,0.375
0.3939,0.3939,0.4483
0.4359,0.4444,0.4706
0.3778,0.3902,0.4054
0.3478,0.375,0.4167
0.4063,0.4333,0.4231
0.3714,0.3939,0.3793
0.3333,0.3043,0.4516
0.4412,0.4242,0.4839
0.3409,0.381,0.375
0.4194,0.4138,0.4783
0.4688,0.4063,0.5385
0.3939,0.4688,0.4483
0.381,0.3889,0.4
0.4444,0.4444,0.5357
0.4103,0.4103,0.4643
0.3171,0.3514,0.3226
0.3846,0.3529,0.4
0.3488,0.3721,0.4375
0.5484,0.5769,0.6154
0.3864,0.4146,0.4324
0.3611,0.4516,0.44
0.3659,0.3784,0.3871
0.375,0.3617,0.4054
0.3824,0.3571,0.4545
0.4324,0.4375,0.4688
0.2941,0.303,0.3462
0.3659,0.4,0.4375
0.4706,0.4706,0.5185
0.4,0.4167,0.4688
0.3478,0.3409,0.4167
0.3902,0.3947,0.4688
0.4412,0.4643,0.5
0.3947,0.375,0.4375
0.3721,0.4242,0.3636
0.3077,0.25,0.4348
0.4615,0.4737,0.5
0.5,0.4643,0.5185
0.3636,0.3673,0.4706
0.4375,0.4688,0.4643
0.5333,0.4839,0.6087
0.3462,0.375,0.3488
0.3784,0.4333,0.4348
0.5313,0.5172,0.52
0.4722,0.5313,0.4848
0.375,0.3438,0.4231
0.3659,0.4,0.3939
0.359,0.3824,0.4643
0.3556,0.4,0.3784
0.5,0.5,0.56
0.3953,0.4048,0.4595
0.3902,0.4595,0.4118
0.3864,0.4103,0.4474
0.3846,0.3947,0.4242
0.4211,0.3714,0.4516
0.375,0.4054,0.4412
0.4828,0.4286,0.5217
0.3778,0.3721,0.3947
0.4,0.4333,0.4643
0.4865,0.5,0.5517
0.3143,0.3226,0.3333
0.425,0.4444,0.5
0.375,0.3947,0.4286
0.3953,0.4146,0.4595
0.3333,0.3636,0.3871
0.4324,0.4706,0.5357
0.359,0.3611,0.4375
0.3421,0.3611,0.375
0.4286,0.4063,0.4444
0.4211,0.4412,0.4545
0.4186,0.5,0.4865
0.3488,0.3421,0.3929
0.359,0.3714,0.3611
0.4857,0.5152,0.5667
0.3409,0.3409,0.3784
0.3953,0.4048,0.3548
0.4545,0.4483,0.5
