RUSBag,RUSMaxBag,RUSVoteBag
0.5465,0.5301,0.589
0.5542,0.5789,0.6286
0.5641,0.6111,0.6875
0.4667,0.4634,0.48
0.5769,0.5696,0.6825
0.5696,0.6,0.6774
0.5714,0.527,0.5968
0.4889,0.5059,0.5526
0.5625,0.6027,0.6
0.5921,0.6056,0.6094
0.4713,0.519,0.5507
0.5733,0.5775,0.5882
0.5625,0.5867,0.6232
0.5059,0.5309,0.5571
0.5309,0.5395,0.5758
0.6282,0.6857,0.7419
0.5529,0.5658,0.6027
0.5733,0.5775,0.6129
0.5185,0.5325,0.625
0.5976,0.6438,0.6232
0.5444,0.5568,0.6133
0.5542,0.5443,0.5833
0.5111,0.5114,0.5395
0.5974,0.6056,0.6316
0.6203,0.6462,0.6349
0.575,0.6111,0.6563
0.5161,0.5357,0.5844
0.527,0.5211,0.5902
0.4894,0.5056,0.5443
0.5244,0.6462,0.6393
0.5584,0.6111,0.629
0.4819,0.4937,0.527
0.5244,0.5205,0.6129
0.5102,0.5222,0.5455
0.5625,0.6269,0.6212
0.55,0.5375,0.5676
0.5269,0.5833,0.6197
0.5422,0.5769,0.6056
0.5949,0.6203,0.6667
0.5476,0.5789,0.6308
0.5513,0.5195,0.6
0.5526,0.5479,0.6333
0.5222,0.5287,0.6176
0.4878,0.4938,0.5455
0.5402,0.575,0.6176
0.5556,0.5823,0.6269
0.5054,0.5556,0.5395
0.5679,0.5867,0.5694
0.6,0.5972,0.5938
0.5465,0.5595,0.625
0.5915,0.6,0.6508
0.5974,0.6269,0.6406
0.5169,0.5476,0.6
0.5581,0.5802,0.6429
0.527,0.5313,0.6
0.4946,0.5057,0.5616
0.5059,0.5634,0.5652
0.5581,0.5625,0.5641
0.5529,0.6,0.5769
0.5556,0.5641,0.6462
0.5949,0.6324,0.6719
0.5054,0.5476,0.6027
0.575,0.6618,0.6667
0.5811,0.6232,0.6119
0.5233,0.5385,0.5429
0.5732,0.5366,0.6143
0.5867,0.6667,0.6545
0.4592,0.4624,0.506
0.5679,0.5357,0.5909
0.5059,0.5309,0.6094
0.5696,0.5541,0.6393
0.5119,0.519,0.5735
0.55,0.5733,0.6349
0.6047,0.6538,0.7246
0.4944,0.5122,0.5479
0.5301,0.5526,0.6061
0.5309,0.525,0.5588
0.5227,0.5542,0.5789
0.5395,0.6154,0.6167
0.5185,0.5278,0.6066
0.5632,0.6026,0.6133
0.5422,0.55,0.5325
0.5057,0.5238,0.5972
0.5176,0.5625,0.5775
0.5541,0.5541,0.5909
0.5789,0.6111,0.678
0.5116,0.5844,0.5758
0.5802,0.5455,0.7069
0.5349,0.6056,0.6522
0.5,0.5067,0.5652
0.519,0.5263,0.5493
0.5844,0.597,0.6333
0.525,0.5455,0.5873
0.5111,0.5059,0.5211
0.6071,0.641,0.6716
0.6579,0.6571,0.7031
0.4884,0.5541,0.6061
0.5275,0.5465,0.6338
0.5432,0.5882,0.6061
0.5287,0.5316,0.5811
0.561,0.5769,0.6269
0.5844,0.5921,0.6418
0.5385,0.5814,0.5769
0.4828,0.5256,0.5571
0.5747,0.5732,0.6232
0.5185,0.5676,0.5753
0.5,0.5195,0.5507
0.5714,0.5915,0.7273
0.4824,0.5,0.5
0.5,0.5402,0.6081
0.5949,0.6027,0.6269
0.5122,0.5135,0.5738
0.4608,0.4646,0.5062
0.5595,0.5679,0.6301
0.5104,0.5172,0.5658
0.5422,0.6056,0.6721
0.5584,0.56,0.6029
0.5349,0.5658,0.5811
0.6081,0.6429,0.6885
0.5658,0.6,0.6842
0.5062,0.5342,0.5821
0.5067,0.5455,0.5714
0.5513,0.5714,0.6032
0.4699,0.5063,0.5873
0.5116,0.5,0.5753
0.5,0.5275,0.5287
0.5402,0.5915,0.5897
0.6154,0.6216,0.6418
0.573,0.5778,0.6957
0.5059,0.4941,0.5882
0.4643,0.4815,0.5132
0.5385,0.5634,0.5738
0.6232,0.6212,0.6909
0.5213,0.5,0.5811
0.4894,0.5055,0.5513
0.5663,0.64,0.6765
0.5484,0.5682,0.6133
0.5375,0.5775,0.6406
0.6053,0.6,0.6721
0.5616,0.5634,0.625
0.5309,0.5811,0.6
0.5467,0.5821,0.5968
0.4674,0.4819,0.5694
0.5789,0.589,0.5915
0.5213,0.5455,0.5679
0.5844,0.5833,0.6462
0.5488,0.5443,0.6667
0.5455,0.5625,0.6269
0.5789,0.5833,0.6875
0.6076,0.6056,0.6667
0.5116,0.5375,0.5797
0.5172,0.5244,0.5333
0.5114,0.5556,0.619
0.5476,0.5946,0.6056
0.5641,0.5821,0.6462
0.5,0.5373,0.5873
0.5495,0.5679,0.5972
0.5319,0.5679,0.5974
0.5556,0.5556,0.6087
0.6,0.6282,0.6818
0.4526,0.4881,0.5195
0.5465,0.5584,0.5915
0.5116,0.5513,0.5833
0.5217,0.5172,0.5658
0.5432,0.6027,0.619
0.6098,0.6301,0.6721
0.6351,0.6515,0.6613
0.5432,0.5641,0.6087
0.5395,0.5857,0.5574
0.5641,0.5694,0.7018
0.4767,0.5325,0.5797
0.5581,0.5714,0.6029
0.5844,0.6377,0.6615
0.4945,0.5443,0.5857
0.5942,0.6286,0.6786
0.4894,0.4889,0.5915
0.5952,0.6125,0.6301
0.561,0.5974,0.6119
0.5341,0.5465,0.5694
0.5122,0.5128,0.6212
0.5309,0.5658,0.6029
0.5541,0.5821,0.6964
0.5054,0.5281,0.6081
0.5,0.5062,0.5125
0.5402,0.5658,0.6308
0.5165,0.5875,0.6
0.5233,0.557,0.56
0.5556,0.5921,0.5938
0.5227,0.5181,0.5833
0.5493,0.6066,0.6032
0.5412,0.5753,0.5676
0.5181,0.5128,0.6
0.5132,0.5342,0.6271
0.5444,0.5581,0.6164
0.5526,0.6406,0.6349
0.4783,0.5357,0.5584
0.519,0.5342,0.6129
0.6712,0.6667,0.7797
0.5641,0.557,0.6176
0.5556,0.5513,0.5857
0.5795,0.5926,0.6438
0.5529,0.5542,0.5634
0.561,0.5714,0.5915
0.5233,0.5488,0.6286
0.5432,0.6056,0.619
0.5946,0.6286,0.6491
0.5116,0.5256,0.597
0.5455,0.5581,0.5921
0.494,0.5385,0.5672
0.4935,0.5132,0.5424
0.5,0.5205,0.5507
0.5647,0.5875,0.6212
0.5632,0.557,0.5857
0.5,0.5195,0.5469
0.5294,0.6049,0.6719
0.5375,0.5385,0.5763
0.5949,0.5867,0.6143
0.5581,0.5714,0.6429
0.5402,0.561,0.6515
0.5867,0.5676,0.678
0.5393,0.5581,0.6053
0.4881,0.5441,0.5441
0.5385,0.5811,0.6216
0.4831,0.5062,0.5797
0.5595,0.6,0.6377
0.5366,0.6111,0.6061
0.5294,0.5526,0.5821
0.5062,0.5455,0.5873
0.519,0.5278,0.6
0.5714,0.5663,0.6716
0.5269,0.5517,0.5789
0.5,0.5062,0.5882
0.5,0.5059,0.5942
0.5581,0.5732,0.6486
0.5526,0.5694,0.6034
0.5455,0.55,0.6197
0.5301,0.6056,0.6452
0.589,0.6197,0.6667
0.5542,0.5696,0.6364
0.494,0.5,0.5556
0.5541,0.5571,0.661
0.5287,0.5897,0.6111
0.5195,0.5263,0.5758
0.5341,0.5663,0.5658
0.506,0.5526,0.5797
0.5294,0.5513,0.5833
0.5063,0.5342,0.5735
0.5529,0.5921,0.5946
0.5054,0.5663,0.5432
0.5789,0.5775,0.6111
0.5844,0.589,0.6094
0.5172,0.5366,0.5833
0.5513,0.5556,0.5882
0.5714,0.6,0.6364
0.5714,0.5915,0.6508
0.5542,0.6143,0.6
0.4941,0.5,0.5634
0.4725,0.4615,0.5185
0.5172,0.5116,0.56
0.5125,0.5507,0.5397
0.5844,0.6027,0.6557
0.6081,0.6143,0.6563
0.5476,0.5676,0.6176
0.4815,0.5067,0.5522
0.5217,0.5422,0.5641
0.6812,0.7344,0.7368
0.4731,0.4886,0.52
0.4889,0.5062,0.52
0.5349,0.5625,0.5867
0.5679,0.575,0.6286
0.4945,0.5059,0.56
0.4607,0.4937,0.5313
0.5625,0.6164,0.5909
0.4792,0.5169,0.5278
0.5542,0.5476,0.6269
0.5904,0.5696,0.5972
0.575,0.6216,0.6563
0.6143,0.5846,0.6364
0.5696,0.589,0.6269
0.5823,0.5857,0.6418
0.5195,0.5694,0.619
0.5125,0.5352,0.5821
0.6216,0.6719,0.7049
0.5349,0.5176,0.5753
0.5467,0.5217,0.5574
0.5062,0.52,0.5588
0.5682,0.5698,0.6076
0.5063,0.5417,0.5606
0.5747,0.6,0.5972
0.5176,0.5526,0.5882
0.55,0.5385,0.6418
0.5122,0.5733,0.6393
0.527,0.5522,0.6129
0.5854,0.5802,0.6324
0.5802,0.589,0.6364
0.5054,0.5172,0.5634
0.5244,0.5541,0.6061
0.5357,0.55,0.5811
0.5422,0.5541,0.5455
0.5051,0.5158,0.5976
0.5844,0.5714,0.6563
0.5422,0.5641,0.5833
0.5542,0.5802,0.6056
0.5455,0.597,0.6032
0.4945,0.5309,0.5821
0.5443,0.5443,0.5857
0.5542,0.5897,0.6197
0.5349,0.5844,0.6557
0.5422,0.5789,0.6143
0.5775,0.6,0.6724
0.5309,0.5185,0.5942
0.5625,0.5921,0.6667
0.506,0.4938,0.5942
0.5287,0.5641,0.5775
0.55,0.5694,0.5857
0.5972,0.5857,0.6
0.5875,0.5867,0.6515
0.5057,0.5513,0.6
0.5783,0.5949,0.6765
0.4891,0.4943,0.5676
0.5495,0.5476,0.6267
0.575,0.6164,0.6377
0.5444,0.5432,0.5769
0.4946,0.5,0.5181
0.5443,0.5634,0.5806
0.4792,0.5,0.5556
0.6389,0.6377,0.7843
0.4835,0.5,0.519
0.6197,0.6269,0.678
0.6184,0.5974,0.6984
0.5,0.5063,0.5797
0.5181,0.5325,0.5574
0.561,0.5753,0.6324
0.4828,0.5062,0.5588
0.5,0.5366,0.5634
0.5732,0.6104,0.6286
0.6027,0.6232,0.6667
0.5556,0.6049,0.6216
0.525,0.5857,0.5323
0.5275,0.5294,0.5789
0.5125,0.5385,0.5735
0.5584,0.5915,0.6119
0.5111,0.557,0.5833
0.5405,0.5909,0.6316
0.5375,0.5833,0.6
0.5238,0.5309,0.5606
0.5402,0.5897,0.6418
0.5444,0.5393,0.5783
0.5165,0.5422,0.5679
0.5059,0.5062,0.5634
