RUSBag,RUSMaxBag,RUSVoteBag
0.4898,0.5,0.5333
0.4902,0.5435,0.5556
0.5455,0.575,0.6053
0.4898,0.5,0.5349
0.4706,0.48,0.5106
0.5333,0.5854,0.6
0.48,0.4898,0.5217
0.6216,0.6316,0.5882
0.5238,0.55,0.5385
0.4694,0.4468,0.4694
0.4681,0.4583,0.5
0.5897,0.5641,0.5946
0.4898,0.5333,0.561
0.5208,0.5319,0.5319
0.48,0.48,0.5217
0.5455,0.5714,0.5349
0.5217,0.5349,0.5349
0.4615,0.48,0.5
0.5333,0.5476,0.5854
0.4528,0.4615,0.4898
0.48,0.5,0.5
0.4464,0.4444,0.4902
0.5455,0.5455,0.5854
0.5455,0.5581,0.5455
0.4375,0.4348,0.4872
0.5714,0.6,0.5897
0.561,0.561,0.575
0.5349,0.5366,0.575
0.4364,0.4211,0.451
0.6053,0.6053,0.6216
0.4792,0.4783,0.5111
0.5435,0.5682,0.5682
0.5217,0.5333,0.5455
0.4902,0.5556,0.5682
0.5227,0.5238,0.55
0.5,0.5217,0.5227
0.5455,0.5455,0.5349
0.5476,0.561,0.5641
0.5263,0.5556,0.5405
0.4528,0.4615,0.5
0.4364,0.4444,0.4706
0.5897,0.5897,0.6216
0.463,0.4717,0.4894
0.4808,0.4898,0.5
0.4894,0.5,0.5
0.5106,0.5106,0.561
0.4792,0.4894,0.5227
0.5106,0.5217,0.5349
0.561,0.561,0.5385
0.5854,0.6389,0.6216
0.4894,0.5,0.5
0.5682,0.6098,0.625
0.5435,0.5227,0.5333
0.5319,0.5814,0.5556
0.4444,0.4528,0.4615
0.5854,0.5897,0.5897
0.4894,0.4894,0.5227
0.4894,0.525,0.5128
0.4706,0.5,0.5
0.48,0.4706,0.5476
0.5227,0.5476,0.5476
0.4706,0.48,0.5
0.5854,0.6,0.6053
0.4386,0.4386,0.4717
0.4364,0.46,0.4615
0.6154,0.6389,0.6765
0.4898,0.5217,0.5106
0.5455,0.5349,0.5366
0.4528,0.48,0.4681
0.6111,0.5789,0.6286
0.5349,0.575,0.6053
0.5333,0.5455,0.5455
0.4898,0.4898,0.5581
0.575,0.5897,0.5641
0.5227,0.561,0.5476
0.6,0.5854,0.5789
0.4706,0.4615,0.4783
0.4211,0.4364,0.4792
0.5,0.5217,0.5333
0.5,0.4898,0.5111
0.5349,0.5349,0.5641
0.4808,0.48,0.5208
0.5333,0.5455,0.575
0.5319,0.5714,0.6
0.5217,0.5455,0.5854
0.561,0.561,0.5641
0.4528,0.4706,0.4898
0.4528,0.44,0.4583
0.48,0.4898,0.5106
0.5455,0.5714,0.6053
0.5,0.5227,0.55
0.5106,0.5227,0.5476
0.4894,0.5106,0.5349
0.4808,0.451,0.4898
0.5217,0.5714,0.5714
0.5476,0.5476,0.5789
0.5,0.5333,0.5349
0.4898,0.4898,0.5333
0.4681,0.4783,0.5
0.5455,0.5333,0.5854
0.5106,0.5227,0.5349
0.5435,0.5106,0.5814
0.5455,0.5349,0.6
0.5556,0.5682,0.5814
0.5111,0.5116,0.55
0.4706,0.5,0.5217
0.46,0.46,0.4694
0.5106,0.5333,0.5385
0.5227,0.5349,0.525
0.4444,0.4615,0.4615
0.5349,0.5476,0.5476
0.5,0.5238,0.5641
0.4386,0.4444,0.4706
0.4423,0.5111,0.46
0.48,0.5,0.5217
0.5455,0.5333,0.5854
0.5227,0.525,0.5366
0.6053,0.6053,0.6216
0.5106,0.5217,0.5581
0.451,0.4694,0.4783
0.5116,0.5789,0.5641
0.6098,0.641,0.641
0.4902,0.5102,0.5217
0.4286,0.4444,0.4528
0.5476,0.5349,0.575
0.4898,0.4898,0.5
0.4364,0.4528,0.4528
0.5641,0.5641,0.5946
0.48,0.5,0.5333
0.4894,0.4583,0.5
0.5217,0.5333,0.5349
0.4444,0.4898,0.4792
0.561,0.5349,0.5897
0.6,0.5581,0.6216
0.5333,0.5854,0.561
0.5106,0.5333,0.5349
0.4364,0.4423,0.48
0.5,0.5263,0.5405
0.5333,0.5455,0.5349
0.4694,0.4783,0.5
0.4667,0.5,0.4762
0.6098,0.6098,0.6053
0.4902,0.4808,0.5366
0.5455,0.5714,0.6154
0.5714,0.575,0.6
0.5116,0.5116,0.5366
0.4138,0.4068,0.4444
0.5217,0.5333,0.5714
0.5333,0.5455,0.5714
0.4615,0.4444,0.4792
0.4773,0.4667,0.5
0.5435,0.5333,0.5455
