RUSBag,RUSMaxBag,RUSVoteBag
0.8523,0.8621,0.925
0.8875,0.9091,0.9091
0.8904,0.8889,0.9692
0.8659,0.8765,0.8961
0.8452,0.8434,0.9067
0.878,0.8554,0.8987
0.8519,0.8608,0.8933
0.8987,0.9103,0.9211
0.8861,0.8861,0.9315
0.875,0.8537,0.9333
0.9342,0.9459,0.9459
0.8391,0.8391,0.9103
0.8947,0.8734,0.9315
0.8452,0.8625,0.8608
0.8816,0.8608,0.8919
0.8554,0.8415,0.8625
0.9459,0.9333,0.9859
0.9067,0.9067,0.9444
0.878,0.9091,0.9351
0.8608,0.8667,0.8767
0.8471,0.8333,0.8718
0.8718,0.8904,0.9014
0.8987,0.8974,0.9333
0.8765,0.8875,0.9211
0.8875,0.9091,0.9459
0.8415,0.8519,0.8684
0.9114,0.8875,0.9221
0.8391,0.8902,0.9103
0.8987,0.875,0.8961
0.9091,0.9342,0.9571
0.8235,0.7727,0.8608
0.9241,0.9241,0.9474
0.8831,0.8831,0.9437
0.9211,0.92,0.9577
0.9231,0.9231,0.9589
0.809,0.7742,0.8256
0.8846,0.8831,0.9167
0.8795,0.8642,0.9211
0.9012,0.8861,0.9091
0.8571,0.878,0.9459
0.8916,0.8795,0.9605
0.9231,0.9351,0.9595
0.9012,0.9114,0.9342
0.9091,0.9103,0.9079
0.8434,0.8519,0.8816
0.8571,0.8676,0.8955
0.8256,0.8353,0.8537
0.875,0.8961,0.9459
0.8659,0.875,0.8974
0.8452,0.8276,0.8659
0.8118,0.8118,0.85
0.9241,0.9595,0.9577
0.9012,0.9012,0.9359
0.8161,0.7978,0.8846
0.8846,0.8961,0.9167
0.9595,0.9091,0.9718
0.9079,0.9315,0.9853
0.8875,0.8625,0.9275
0.9367,0.9114,0.9452
0.9091,0.8831,0.9437
0.8889,0.8889,0.9474
0.8889,0.8987,0.9221
0.875,0.8831,0.9333
0.8395,0.8481,0.8684
0.9103,0.9221,0.9452
0.8452,0.8554,0.9091
0.8471,0.8519,0.8718
0.9114,0.9351,0.9589
