@relation 'MyVoldemort-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.LinearForwardSelection -D 0 -N 5 -I -K 200 -T 0'

@attribute cumulative_bug_count numeric
@attribute changed_LOC numeric
@attribute s183 numeric
@attribute s325 numeric
@attribute s326 numeric
@attribute s367 numeric
@attribute s646 numeric
@attribute s660 numeric
@attribute s705 numeric
@attribute s828 numeric
@attribute s1037 numeric
@attribute s1346 numeric
@attribute s1386 numeric
@attribute s2300 numeric
@attribute s2642 numeric
@attribute s2856 numeric
@attribute s4357 numeric
@attribute s4875 numeric
@attribute s5171 numeric
@attribute bug_introducing {0,1}

@data
4,48,2,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1
8,54,3,0,0,0,0,0,42,1,14,0,0,0,0,0,0,0,0,1
5,6,1,0,0,0,0,0,11,1,0,1,0,0,0,0,0,0,0,0
20,20,3,0,0,0,0,0,5,11,0,0,1,0,0,0,0,0,0,1
21,2,3,0,0,0,0,0,5,11,0,0,1,0,0,0,0,0,0,1
22,2,3,0,0,0,0,0,5,11,0,0,1,0,0,0,0,0,0,1
3,6,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2,5,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
22,59,3,0,0,0,0,0,5,11,0,0,1,0,0,0,0,0,0,0
4,895,0,0,0,0,0,0,25,30,0,0,0,0,0,0,0,0,0,1
4,3562,0,0,0,0,0,0,49,30,0,0,0,0,0,0,0,0,0,0
5,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
11,15,2,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,1
1,19,1,0,0,0,0,0,9,1,0,0,0,2,0,0,0,0,0,1
1,14,1,0,0,0,0,0,37,3,0,0,0,2,0,0,0,0,0,1
8,10,3,0,0,0,0,0,42,1,7,0,0,0,0,0,0,0,0,0
4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,2,2,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0
4,2,2,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0
5,13,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12,36,2,0,0,0,0,0,8,1,0,0,2,0,0,0,0,0,0,1
5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13,10,2,0,0,0,0,0,7,1,0,0,1,2,0,0,0,0,0,1
6,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
6,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14,32,6,0,0,0,0,0,9,1,0,0,1,1,0,0,0,0,0,1
1,16,1,0,0,0,0,0,9,1,0,0,0,1,0,0,0,0,0,0
1,4,1,0,0,0,0,0,36,3,0,0,0,1,0,0,0,0,0,0
1,6,1,0,0,0,0,0,38,3,0,0,0,0,0,0,0,0,0,0
7,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15,6,4,0,0,0,0,0,8,1,0,0,1,0,0,0,0,0,0,0
4,10,2,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0
1,6,2,0,0,0,0,0,9,1,0,0,0,0,1,0,0,0,0,0
0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,50,3,0,0,0,0,0,42,1,9,0,0,0,0,0,0,0,0,1
6,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15,11,4,0,0,0,0,0,8,1,0,0,1,0,0,0,0,0,0,1
1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,12,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
4,1,2,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0
8,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
16,6,4,0,0,0,0,0,8,1,0,0,1,0,0,0,0,0,0,1
4,10,2,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0
1,6,2,0,0,0,0,0,9,1,0,0,0,0,1,0,0,0,0,0
1,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
